# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSS_IN_SOURCE	IPA	TOKENS	SOURCE	COGID	TBL_ID	NOTE
103	Kulung	the louse	louse (n.)	si	s i	Tolsma1999	0	356	Nepali: jumrā. (Tolsma1999)
#
104	Kulung	the man (male human)	male (n.)	watcha	w a t tsʰ a	Tolsma1999	0	173	Nepali: logne-mānche. (Tolsma1999)
#
105	Kulung	the meat	meat, flesh (n.)	sa	s a	Tolsma1999	0	443	Nepali: māsu. (Tolsma1999)
#
106	Kulung	the moon	moon (n.)	la	l a	Tolsma1999	0	4	Nepali: jūn. (Tolsma1999)
#
107	Kulung	the mother	mother (n.)	ma	m a	Tolsma1999	0	219	Nepali: āmā. (Tolsma1999)
#
108	Kulung	the mountain	mountain (n.)	bur	b u r	Tolsma1999	0	23	Nepali: himāl. (Tolsma1999)
#
109	Kulung	the mouse or rat	mouse, rat (n.)	chuwi	tsʰ u w i	Tolsma1999	0	320	Nepali: muso. (Tolsma1999)
#
110	Kulung	the mouth	mouth (n.)	Nǝ	ŋ ǝ	Tolsma1999	0	84	Nepali: mukh. (Tolsma1999)
#
111	Kulung	the mud	mud, earth (n.)	bɔhɔ	b ɔ h ɔ	Tolsma1999	0	46	Nepali: hilo. (Tolsma1999)
#
112	Kulung	the nail (fingernail or claw)	fingernail (of the fingers and toes) (n.)	sen	s e n	Tolsma1999	0	113	Nepali: naŋ. (Tolsma1999)
#
113	Kulung	the name	name (n.)	niN	n i ŋ	Tolsma1999	0	687	Nepali: nām. (Tolsma1999)
#
114	Kulung	the neck	neck (n.)	pɔi	p ɔ i	Tolsma1999	0	89	Nepali: ghām. (Tolsma1999)
#
115	Kulung	the needle (for sewing)	needle (n.)	chamei	tsʰ a m e i	Tolsma1999	0	578	Nepali: siyo. (Tolsma1999)
#
116	Kulung	the nose	nose (n.)	nap	n a p	Tolsma1999	0	80	Nepali: nāk. (Tolsma1999)
#
117	Kulung	the pig	pig (black species) (n.)	bɔ:	b ɔ:	Tolsma1999	0	284	Nepali: suŋgur. (Tolsma1999)
#
118	Kulung	the rain	rain (n.)	wa	w a	Tolsma1999	0	10	Nepali: pānī. (Tolsma1999)
#
119	Kulung	the rainbow	rainbow (n.)	rɔktɔkhɔ:m	r ɔ k t ɔ kʰ ɔ: m	Tolsma1999	0	11	Nepali: indrenī (Tolsma1999)
120	Kulung	the rainbow	rainbow (n.)	cu:khɔ:m	ts u: kʰ ɔ: m	Tolsma1999	0	11	
#
121	Kulung	the rice plant	paddy, rice in the field, Oryza sativa L. (n.)	ra	r a	Tolsma1999	0	439	Nepali: dhān. (Tolsma1999)
#
122	Kulung	the river	river (n.)	yɔwa	j ɔ w a	Tolsma1999	0	30	Nepali: kholā. (Tolsma1999)
#
123	Kulung	the road	thoroughfare, way (n.)	chelamdelam	tsʰ e l a m d e l a m	Tolsma1999	0	38	Nepali: bāṭo ghāṭo. (Tolsma1999)
#
124	Kulung	the root	root (n.)	sam	s a m	Tolsma1999	0	375	Nepali: jaro. (Tolsma1999)
#
125	Kulung	the rope	rope, cord. (n.)	ribɔ	r i b ɔ	Tolsma1999	0	619	
#
126	Kulung	the salt	salt (n.)	rum	r u m	Tolsma1999	0	61	Nepali: nūn.. (Tolsma1999)
#
127	Kulung	the sand	sand (n.)	serɔm	s e r ɔ m	Tolsma1999	0	44	Nepali: bāluvā. (Tolsma1999)
#
128	Kulung	the seed	seed (n.)	calei	ts a l e i	Tolsma1999	0	405	Nepali: bīu. (Tolsma1999)
#
129	Kulung	the shoulder	shoulder (as seen from behind), shoulder blades (n.)	bɔutɔ	b ɔ u t ɔ	Tolsma1999	0	90	Nepali: kum. (Tolsma1999)
#
130	Kulung	the sickle	sickle (n.)	belɔ	b e l ɔ	Tolsma1999	0	624	Nepali: haṃsiyā. (Tolsma1999)
#
131	Kulung	the skin	skin (n.)	sɔkɔwar	s ɔ k ɔ w a r	Tolsma1999	0	120	Nepali: chālā. (Tolsma1999)
#
132	Kulung	the sky	sky, sun, weather (n.)	nam	n a m	Tolsma1999	0	1	Nepali: ākās!, ghām. (Tolsma1999)
#
133	Kulung	the smoke	smoke (n.)	mikma	m i k m a	Tolsma1999	0	19	Nepali: dhūvāṃ. (Tolsma1999)
#
134	Kulung	the snake	snake (n.)	pu	p u	Tolsma1999	0	347	Nepali: sāṃp. (Tolsma1999)
#
135	Kulung	the snow	snow, ice (n.)	nɔ:N	n ɔ: ŋ	Tolsma1999	0	12	Nepali: hiuṃ. (Tolsma1999)
#
136	Kulung	the son	child, offspring, son, daughter. (n.)	cha	tsʰ a	Tolsma1999	0	220	
#
137	Kulung	the spider	spider (n.)	punchiri	p u n tsʰ i r i	Tolsma1999	0	361	Nepali: mākurā. (Tolsma1999)
#
138	Kulung	the star	star (n.)	sɔNger	s ɔ ŋ g e r	Tolsma1999	0	5	Nepali: tārā. (Tolsma1999)
#
139	Kulung	the stone (a piece of)	stone, rock (n.)	luN	l u ŋ	Tolsma1999	0	379	Nepali: ḍhuŋgā. (Tolsma1999)
#
140	Kulung	the sun	sky, sun, weather (n.)	nam	n a m	Tolsma1999	0	2	Nepali: ākās!, ghām. (Tolsma1999)
#
141	Kulung	the tail	tail (n.)	meri	m e r i	Tolsma1999	0	267	Nepali: pucchar. (Tolsma1999)
#
142	Kulung	the thigh	thigh (n.)	phila	pʰ i l a	Tolsma1999	0	100	Nepali: philā. (Tolsma1999)
#
143	Kulung	the thunder	thunder (n.)	bululuwa	b u l u l u w a	Tolsma1999	0	8	Nepali: caṭyāŋ parcha (Tolsma1999)
#
144	Kulung	the tiger	tusk (of elephant), fang (of snake, pig, tiger) (n.)	kǝl	k ǝ l	Tolsma1999	0	304	Nepali: dāhrā. (Tolsma1999)
#
145	Kulung	the tongue	tongue (n.)	lem	l e m	Tolsma1999	0	139	Nepali: jibhro. (Tolsma1999)
#
146	Kulung	the tooth (front)	tooth (n.)	kaN	k a ŋ	Tolsma1999	0	137	Nepali: dāṃt. (Tolsma1999)
#
147	Kulung	the tree	tree (n.)	si:chɔ	s i: tsʰ ɔ	Tolsma1999	0	372	Nepali: rūkh. (Tolsma1999)
#
148	Kulung	the water	water (n.)	kawa	k a w a	Tolsma1999	0	47	Nepali: pānī. (Tolsma1999)
#
149	Kulung	the wheat	wheat, Triticum sativum (n.)	dɔcer	d ɔ ts e r	Tolsma1999	0	410	Nepali: gahuṃ. (Tolsma1999)
#
150	Kulung	the wife	wife (n.)	yu	j u	Tolsma1999	0	248	Nepali: patnī. (Tolsma1999)
151	Kulung	the wife	wife (n.)	tɔ:ma	t ɔ: m a	Tolsma1999	0	248	Nepali: svāsnī. (Tolsma1999)
#
152	Kulung	the wind	wind (n.)	hik	h i k	Tolsma1999	0	9	Nepali: hāvā. (Tolsma1999)
#
153	Kulung	the wing	wing (n.)	laptɔ	l a p t ɔ	Tolsma1999	0	298	Nepali: pakhetā. (Tolsma1999)
#
154	Kulung	the woman	Sherpa woman. (n.)	samme	s a m m e	Tolsma1999	0	174	
155	Kulung	the woman	young woman (n.)	sɔ:lɔme	s ɔ: l ɔ m e	Tolsma1999	0	174	Nepali: tarunī. (Tolsma1999)
#
156	Kulung	the wood (material)	sweep (with a broom or piece of wood), wipe off, blow one's nose (vt-4 [1: chis- 2: chiss- 3: chi-])	chima	tsʰ i m a	Tolsma1999	0	511	Nepali: baḍārnu, kuco lāunu. (Tolsma1999)
#
157	Kulung	the year	year (always preceded by a numeral) (n.)	-dɔN	d ɔ ŋ	Tolsma1999	0	777	Nepali: varṣa. (Tolsma1999)
#
158	Kulung	there	there, in there (adv.)	mǝnpi	m ǝ n p i	Tolsma1999	0	950	Nepali: tyahāṃ. (Tolsma1999)
#
159	Kulung	thin (object)	thin (adj.)	cupkhaswa	ts u p kʰ a s w a	Tolsma1999	0	981	Nepali: dublo. (Tolsma1999)
#
160	Kulung	three	three.. (num.)	supci	s u p ts i	Tolsma1999	0	799	
#
161	Kulung	to be alive	live, survive (vi-4 [1: let- 2: lei- 3: len-])	leima	l e i m a	Tolsma1999	0	1087	Nepali: bāṃcnu. (Tolsma1999)
#
162	Kulung	to bite	sting, bite, chew (vt-8 [1: khɔi- 2: khɔ- 3: khǝi- 4: khǝ- 5: khui- 6: khu- 7: kha- 8: khɔk-])	khɔma	kʰ ɔ m a	Tolsma1999	0	1753	Nepali: ṭoknu. (Tolsma1999)
#
163	Kulung	to blow (of wind)	1. pound, crush, knock, forge, blow (on a horn or flute) 2. lam dumma drive cattle (vt-4 [1: dup- 2: dupp- 3: dum-])	dumma	d u m m a	Tolsma1999	0	1738	Nepali: 1. kuṭnu, piṭnu, bajāunu. 2. hiṃḍāunu. (Tolsma1999)
#
164	Kulung	to burn [intransitive]	burn (of fire or light) (vi-4 [1: tit- 2: ti:- 3: tin-])	ti:ma	t i: m a	Tolsma1999	0	1269	Nepali: balnu. (Tolsma1999)
#
