NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
162	the sun	1343	2	1506	sun, sunshine (n.)
162	the sun	1343	2	2261	1) feel warm inside (said of ingested warm foodstuffs); 2) scorch, burn (agent: the sun or a solid not undergoing combustion) (1) vi. 2) vt.)
#>>>
163	the tail	1220	267		???
164	the thigh	800	100	2119	thigh; (of prepared fowl) drumstick. (n.)
165	the thunder	1150	8		???
166	the tiger	846	304		???
167	the tongue	1205	139	1242	tongue (n.)
168	the tooth (front)	1380	137	1738	extract, pull out, take out (any long object such as nails, teeth, pins which are rooted in or have been driven into something else), extirpate (vt.)
169	the tree	906	372		???
#<<<
170	the water	948	47	1485	irrigate, water (vt.)
170	the water	948	47	1612	sturdy large triangular woven basket, made of split bamboo (Nep. ba_s or nigālā), open at the top, carried upon the back and suspended from a wicker-strap or khaʔnam lashed across the forehead, employed by porters for transporting freight or those working in the field in transporting and distributing manure, water, etc. (n.)
#>>>
171	the wheat	1077	410		???
172	the wife	1199	248		???
173	the wind	960	9		???
174	the wing	1257	298	1118	wing (n.)
175	the wolf	522	324		???
176	the woman	962	174	376	woman, lady. (n.)
177	the wood (material)	1803	511		???
178	the year	1226	777		???
179	there	1937	950	1265	there, in that place (adv.)
180	thick	1244	980		???
181	thin (object)	2307	981		???
182	this	1214	942		???
#<<<
183	thou [second person singular]	1215	931	401	you (pl.) (pro.)
183	thou [second person singular]	1215	931	1278	you (dual) (pro.)
183	thou [second person singular]	1215	931	1279	you (singular) (pro.)
#>>>
184	three	492	799	995	three (num.coll.)
185	to be alive	1422	1087	2184	be alive, live (vi.)
186	to bite	1403	1753		???
187	to blow (of wind)	175	1738		???
#<<<
188	to burn [intransitive]	1428	1269	600	become burnt (of food which has been overheated), become charred. (vi.)
188	to burn [intransitive]	1428	1269	627	burn (bǝtti lamp, or an object in a fire) (vt.)
188	to burn [intransitive]	1428	1269	1210	scald, burn (of a liquid) (vt.)
188	to burn [intransitive]	1428	1269	1407	burn (said of a fire) (vi.)
#>>>
189	to buy	1869	1516	1800	buy, purchase. (vt.)
#<<<
190	to chew	321	1424	1303	chew (vt.)
190	to chew	321	1424	2265	chew (with difficulty), grind (vt.)
#>>>
#<<<
191	to come	1446	1491	517	come (movement along a horizontal plane) (vi.)
191	to come	1446	1491	1364	appear, show up, come (from afar) (vi.irr.)
#>>>
192	to count	1420	1640		???
193	to cry (weep)	1420	1485		???
#<<<
194	to die	1494	1651	896	pass away, decease (vr.)
194	to die	1494	1651	2129	kill, extinguish (vt.)
#>>>
195	to dig	1418	1698	1292	dig, spade. (vt.)
#<<<
196	to drink	1401	1370	1485	irrigate, water (vt.)
196	to drink	1401	1370	1612	sturdy large triangular woven basket, made of split bamboo (Nep. ba_s or nigālā), open at the top, carried upon the back and suspended from a wicker-strap or khaʔnam lashed across the forehead, employed by porters for transporting freight or those working in the field in transporting and distributing manure, water, etc. (n.)
#>>>
197	to eat	1336	1198	1530	eat (vt.irr.)
#<<<
198	to fight	1423	1234	911	wrestle; fight (physically) (vi.)
198	to fight	1423	1234	1314	argue, quarrel, fight (physically or verbally) (vi.)
#>>>
199	to float	1574	1553		???
200	to flow	2003	1502		???
201	to fly (move through air)	1441	1318	442	fly (vi.)
#<<<
202	to forget	1523	1704	1980	forget, be forgotten (vi.)
202	to forget	1523	1704	1981	forget (vt.)
#>>>
203	to give	1447	1345		???
204	to hear	1408	1682		???
#<<<
205	to hide (conceal)	602	1169	18	hide, conceal. (vt.)
205	to hide (conceal)	602	1169	1705	hide, leather. (n.)
#>>>
206	to hold	1448	1709		???
#<<<
207	to hunt	1435	1230	85	hunting, hunt. (n.)
207	to hunt	1435	1230	413	chase (vt.)
207	to hunt	1435	1230	1846	drive (vt.)
#>>>
208	to kill	1417	1602	2129	kill, extinguish (vt.)
#<<<
209	to knead	274	1594	110	knead, mix by hand (vt.)
209	to knead	274	1594	475	knead, make dough (vt.)
#>>>
210	to know (something)	1410	1398	468	know (vt.)
211	to laugh	1355	1735	1935	smile, vide muse:N ye:pmaʔ. (n.)
212	to learn	504	1742	1987	1) read, study; 2) count. (vt.)
213	to lick	319	1674	305	lick (vt.)
214	to lie down	215	1661	1542	1) lie, be lying down, repose, lie down; reside, dwell, stay, inhabit, be situated, stay the night; 2) put, lay something somewhere (1) vi. 2) vt.)
215	to marry (a man marries a woman)	2164	1578		???
216	to plant (vegetals, rice)	1486	1774		???
#<<<
217	to play	1413	1703	1352	play (of little children) (vi.)
