# EDICTOR
@modified: 2015-02-02 16:0
#
ID	IPA	SOURCE	WOLD	TOWEROFBABEL	SCAID	NOTE	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	COGID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	TOKENS	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	POS	IELEX	SUBGROUP	MORPHEME_STRUCTURE	PARADIGM_1	PARADIGM_3	PARADIGM_4	PARADIGM_2	DUPLICATES
196			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Dulong				ashes (146)	264		Noun	ashes (5)	Nungish						
197			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Jingpo				ashes (146)	264		Noun	ashes (5)	SAL						
198			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Beijing				ashes (146)	264		Noun	ashes (5)	Sinitic						
199			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Caijia				ashes (146)	264		Noun	ashes (5)	Sinitic						
200			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Changsha				ashes (146)	264		Noun	ashes (5)	Sinitic						
201			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Ganzhou				ashes (146)	264		Noun	ashes (5)	Sinitic						
202			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Guangzhou				ashes (146)	264		Noun	ashes (5)	Sinitic						
203			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Meixian				ashes (146)	264		Noun	ashes (5)	Sinitic						
204			1.84	ashes(43)	0		the ashes		灰	ashes(4)	186	ashes(2)	灰	Old_Chinese				ashes (146)	264	ash	Noun	ashes (5)	Sinitic						
205			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Xiamen				ashes (146)	264		Noun	ashes (5)	Sinitic						
206			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Guiqiong				ashes (146)	264		Noun	ashes (5)	rGyalrongic						
207	tʰɤfkɤlɤɣi		1.84	ashes(43)	0		the ashes	%tʰɤfkɤlɤɣi	灰	ashes(4)	185	ashes(2)	灰	Japhug	1		tʰ ɤ f k ɤ l ɤ ɣ i	ashes (146)	264	ash	Noun	ashes (5)	rGyalrongic						
208			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Khroskyabs_Wobzi				ashes (146)	264		Noun	ashes (5)	rGyalrongic						
209			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Muya				ashes (146)	264		Noun	ashes (5)	rGyalrongic						
210			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Stau				ashes (146)	264		Noun	ashes (5)	rGyalrongic						
211	lhjwạ¹		1.84	ashes(43)	0		the ashes	lhjwạ¹	灰	ashes(4)	187	ashes(2)	灰	Tangut			lʰ j w ạ ¹	ashes (146)	264	ash	Noun	ashes (5)	rGyalrongic						
