NUMBER	GLOSS
1162	tinker (pans)
1163	wipe (the table)
1164	wipe away / erase
1165	guess (a riddle)
1166	guessed right, have
1167	cut (paper, cloth)
1168	step on / tread
1169	hide (sthg.)
1170	scratch (an itch against sthg.)
1171	poke (a sign into earth) / insert
1172	transplant (rice seedlings)
1173	audit (accounts)
1174	unseam (clothing)
1175	pull down (a house)
1176	fall down (a house) / collapse
1177	support s.b. with one's hand
1178	dilute / add water
1179	wind (thread onto a keel)
1180	want to eat (meat) badly
1181	gluttonous
1182	taste / try the flavor of
1183	repay
1184	sing
1185	make a row, racket
1186	stir-fry
1187	sink
1188	weigh (food)
1189	commend / praise
1190	prop up / support
1191	open (an umbrella)
1192	done, be / accomplished
1193	accomplish / succeed
1194	fill (a bowl with rice)
1195	hold, can
1196	admit
1197	clarify / clear up
1198	eat
1199	charge / sprint (in the front)
1200	rinse / flush
1201	pestle / pound (verb)
1202	take out (from in between, a part from a whole)
1203	smoke (a cigarette) (verb)
1204	whip / thrash
1205	produce
1206	go out
1207	come out (the sun)
1208	come out
1209	withdraw / take out
1210	hoe up (weeds)
1211	wear (a garment)
1212	put on (shoes)
1213	thread (a needle)
1214	puncture (sthg.)
1215	punch a hole / perforate
1216	hand down (to posterity)
1217	infect
1218	blow (the trumpet)
1219	blow away (a speck of dust)
1220	beat / thump
1221	jab / poke / stab
1222	pierce through
1223	hurt by stinging
1224	urge / hurry / speed up
1225	twist (hemp fibers) between the palms
1226	wrong, be
1227	promise / consent
1228	hit (a person)
1229	gesticulate
1230	hunt
1231	fire (a shot)
1232	hit, have (the target)
1233	war, go to / battle (verb)
1234	fight (verb)
1235	break up / scatter (verb)
1236	separated accidentally and lose contact with, get (verb)
1237	overthrow / down with (verb)
1238	fetch / draw (water) (verb)
1239	gather (firewood) (verb)
