ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
146	465295	-ba	also (ns)		RB-LMMG	1945	Garo (Bangladesh)	0.14-II:idx
147	465296	ba-	what? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
148	465297	ba•-a	thin (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.215-II:idx
149	465298	ba•-a	perch (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.482-II:idx
150	465299	ba•-a	bear; birth (vt)		RB-LMMG	1945	Garo (Bangladesh)	6.77-II:idx
151	465300	ba-ang-a	thin; thin of forest (n)		RB-LMMG	1945	Garo (Bangladesh)	4.630-II:idx
152	465301	ba-ba	dad; father (n)		RB-LMMG	1945	Garo (Bangladesh)	6.611-II:idx
153	465302	ba-da ko-|pi	cabbage (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
154	465303	ba-dak-a	how? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
155	465304	ba-dam	peanut (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
156	465305	ba•-deng-deng	thin (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.215-II:idx
157	465306	ba-di	how? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
158	465307	ba-di-a	exceed; more (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.348-II:idx
159	465308	ba-dik-e	how? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
160	465309	ba-ding-a	peddle (vt)		RB-LMMG	1945	Garo (Bangladesh)	8.444-II:idx
161	465310	ba-di-sik	how many?; how much? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
162	465311	ba-du-ri-a	pour rain; rain (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.327-II:idx
163	465312	ba-du-si du-a	swelling (vph)		RB-LMMG	1945	Garo (Bangladesh)	8.956-II:idx
164	465313	ba-gan	garden (n)		RB-LMMG	1945	Garo (Bangladesh)	5.112-II:idx
165	465314	ba-gi	sharecropping (n)		RB-LMMG	1945	Garo (Bangladesh)	8.425-II:idx
166	465315	ba-gi ron•-a	sharecrop (vph)		RB-LMMG	1945	Garo (Bangladesh)	8.425-II:idx
167	465316	ba-gip-a	which? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
168	465317	Ba•-gip-a Bi-rom-bi	creator (n)		RB-LMMG	1945	Garo (Bangladesh)	8.54-II:idx
169	465318	ba-git-a	which way? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
170	465319	bai-a	endure; last (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.53-II:idx
171	465320	bai-bai	same; similarly (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.433-II:idx
172	465321	bail	fish trap (n)		RB-LMMG	1945	Garo (Bangladesh)	5.843-II:idx
173	465322	bai-re	outside (n)		RB-LMMG	1945	Garo (Bangladesh)	5.644-II:idx
174	465323	bai-sik	what time? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
175	465324	bait	wet land (n)		RB-LMMG	1945	Garo (Bangladesh)	5.114-II:idx
176	465325	ba-jar	bazaar (n)		RB-LMMG	1945	Garo (Bangladesh)	8.449-II:idx
177	465326	ba-je-a	tangled (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.718-II:idx
178	465327	ba-ji	o'clock (n)		RB-LMMG	1945	Garo (Bangladesh)	2.51-II:idx
179	465328	ba-jin-a	play musical instruments; sound (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.624-II:idx
180	465329	ba-ju	friend (n)		RB-LMMG	1945	Garo (Bangladesh)	6.83-II:idx
181	465330	bak	portion; share (n)		RB-LMMG	1945	Garo (Bangladesh)	3.347-II:idx
182	465331	bak on-et-a	divide (vt)		RB-LMMG	1945	Garo (Bangladesh)	8.427-II:idx
183	465332	bak-a	dig (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
184	465333	ba-ki bre-a	buy on credit; credit (vph)		RB-LMMG	1945	Garo (Bangladesh)	8.444-II:idx
185	465334	bak-rok-a	scrape (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
186	465335	bak-so	box (n)		RB-LMMG	1945	Garo (Bangladesh)	5.82-II:idx
187	465336	bak-wak-a	scoop (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.576-II:idx
188	465337	bal-a	carry in mouth (vt)		RB-LMMG	1945	Garo (Bangladesh)	4.482-II:idx
189	465338	bal-a	bloom; pop (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.691-II:idx
190	465339	bal-ang-ga	empty; open (n)		RB-LMMG	1945	Garo (Bangladesh)	2.26-II:idx
191	465340	bal-beng-a	float (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.279-II:idx
192	465341	bal-iis	pillow (n)		RB-LMMG	1945	Garo (Bangladesh)	6.591-II:idx
193	465342	bal-iis-war	pillow cover (n)		RB-LMMG	1945	Garo (Bangladesh)	6.591-II:idx
194	465343	bal-im	veranda (n)		RB-LMMG	1945	Garo (Bangladesh)	5.635-II:idx
195	465344	bal•-jak	maturing (adv)		RB-LMMG	1945	Garo (Bangladesh)	6.78-II:idx
196	465345	bal-ju-ri-a	float (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.279-II:idx
197	465346	bal-mik-a	drizzle (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.325-II:idx
198	465347	bal-ru-ru-a	jumble; mess (vt)		RB-LMMG	1945	Garo (Bangladesh)	3.718-II:idx
199	465348	bal-si-ri-a	breeze (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.36-II:idx
200	465349	bal-ti	bucket; pail (n)		RB-LMMG	1945	Garo (Bangladesh)	5.436-II:idx
201	465350	bal-wa	breeze; wind (n)		RB-LMMG	1945	Garo (Bangladesh)	4.36-II:idx
202	465351	bam-a	brood (vt)		RB-LMMG	1945	Garo (Bangladesh)	4.482-II:idx
203	465352	bam-a	bow; lean over (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.348-II:idx
204	465353	bam-e dong-a	crouch (vph)		RB-LMMG	1945	Garo (Bangladesh)	9.348-II:idx
205	465354	bam-gok-a	bow (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.348-II:idx
206	465355	bam-kom-a	curl (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.348-II:idx
207	465356	ban	dam (n)		RB-LMMG	1945	Garo (Bangladesh)	5.114-II:idx
208	465357	ban-a	magic (vt)		RB-LMMG	1945	Garo (Bangladesh)	8.566-II:idx
209	465358	ba-nai-a	appoint; build; choose; construct; create; prepare (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.13-II:idx
