ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
166	473319	-barai	V always	evsp	SVB-GA	1973	Atong	
167	473320	baram-	rough	adj1	SVB-GA	1973	Atong	
168	473321	barat	string that pulls the skin of a drum tight	n	SVB-GA	1973	Atong	
169	473322	barat-	ashamed, to be shy	vdat	SVB-GA	1973	Atong	
170	473323	barata	paratha, flatbread	n	SVB-GA	1973	Atong	
171	473324	baratwami	shame	n	SVB-GA	1973	Atong	
172	473325	bari	garden	n	SVB-GA	1973	Atong	
173	473326	bas	bus	n	SVB-GA	1973	Atong	
174	473327	ba◦sak-	burn and cause a rash, to cause irritation or itching	v	SVB-GA	1973	Atong	
175	473328	bas◦nengtakgaba	bus stop	n	SVB-GA	1973	Atong	
176	473329	basu	crown feathers of a bird	n	SVB-GA	1973	Atong	
177	473330	-bat	most	evsp	SVB-GA	1973	Atong	
178	473331	bat-	stick in	v	SVB-GA	1973	Atong	
179	473332	batdyl	slingshot	n	SVB-GA	1973	Atong	
180	473333	bathan	lying on his back	adj2	SVB-GA	1973	Atong	
181	473334	batkynyng-	smash	v	SVB-GA	1973	Atong	
182	473335	baton	button	n	SVB-GA	1973	Atong	
183	473336	batphai-	throw hard	v	SVB-GA	1973	Atong	
184	473337	batpyret-	smash by throwing something to the ground	v	SVB-GA	1973	Atong	
185	473338	baw•-	dry: to make jerky, to dry vegetables	v	SVB-GA	1973	Atong	
186	473339	bawang	length of the widely stretched arms and hands	clf	SVB-GA	1973	Atong	
187	473340	bawbyl	enemy	n	SVB-GA	1973	Atong	
188	473341	bawbyl chambyl	enemy	n khjyks	SVB-GA	1973	Atong	
189	473342	bawen	circle	n	SVB-GA	1973	Atong	
190	473343	bawen-	move in a circle, to make a circle around something	v	SVB-GA	1973	Atong	
191	473344	bawra	arrogance	n	SVB-GA	1973	Atong	
192	473345	bebe	truly	adv	SVB-GA	1973	Atong	
193	473346	bebe-	believe	v	SVB-GA	1973	Atong	
194	473347	bejaw-	experience the sensation of being tickled	v	SVB-GA	1973	Atong	
195	473348	bek	bag	n	SVB-GA	1973	Atong	
196	473349	bel•-	retract the foreskin from the glans penis	v	SVB-GA	1973	Atong	
197	473350	belcha	spade	n	SVB-GA	1973	Atong	
198	473351	bengblok	toad, type of frog	n	SVB-GA	1973	Atong	
199	473352	bera	fence	n	SVB-GA	1973	Atong	
200	473353	bering	food cooked in a wa•sung	n	SVB-GA	1973	Atong	
201	473354	bering-	cook in a bamboo cylinder (wa•sung)	v	SVB-GA	1973	Atong	
202	473355	bereng-	cook in a bamboo cylinder (wa•sung)	v	SVB-GA	1973	Atong	
