# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD
49	above (175)	-			-	0	above	Khroskyabs_Wobzi		-	-	-	-	-		-	7064					Function word	0	-	rGyalrongic	-	-	-	-	12081
50	above (175)	-			-	0	above	Muya		-	-	-	-	-		-	7064					Function word	0	-	rGyalrongic	-	-	-	-	12081
51	above (175)	-			-	0	above	Stau		-	-	-	-	-		-	7064					Function word	0	-	rGyalrongic	-	-	-	-	12081
52	above (175)	-			-	0	above	Tangut		-	-	-	-	-		-	7064					Function word	0	-	rGyalrongic	-	-	-	-	12081
53	above (175)	-			-	0	above	Zbu		-	-	-	-	-		-	7064					Function word	0	-	rGyalrongic	-	-	-	-	12081
12993						0	above	Guzhang			上面	高頭		kau⁵⁵ ta			7064						0							
13470						0	above	Guzhang			上面	皮頭		fɤ¹³ ta									0							
13471						0	above	Guzhang			上面	X頭		tsɪ⁵⁵ ta									0							
13480						0	above	Caijia									7064						0							
13740						0	above	Jixi				以上		ɨ²¹³ ɕiõ²²			7064						0							
14000						0	above	Changshan									7064						0							
14260						0	above	Qimen			上头	上头		ʂũːə³³ le⁰		with d > l lenition	7064						0							
14520						0	above	Dancun				上高		çiɛŋ³² kɔ⁵⁵			7064						0							
14812						0	above	Qimen			上头	高头		kɔ¹¹ le⁰		with d > l lenition							0							
#
54	all (191)	-			全部	0	all	Dashi		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
55	all (191)	-			全部	0	all	Zhaozhuang		-	全部		all (2)			-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
56	all (191)	-			全部	0	all	Ega		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
57	all (191)	-			全部	0	all	Enqi		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
58	all (191)	t͡ɕʰ ɔ ⁵⁵ k u ⁵⁵			全部	2	all	Eryuan		tɕʰɔ55ku55	all / 都	-	all (2)	t͡ɕʰɔ₅₅ku₅₅		-	1173416					Function word	3	Allen2007, 499	Bai	all (of a number)(1)	all(1)	t͡ɕʰ ɔ ⁵⁵ k u ⁵⁵	all(84)	13.14
59	all (191)	-			全部	0	all	Gongxing		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
60	all (191)	t͡s a ³⁵ ɕ ɯ ⁵⁵			全部	5	all	Heqi		tsa35ɕɯ55	all / 都	-	all (2)	t͡sa₃₅ɕɯ₅₅		-	1173416					Function word	4	Allen2007, 499	Bai	all (of a number)(1)	all(1)	t͡s a ³⁵ ɕ ɯ ⁵⁵	all(84)	13.14
