# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
88	Ega	bark	t͡ɕya₂₁	t͡ɕ ya ₂₁	t͡ɕ ya ₂₁	tɕya21	to bark	Wang2006a	1438	363	?	CVT	verb
89	Jinman	bark	t͡ɕua₅₃	t͡ɕ ua ₅₃	t͡ɕ ua ₅₃	tɕua53	to bark	Wang2006a	1438	363	?	CVT	verb
90	Jinxing	bark	pio₄₂	p io ₄₂	p io ₄₂	pio42	to bark	Wang2006a	1438	363	?	CVT	verb
91	Dashi	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	to bark	Wang2006a	1438	363	?	CVT	verb
92	Zhoucheng	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	to bark	Wang2006a	1438	363	?	CVT	verb
93	Mazhelong	bark	pʰia₄₂	pʰ ia ₄₂	pʰ ia ₄₂	pʰia42	to bark	Wang2006a	1438	363	?	CVT	verb
94	Jianchuan	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
95	Eryuan	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
96	Heqi	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
97	Lanping	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
98	Qiliqiao	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
99	Yunlong	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
100	Xiangyun	bark	pia₄₂	p ia ₄₂	p ia ₄₂	pia42	bark(of dog)	Allen2007	382	363	吠	CVT	verb
101	Luobenzhuo	bark	ʧua₄₄	ʧ ua ₄₄	ʧ ua ₄₄	ʧua44	bark(of dog)	Allen2007	382	363	吠	CVT	verb
#
102	Tuoluo	barley	zɔ₃₅	z ɔ ₃₅	- - - z ɔ ₃₅	zɔ35	barley	Wang2006a	411	136	?	CVT	?
103	Gongxing	barley	zao₁₂	z ao ₁₂	- - - z ao ₁₂	zao12	barley	Wang2006a	411	136	?	CVT	?
104	Enqi	barley	zo₄₃	z o ₄₃	- - - z o ₄₃	zo43	barley	Wang2006a	411	136	?	CVT	?
105	Ega	barley	zo₂₁	z o ₂₁	- - - z o ₂₁	zo21	barley	Wang2006a	411	136	?	CVT	?
106	Jinman	barley	zao₂₁	z ao ₂₁	- - - z ao ₂₁	zao21	barley	Wang2006a	411	136	?	CVT	?
107	Jinxing	barley	sou₂₁	s ou ₂₁	- - - s ou ₂₁	sou21	barley	Wang2006a	411	136	?	CVT	?
108	Dashi	barley	zau₂₁	z au ₂₁	- - - z au ₂₁	zau21	barley	Wang2006a	411	136	?	CVT	?
109	Zhoucheng	barley	zo₂₁	z o ₂₁	- - - z o ₂₁	zo21	barley	Wang2006a	411	136	?	CVT	?
