rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
499753	mik◦te•ʔ◦wa	species of insect	n	RR-Yamphu	1873	Yamphu	556.23
499754	mi◦ni◦ma	cat	n	RR-Yamphu	1873	Yamphu	556.29
499755	min◦ju◦wa	fly (insect)	n	RR-Yamphu	1873	Yamphu	556.3
499756	mi◦ra	tail	n	RR-Yamphu	1873	Yamphu	556.31
499757	miʔ◦wa	tear	n	RR-Yamphu	1873	Yamphu	557.04
499758	mu◦a	hawk	n	RR-Yamphu	1873	Yamphu	557.23
499759	muk◦kun◦daik	species of creeper (Mucuna monosperma OR Mucuna macrocarpa)	n	RR-Yamphu	1873	Yamphu	557.24
499760	muk◦nu◦ak	dirt on the body, dust or dirtiness	n	RR-Yamphu	1873	Yamphu	557.26
499761	mun◦da	money	n	RR-Yamphu	1873	Yamphu	557.27
499762	mun◦dri	ring	n	RR-Yamphu	1873	Yamphu	557.28
499763	na	fish	n	RR-Yamphu	1873	Yamphu	558.03
499764	na	elder sister (bound morph)	n	RR-Yamphu	1873	Yamphu	558.04
499765	na◦jik	face	n	RR-Yamphu	1873	Yamphu	558.07
499766	nak◦poŋ	fifty	num	RR-Yamphu	1873	Yamphu	558.11
499767	nam	sun, sunshine	n	RR-Yamphu	1873	Yamphu	558.13
499768	nam◦ba	father-in-law	n	RR-Yamphu	1873	Yamphu	558.14
499769	nan◦bhu	large stomach of herbivores	n	RR-Yamphu	1873	Yamphu	558.15
499770	nam◦bhuŋ◦la	woods, forest	n	RR-Yamphu	1873	Yamphu	558.16
499771	nam◦daŋ	cheek	n	RR-Yamphu	1873	Yamphu	558.17
499772	nam◦dræʔ◦wa	bolt of lightning	n	RR-Yamphu	1873	Yamphu	558.18
499773	nam◦druŋ◦ma	firmament, sky	n	RR-Yamphu	1873	Yamphu	558.19
499774	nam◦ji◦riʔ◦ha	shade	n	RR-Yamphu	1873	Yamphu	558.2
