# EDICTOR
@modified: 2015-02-10 12:26
#
ID	IPA	CONCEPT	CHINESE	COGID	DOCULECT	TOKENS	OMEGAWIKI
349		the bark	树皮	0	Dumi		5439
350	kâː	the bark	树皮	200	Khaling	k âː	5439
351	horik	the bark	树皮	199	Limbu	ʰo r i k	5439
352		the bark	树皮	0	Wambule		5439
353		the bark	树皮	0	Yakkha		5439
354		the bark	树皮	0	Yamphu		5439
355		the bark	树皮	0	Dulong		5439
356		the bark	树皮	0	Jingpo		5439
357		the bark	树皮	0	Beijing		5439
358		the bark	树皮	0	Caijia		5439
359		the bark	树皮	0	Changsha		5439
360		the bark	树皮	0	Ganzhou		5439
361		the bark	树皮	0	Guangzhou		5439
362		the bark	树皮	0	Meixian		5439
363	0	the bark	树皮	196	Old_Chinese	0	5439
364		the bark	树皮	0	Xiamen		5439
365		the bark	树皮	0	Guiqiong		5439
366	tɤ-rqʰu	the bark	树皮	195	Japhug	t ɤ ◦ r qʰ u	5439
367		the bark	树皮	0	Khroskyabs_Wobzi		5439
368		the bark	树皮	0	Muya		5439
369		the bark	树皮	0	Stau		5439
370	0	the bark	树皮	194	Tangut	0	5439
371		the bark	树皮	0	Zbu		5439
#
372		to be alive	活的	0	Dashi		6028
373		to be alive	活的	0	Zhaozhuang		6028
374		to be alive	活的	0	Ega		6028
375		to be alive	活的	0	Enqi		6028
376		to be alive	活的	0	Eryuan		6028
377		to be alive	活的	0	Gongxing		6028
378		to be alive	活的	0	Heqi		6028
379		to be alive	活的	0	Jianchuan		6028
380		to be alive	活的	0	Jinman		6028
381		to be alive	活的	0	Jinxing		6028
382		to be alive	活的	0	Luobenzhuo		6028
383		to be alive	活的	0	Mazhelong		6028
384		to be alive	活的	0	Qiliqiao		6028
385		to be alive	活的	0	Xiangyun		6028
386		to be alive	活的	0	Yunlong		6028
387		to be alive	活的	0	Zhoucheng		6028
388		to be alive	活的	0	Cone_Tibetan		6028
389		to be alive	活的	0	Lhasa_Tibetan		6028
390	gso	to be alive	活的	0	Old_Tibetan		6028
391		to be alive	活的	0	Achang_Lianghe		6028
392		to be alive	活的	0	Achang_Longchuan		6028
393		to be alive	活的	0	Achang_Luxi		6028
394		to be alive	活的	0	Atsi		6028
395		to be alive	活的	0	Bola		6028
396		to be alive	活的	0	Burmese		6028
397		to be alive	活的	0	Hpun		6028
398		to be alive	活的	0	Lashi		6028
399		to be alive	活的	0	Maru		6028
400		to be alive	活的	0	Old_Burmese		6028
401		to be alive	活的	0	Xiandau		6028
402		to be alive	活的	0	Dumi		6028
403		to be alive	活的	0	Khaling		6028
404		to be alive	活的	0	Limbu		6028
405		to be alive	活的	0	Wambule		6028
406		to be alive	活的	0	Yakkha		6028
407		to be alive	活的	0	Yamphu		6028
408		to be alive	活的	0	Dulong		6028
409		to be alive	活的	0	Jingpo		6028
410		to be alive	活的	0	Beijing		6028
411		to be alive	活的	0	Caijia		6028
412		to be alive	活的	0	Changsha		6028
413		to be alive	活的	0	Ganzhou		6028
414		to be alive	活的	0	Guangzhou		6028
415		to be alive	活的	0	Meixian		6028
416		to be alive	活的	569	Old_Chinese	◦	6028
417		to be alive	活的	0	Xiamen		6028
418		to be alive	活的	0	Guiqiong		6028
419	sɯsu	to be alive	活的	568	Japhug	s ɯ s u	6028
420		to be alive	活的	0	Khroskyabs_Wobzi		6028
421		to be alive	活的	0	Muya		6028
422		to be alive	活的	0	Stau		6028
423		to be alive	活的	0	Tangut		6028
424		to be alive	活的	0	Zbu		6028
#
425		the belly	肚子	0	Dashi		5516
426		the belly	肚子	0	Zhaozhuang		5516
427		the belly	肚子	0	Ega		5516
428		the belly	肚子	0	Enqi		5516
429		the belly	肚子	0	Eryuan		5516
430		the belly	肚子	0	Gongxing		5516
431		the belly	肚子	0	Heqi		5516
432		the belly	肚子	0	Jianchuan		5516
433		the belly	肚子	0	Jinman		5516
434		the belly	肚子	0	Jinxing		5516
435		the belly	肚子	0	Luobenzhuo		5516
436		the belly	肚子	0	Mazhelong		5516
437		the belly	肚子	0	Qiliqiao		5516
438		the belly	肚子	0	Xiangyun		5516
439		the belly	肚子	0	Yunlong		5516
440		the belly	肚子	0	Zhoucheng		5516
441		the belly	肚子	0	Cone_Tibetan		5516
442		the belly	肚子	0	Lhasa_Tibetan		5516
443	pʰo.ba	the belly	肚子	203	Old_Tibetan	pʰ o b a	5516
444		the belly	肚子	0	Achang_Lianghe		5516
445		the belly	肚子	0	Achang_Longchuan		5516
446		the belly	肚子	0	Achang_Luxi		5516
447		the belly	肚子	0	Atsi		5516
448		the belly	肚子	0	Bola		5516
449	wam²	the belly	肚子	205	Burmese	w a m ²	5516
450		the belly	肚子	0	Hpun		5516
451		the belly	肚子	0	Lashi		5516
452		the belly	肚子	0	Maru		5516
453		the belly	肚子	0	Old_Burmese		5516
454		the belly	肚子	0	Xiandau		5516
455		the belly	肚子	0	Dumi		5516
456	mupu	the belly	肚子	207	Khaling	m u p u	5516
457	sappok	the belly	肚子	206	Limbu	s a pp o k	5516
458		the belly	肚子	0	Wambule		5516
459		the belly	肚子	0	Yakkha		5516
460		the belly	肚子	0	Yamphu		5516
461		the belly	肚子	0	Dulong		5516
462		the belly	肚子	0	Jingpo		5516
463		the belly	肚子	0	Beijing		5516
464		the belly	肚子	0	Caijia		5516
465		the belly	肚子	0	Changsha		5516
466		the belly	肚子	0	Ganzhou		5516
467		the belly	肚子	0	Guangzhou		5516
468		the belly	肚子	0	Meixian		5516
469	*m-tˤaʔ	the belly	肚子	204	Old_Chinese	m ◦ tˤ a ʔ	5516
470		the belly	肚子	0	Xiamen		5516
471		the belly	肚子	0	Guiqiong		5516
472	tɯ-xtu	the belly	肚子	202	Japhug	t ɯ ◦ x t u	5516
473		the belly	肚子	0	Khroskyabs_Wobzi		5516
474		the belly	肚子	0	Muya		5516
475		the belly	肚子	0	Stau		5516
476	.o¹	the belly	肚子	203	Tangut	o ¹	5516
477		the belly	肚子	0	Zbu		5516
#
478		below, under		0	Dashi		6199
479		below, under		0	Zhaozhuang		6199
480		below, under		0	Ega		6199
481		below, under		0	Enqi		6199
482		below, under		0	Eryuan		6199
483		below, under		0	Gongxing		6199
484		below, under		0	Heqi		6199
485		below, under		0	Jianchuan		6199
486		below, under		0	Jinman		6199
487		below, under		0	Jinxing		6199
488		below, under		0	Luobenzhuo		6199
489		below, under		0	Mazhelong		6199
490		below, under		0	Qiliqiao		6199
491		below, under		0	Xiangyun		6199
492		below, under		0	Yunlong		6199
493		below, under		0	Zhoucheng		6199
494		below, under		0	Cone_Tibetan		6199
495		below, under		0	Lhasa_Tibetan		6199
496	gɕam	below, under		0	Old_Tibetan	g ɕ a m	6199
497		below, under		0	Achang_Lianghe		6199
498		below, under		0	Achang_Longchuan		6199
499		below, under		0	Achang_Luxi		6199
500		below, under		0	Atsi		6199
501		below, under		0	Bola		6199
502		below, under		0	Burmese		6199
503		below, under		0	Hpun		6199
504		below, under		0	Lashi		6199
505		below, under		0	Maru		6199
506		below, under		0	Old_Burmese		6199
507		below, under		0	Xiandau		6199
508		below, under		0	Dumi		6199
509		below, under		0	Khaling		6199
510		below, under		0	Limbu		6199
511		below, under		0	Wambule		6199
512		below, under		0	Yakkha		6199
513		below, under		0	Yamphu		6199
514		below, under		0	Dulong		6199
515		below, under		0	Jingpo		6199
516		below, under		0	Beijing		6199
517		below, under		0	Caijia		6199
518		below, under		0	Changsha		6199
519		below, under		0	Ganzhou		6199
520		below, under		0	Guangzhou		6199
521		below, under		0	Meixian		6199
522	*gˤraʔ	below, under		18	Old_Chinese	gˤ r a ʔ	6199
523		below, under		0	Xiamen		6199
524		below, under		0	Guiqiong		6199
525	ɯ-pa	below, under		17	Japhug	ɯ ◦ p a	6199
526		below, under		0	Khroskyabs_Wobzi		6199
527		below, under		0	Muya		6199
528		below, under		0	Stau		6199
529		below, under		0	Tangut		6199
530		below, under		0	Zbu		6199
#
531	tou₄₂	big	大	19	Dashi	t o u ⁴²	5437
532		big	大	0	Zhaozhuang		5437
533	do₄₂	big	大	19	Ega	d o ⁴²	5437
534	da₄₃	big	大	19	Enqi	d a ⁴³	5437
535	tɔ₃₁	big	大	19	Eryuan	t ɔ ³¹	5437
536	da₄₂	big	大	19	Gongxing	d a ⁴²	5437
537	tɔu₄₂	big	大	19	Heqi	t ɔ u ⁴²	5437
538	tou₄₂	big	大	19	Jianchuan	t o u ⁴²	5437
539	do₄₂	big	大	19	Jinman	d o ⁴²	5437
540	tou₄₂	big	大	19	Jinxing	t o u ⁴²	5437
541	ʈao₄₄	big	大	19	Luobenzhuo	ʈ a o ⁴⁴	5437
542	do₄₂	big	大	19	Mazhelong	d o ⁴²	5437
543	tɔ₃₁	big	大	19	Qiliqiao	t ɔ ³¹	5437
544	tɔu₂₁	big	大	19	Xiangyun	t ɔ u ²¹	5437
545	dao₃₁	big	大	19	Yunlong	d a o ³¹	5437
546	to₄₂	big	大	19	Zhoucheng	t o ⁴²	5437
547		big	大	0	Cone_Tibetan		5437
548		big	大	0	Lhasa_Tibetan		5437
549	tɕʰe-	big	大	20	Old_Tibetan	tɕʰ e	5437
550		big	大	0	Achang_Lianghe		5437
551		big	大	0	Achang_Longchuan		5437
552		big	大	0	Achang_Luxi		5437
553		big	大	0	Atsi		5437
554		big	大	0	Bola		5437
555	kri²	big	大	23	Burmese	k r i ²	5437
556		big	大	0	Hpun		5437
557		big	大	0	Lashi		5437
558		big	大	0	Maru		5437
559		big	大	0	Old_Burmese		5437
560		big	大	0	Xiandau		5437
561		big	大	0	Dumi		5437
562	ghoɔ̄lpɛ	big	大	25	Khaling	gʰ o ɔ̄ l p ɛ	5437
563	yɔmba	big	大	24	Limbu	y ɔ m b a	5437
564		big	大	0	Wambule		5437
565		big	大	0	Yakkha		5437
566		big	大	0	Yamphu		5437
567		big	大	0	Dulong		5437
568		big	大	0	Jingpo		5437
569		big	大	0	Beijing		5437
570		big	大	0	Caijia		5437
571		big	大	0	Changsha		5437
572		big	大	0	Ganzhou		5437
573		big	大	0	Guangzhou		5437
574		big	大	0	Meixian		5437
575	*lˤa[t]-s	big	大	22	Old_Chinese	lˤ a t ◦ s	5437
576		big	大	0	Xiamen		5437
577		big	大	0	Guiqiong		5437
578	wxti	big	大	20	Japhug	w x t i	5437
579		big	大	0	Khroskyabs_Wobzi		5437
580		big	大	0	Muya		5437
581		big	大	0	Stau		5437
582	thạ²	big	大	21	Tangut	tʰ ạ ²	5437
583		big	大	0	Zbu		5437
#
584	t͡sou₃₃	the bird	鸟	208	Dashi	t͡s o u ³³	400
585		the bird	鸟	0	Zhaozhuang		400
586	t͡su₄₄	the bird	鸟	208	Ega	t͡s u ⁴⁴	400
