# Wordlist

# DATA
ID	SRCABBR	STEDT_GLOSS	CONCEPT	RN	GFN	SRCID	LGID	DOCULECT	REFLEX
20168	ZMYYC	December	December	184409		87.27	942	Lisu	dʒi³³tʃɑ⁵⁵hɑ³³
21172	ZMYYC	December	December	184417		87.43	1034	Maru [Langsu]	lɔ̱⁵⁵tă³¹tshɛ³¹ʃi̱k⁵⁵khj
22176	ZMYYC	December	December	184400		87.7	1088	Tsangla (Motuo)	dawa tɕuŋȵipa; jøda
23181	ZMYYC	December	December	184424		87.6	1092	Tshona (Mama)	le⁵³tɕiŋ⁵⁵nᴀi¹³
24185	ZMYYC	December	December	184403		87.15	1136	Muya [Minyak]	dɛ³³wɛ⁵⁵tɕu⁵⁵ȵi⁵⁵pɛ⁵³
25189	ZMYYC	December	December	184405		87.19	1147	Namuyi	xo³³ȵi⁵⁵ɬi⁵⁵
26193	ZMYYC	December	December	184418		87.45	1215	Nusu (Bijiang)	tshe³¹m̩⁵⁵ɬɑ³¹
27197	ZMYYC	December	December	184402		87.11	1306	Pumi (Qinghua)	uɑ¹³dʒɛ̃⁵⁵iɛ̃¹³
28201	ZMYYC	December	December	184426		87.10	1309	Pumi (Taoba)	khəu⁵⁵ɕi³⁵ɬe⁵³
29205	ZMYYC	December	December	184425		87.8	1320	Qiang (Mawo)	ha nəʂ
30209	ZMYYC	December	December	184401		87.9	1323	Qiang (Taoping)	χɑ³¹ȵi³³ʂɿ³³
31213	ZMYYC	December	December	184427		87.12	1340	rGyalrong	zla wa ptʃə ŋȵəs
32217	ZMYYC	December	December	184398		87.3	1380	Tibetan (Khams:Dege)	da¹³wa⁵³tɕuŋ⁵³ȵi⁵⁵
33221	ZMYYC	December	December	184431		87.20	1409	Xumi	qɛ⁵⁵ȵi⁵⁵ɬɯ³³
34225	ZMYYC	December	December	184437		87.32	1416	Hani (Shuikui)	tʃo³³l̥ɔ³³
35229	ZMYYC	December	December	184441		87.40	1428	Burmese (Spoken Rangoon)	tɑ⁵³pɑũ⁵⁵
36233	ZMYYC	December	December	184447		87.52	1431	Sulung [Puroik]	tɕa³³me³³aŋ³³bo³³
38011	ZMYYC	December	December	232075		87.13	1496	Tangut [Xixia]	--
38241	ZMYYC	December	December	184423		87.4	1550	Tibetan (Amdo:Bla-brang)	hda tɕə hȵi
39245	ZMYYC	December	December	184422		87.2	1557	Tibetan (Lhasa)	ta¹³wa¹³tɕuŋ⁵⁵ȵiʔ⁵³pa⁵³
40249	ZMYYC	December	December	184397		87.1	1582	Tibetan (Written)	zla ba btɕu gnis pa
41253	ZMYYC	December	December	184399		87.5	1585	Tibetan (Amdo:Zeku)	rdza ptɕek ȵi
42257	ZMYYC	December	December	184440		87.38	1615	Tujia	si⁵⁵ɯ⁵⁵jie⁵⁵
43261	ZMYYC	December	December	184432		87.22	1658	Yi (Dafang)	ȵi³³ho²¹
44266	ZMYYC	December	December	184408		87.25	1662	Yi (Mile)	tshi³³ni²¹ɬo³³; lᴀ̱²¹ʑi³³
45271	ZMYYC	December	December	184434		87.26	1663	Yi (Mojiang)	tshɯ²¹ni²¹xo²¹
46276	ZMYYC	December	December	184433		87.24	1664	Yi (Nanhua)	tʂᴀ⁵⁵ɕo⁵⁵
47280	ZMYYC	December	December	184407		87.23	1666	Yi (Nanjian)	tɕhi⁵⁵n̩(ɿ)²¹lɑ³³
48284	ZMYYC	December (snake month)	December	184406		87.21	1670	Yi (Xide)	ʂɿ³³ɬɯ⁴⁴
49288	ZMYYC	December	December	184410		87.29	1676	Naxi (Yongning)	tshe³³ȵi³³ɬe³³
50292	ZMYYC	December	December	184442		87.42	1693	Atsi [Zaiwa]	lŏ̱⁵⁵mo⁵⁵lă²¹tshe⁵¹i⁵⁵k
51297	ZMYYC	December	December	184429		87.16	1699	Queyu (Yajiang) [Zhaba]	da³⁵wa⁵⁵tɕo⁵⁵ȵi⁵⁵pa⁵³
#
77	ZMYYC	February	February	183906		77.41	200	Achang (Longchuan)	sək⁵⁵pau⁵¹l̥ɔ³⁵
1081	ZMYYC	February	February	183933		77.44	269	Anong	ɑ³¹ȵ̩⁵⁵sɿ³¹lɑ⁵⁵
2085	ZMYYC	February	February	183904		77.37	311	Bai (Bijiang)	ʐeʴ⁴²ŋuɑ⁴⁴
3089	ZMYYC	February	February	183903		77.35	314	Bai (Dali)	zi³¹uɑ⁴⁴
4093	ZMYYC	February	February	183929		77.36	317	Bai (Jianchuan)	si³¹ŋuɑ⁴⁴
5097	ZMYYC	February	February	183911		77.51	368	Bokar Lhoba	*
6101	ZMYYC	February	February	183905		77.39	411	Burmese (Written)	kɑ¹hsun²
7105	ZMYYC	February	February	183926		77.30	418	Hani (Caiyuan)	*
8109	ZMYYC	February	February	183910		77.49	509	Darang [Taraon]	xɑ⁵⁵lo⁵³kɑ³¹n̩⁵⁵
9113	ZMYYC	February	February	183901		77.31	510	Hani (Dazhai)	dʑo³¹ȵi⁵⁵si³¹
10117	ZMYYC	February	February	183934		77.46	537	Trung [Dulong]	ɑ³¹ni⁵⁵sɯ³¹lɑ⁵⁵
11121	ZMYYC	February	February	183918		77.14	557	Ergong (Danba)	ɦɛ ȵɯ pa
12125	ZMYYC	February	February	183920		77.18	561	Ersu	rɿ⁵⁵i⁵⁵ɬɑ³³
13130	ZMYYC	February	February	183935		77.48	592	Kaman [Miju]	lɑi⁵³kɯ³¹jin⁵⁵
14134	ZMYYC	February	February	183894		77.17	595	Guiqiong	ȵi⁵⁵npu⁵⁵li⁵³
15138	ZMYYC	February	February	183936		77.50	662	Idu	e⁵⁵lɑ⁵⁵kɑ³¹ni⁵⁵
16142	ZMYYC	February	February	183909		77.47	690	Jingpho	ʒa³³ta̱³³
17146	ZMYYC	February	February	183928		77.34	696	Jinuo	ni⁵⁵ɬɔ³³
18150	ZMYYC	February	February	183902		77.33	851	Lahu (Black)	ə³⁵ze³³xᴀ³³pᴀ³³
19154	ZMYYC	February	February	183925		77.28	908	Naxi (Lijiang)	xe³¹ndʑə³¹
20158	ZMYYC	February	February	183899		77.27	942	Lisu	be³³sɿ⁴¹hɑ³³
21162	ZMYYC	February	February	183907		77.43	1034	Maru [Langsu]	lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵
22166	ZMYYC	February	February	183890		77.7	1088	Tsangla (Motuo)	dawa ȵipa; bryda
23171	ZMYYC	February	February	183914		77.6	1092	Tshona (Mama)	le⁵³nᴀi¹³
24175	ZMYYC	February	February	183893		77.15	1136	Muya [Minyak]	dɛ³³wɛ⁵⁵ȵi⁵⁵pɛ⁵³
25179	ZMYYC	February	February	183895		77.19	1147	Namuyi	ȵi⁵⁵ɬi⁵⁵
26183	ZMYYC	February	February	183908		77.45	1215	Nusu (Bijiang)	m̩⁵⁵ɬɑ³¹
27187	ZMYYC	February	February	183892		77.11	1306	Pumi (Qinghua)	ʒõ¹³uɑ̃⁵⁵ɬi⁵⁵
28191	ZMYYC	February	February	183916		77.10	1309	Pumi (Taoba)	nə³⁵li⁵⁵mei³⁵
29195	ZMYYC	February	February	183915		77.8	1320	Qiang (Mawo)	ɣnəʂ
30199	ZMYYC	February	February	183891		77.9	1323	Qiang (Taoping)	ȵi⁵⁵ʂɿ³³
31203	ZMYYC	February	February	183917		77.12	1340	rGyalrong	zla wa ȵəs pɐ
32207	ZMYYC	February	February	183888		77.3	1380	Tibetan (Khams:Dege)	da¹³wa⁵³ȵi⁵⁵pa⁵³
33211	ZMYYC	February	February	183921		77.20	1409	Xumi	ȵɛ³³ɬɯ⁵⁵
34215	ZMYYC	February	February	183927		77.32	1416	Hani (Shuikui)	pi³¹zɿ³¹pɔ³³l̥ɔ³³
35219	ZMYYC	February	February	183931		77.40	1428	Burmese (Spoken Rangoon)	kɑ⁵³hsõ²²
36223	ZMYYC	February	February	183937		77.52	1431	Sulung [Puroik]	lɯk³³kɯŋ³³aŋ³³bo³³
37900	ZMYYC	February	February	231964		77.13	1496	Tangut [Xixia]	--
38231	ZMYYC	February	February	183913		77.4	1550	Tibetan (Amdo:Bla-brang)	hda nȵi
39235	ZMYYC	February	February	183912		77.2	1557	Tibetan (Lhasa)	ta¹³wa¹³ȵi⁵⁵pa⁵³
40239	ZMYYC	February	February	183887		77.1	1582	Tibetan (Written)	zla ba gȵis pa
41243	ZMYYC	February	February	183889		77.5	1585	Tibetan (Amdo:Zeku)	rdza ȵi wa
42247	ZMYYC	February	February	183930		77.38	1615	Tujia	ɯ³⁵jie⁵⁵
43251	ZMYYC	February	February	183922		77.22	1658	Yi (Dafang)	tha²¹ɬo²¹ho³³
44256	ZMYYC	February	February	183898		77.25	1662	Yi (Mile)	mi³³dʑi²¹ɬo³³
