# Wordlist

# META
@modified:2015-01-20 10:39
@tree:(((Luobenzhuo,(Enqi,(Ega,Jinman))),(Gongxing,Tuoluo)),(Mazhelong,((Xiangyun,((Qiliqiao,(Eryuan,Yunlong)),(Lanping,(Heqi,Jianchuan)))),(Zhoucheng,(Dashi,Jinxing)))));

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
32	ant	Allen2007	pi21pɯ31	?	蚂蚁	Yunlong	pi₂₁pɯ₃₁	ant	74	CVTCVT	p i ₂₁ p ɯ ₃₁	1 7 8 1 7 8	AXTBYT	PI3PI3	16	16.P.C 16.I.V 16.3.T 16.P.C 16.I.V 16.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
33	ant	Allen2007	pi21pou21tsɿ33	?	蚂蚁	Xiangyun	pi₂₁pou₂₁t͡sɿ₃₃	ant	74	CVTCVTCVT	p i ₂₁ p o u ₂₁ t͡s ɿ ₃₃	1 7 8 1 7 7 8 2 7 8	AXTBYYTBYT	PI3PUY3CI4	15	15.P.C 15.I.V 15.3.T 15.P.C 15.U.V 15.Y.V 15.3.T 15.C.C 15.I.V 15.4.T	1.6 3.0 1.0 1.3 3.0 3.0 1.0 1.3 3.0 1.0	0
34	ant	Allen2007	tɕi31pɯ21	?	蚂蚁	Luobenzhuo	t͡ɕi₃₁pɯ₂₁	ant	74	CVTCVT	t͡ɕ i ₃₁ p ɯ ₂₁	2 7 8 1 7 8	AXTBYT	CI3PI3	11	11.C.C 11.I.V 11.3.T 11.P.C 11.I.V 11.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
35	ask; question	Wang2006a	tʂua42	verb	?	Tuoluo	t͡ʂua₄₂	ask	1708	CVT	t͡ʂ u a ₄₂	2 7 7 8	AXYT	CYA3	14	14.C.C 14.Y.V 14.A.V 14.3.T	1.6 3.0 3.0 1.0	0
36	ask; question	Wang2006a	tɕuɛ24	verb	?	Gongxing	t͡ɕuɛ₂₄	ask	1708	CVT	t͡ɕ u ɛ ₂₄	2 7 7 8	AXYT	CYE2	5	5.C.C 5.Y.V 5.E.V 5.2.T	1.6 3.0 3.0 1.0	0
37	ask; question	Wang2006a	piæ55	verb	?	Enqi	piæ₅₅	ask	1708	CVT	p i æ ₅₅	1 7 7 8	AXYT	PIE5	3	3.P.C 3.I.V 3.E.V 3.5.T	1.6 3.0 3.0 1.0	0
38	ask; question	Wang2006a	tɕya44	verb	?	Ega	t͡ɕya₄₄	ask	1708	CVT	t͡ɕ y a ₄₄	2 7 7 8	AXYT	CYA5	2	2.C.C 2.Y.V 2.A.V 2.5.T	1.6 3.0 3.0 1.0	1
39	ask; question	Wang2006a	tɕua55	verb	?	Jinman	t͡ɕua₅₅	ask	1708	CVT	t͡ɕ u a ₅₅	2 7 7 8	AXYT	CYA5	8	8.C.C 8.Y.V 8.A.V 8.5.T	1.6 3.0 3.0 1.0	1
40	ask; question	Wang2006a	pia44	verb	?	Jinxing	pia₄₄	ask	1708	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	9	9.P.C 9.I.V 9.A.V 9.5.T	1.6 3.0 3.0 1.0	0
41	ask; question	Wang2006a	piɚ44	verb	?	Dashi	piɚ₄₄	ask	1708	CVT	p i ɚ ₄₄	1 7 7 8	AXYT	PIE5	1	1.P.C 1.I.V 1.E.V 1.5.T	1.6 3.0 3.0 1.0	0
42	ask; question	Wang2006a	piɛ44	verb	?	Zhoucheng	piɛ₄₄	ask	1708	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	17	17.P.C 17.I.V 17.E.V 17.5.T	1.6 3.0 3.0 1.0	0
43	ask; question	Wang2006a	piɚ44	verb	?	Mazhelong	piɚ₄₄	ask	1708	CVT	p i ɚ ₄₄	1 7 7 8	AXYT	PIE5	12	12.P.C 12.I.V 12.E.V 12.5.T	1.6 3.0 3.0 1.0	0
44	ask	Allen2007	piɛ44	verb	问	Jianchuan	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	7	7.P.C 7.I.V 7.E.V 7.5.T	1.6 3.0 3.0 1.0	0
45	ask	Allen2007	piɛ44	verb	问	Eryuan	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	4	4.P.C 4.I.V 4.E.V 4.5.T	1.6 3.0 3.0 1.0	0
46	ask	Allen2007	piɛ44	verb	问	Heqi	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	6	6.P.C 6.I.V 6.E.V 6.5.T	1.6 3.0 3.0 1.0	0
