# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
5356	Jinman	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
5357	Jinxing	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
5358	Dashi	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
5359	Zhoucheng	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
5360	Mazhelong	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
#
4460	Tuoluo	(wood)	guo₄₂	g uo ₄₂	g uo ₄₂	guo42	(wood)	Wang2006a	511	166	?	CVT	?
4461	Gongxing	(wood)	ɢua₂₁	ɢ ua ₂₁	ɢ ua ₂₁	ɢua21	(wood)	Wang2006a	511	166	?	CVT	?
4462	Enqi	(wood)	qua₂₁	q ua ₂₁	q ua ₂₁	qua21	(wood)	Wang2006a	511	166	?	CVT	?
4463	Jinxing	(wood)	kuɑ₄₂	k uɑ ₄₂	k uɑ ₄₂	kuɑ42	(wood)	Wang2006a	511	166	?	CVT	?
4464	Dashi	(wood)	kua₄₂	k ua ₄₂	k ua ₄₂	kua42	(wood)	Wang2006a	511	166	?	CVT	?
#
5744	Gongxing	(xx language) (is this intended?)	ŋo₄₂	ŋ o ₄₂	ŋ o - ₄₂	ŋo42	(xx language) (is this intended?)	Wang2006a	2124	455	?	CVT	?
5745	Enqi	(xx language) (is this intended?)	ŋo₄₃	ŋ o ₄₃	ŋ o - ₄₃	ŋo43	(xx language) (is this intended?)	Wang2006a	2124	455	?	CVT	?
5746	Mazhelong	(xx language) (is this intended?)	oŋ₂₁	o ŋ ₂₁	- o ŋ ₂₁	oŋ21	(xx language) (is this intended?)	Wang2006a	2124	455	?	VcT	?
#
4313	Tuoluo	Chinese chestnut	t͡ɕʰi₅₅ji₄₂	t͡ɕʰ i ₅₅ j i ₄₂	- - - t͡ɕʰ - i ₅₅ j i ₄₂ - - -	tɕʰi55(ji42)	Chinese chestnut	Wang2006a	397	128	?	CVTCVT	?
4314	Gongxing	Chinese chestnut	t͡ɕʰi₅₅ʑi₂₁	t͡ɕʰ i ₅₅ ʑ i ₂₁	- - - t͡ɕʰ - i ₅₅ - - - ʑ i ₂₁	tɕʰi55(ʑi21	Chinese chestnut	Wang2006a	397	128	?	CVTCVT	?
4315	Enqi	Chinese chestnut	t͡sʰi₅₅jɯ₂₁	t͡sʰ i ₅₅ j ɯ ₂₁	- - - t͡sʰ - i ₅₅ j ɯ ₂₁ - - -	tsʰi55(jɯ21)	Chinese chestnut	Wang2006a	397	128	?	CVTCVT	?
4316	Ega	Chinese chestnut	ɕu₂₂t͡sʰi₅₅ji₂₁lɛ₂₁	ɕ u ₂₂ t͡sʰ i ₅₅ j i ₂₁ l ɛ ₂₁	ɕ u ₂₂ t͡sʰ - i ₅₅ j i ₂₁ l ɛ ₂₁	(ɕu22)tsʰi55(ji21lɛ21)	Chinese chestnut	Wang2006a	397	128	?	CVTCVTCVTCVT	?
4317	Jinman	Chinese chestnut	xa₅₅ne₂₂₁	x a ₅₅ n e ₂₂₁	x a ₅₅ - - - - - - - n e ₂₂₁	(xa55ne221)	Chinese chestnut	Wang2006a	397	128	?	CVTCVT	?
4318	Jinxing	Chinese chestnut	t͡ɕʰi₅₅ji₃₁	t͡ɕʰ i ₅₅ j i ₃₁	- - - t͡ɕʰ - i ₅₅ j i ₃₁ - - -	tɕʰi55(ji31)	Chinese chestnut	Wang2006a	397	128	?	CVTCVT	?
4319	Dashi	Chinese chestnut	t͡ɕʰli₄₄	t͡ɕʰ l i ₄₄	- - - t͡ɕʰ l i ₄₄ - - - - - -	tɕʰ(li44)	Chinese chestnut	Wang2006a	397	128	?	CCVT	?
4320	Mazhelong	Chinese chestnut	to₂₁ju₂₁	t o ₂₁ j u ₂₁	- - - t - o ₂₁ j u ₂₁ - - -	(to21ju21)	Chinese chestnut	Wang2006a	397	128	?	CVTCVT	?
#
4068	Tuoluo	Han Chinese	haŋ₂₁	h a ŋ ₂₁	h a ŋ ₂₁	haŋ21	Han Chinese	Wang2006a	165	63	?	CVcT	?
