ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
160	Ukhrul	the meat	525886	634	443	skin (human); meat	ʔa-sa	ʔ a s a
161	Ukhrul	the meat	525800	634	443	meat; animal; skin	sa	s a
162	Ukhrul	the moon	526897	1313	4	moon	kə-caŋ	k ə c a ŋ
163	Ukhrul	the mother	526863	1216	219	mother	ʔa-vu	ʔ a v u
164	Ukhrul	the mountain	526768	639	23	mountain, forest	kə-pʰuŋ	k ə pʰ u ŋ
165	Ukhrul	the mouse or rat	525848	2139	320	rat, rodent	ʃi-ok	ʃ i o k
166	Ukhrul	the mouth	525861	674	84	mouth	kʰə-mor	kʰ ə m o r
167	Ukhrul	the mud	528643	640	46	walk in water or mud	kʰə-ŋə-com	kʰ ə ŋ ə c o m
168	Ukhrul	the nail (fingernail or claw)	526734	2128	113	(finger) nail	leŋ-kor	l e ŋ k o r
169	Ukhrul	the name	526660	1405	687	name	ʔa-miŋ	ʔ a m i ŋ
170	Ukhrul	the neck	526735	1333	89	neck	ʔa-kʰoŋ	ʔ a kʰ o ŋ
171	Ukhrul	the needle (for sewing)	526766	1382	578	needle	kə-pim	k ə p i m
172	Ukhrul	the nose	525812	1221	80	nose	na-taŋ	n a t a ŋ
173	Ukhrul	the otter	526819	15	317	otter	si-rɐm	s i r ɐ m
174	Ukhrul	the pig	525898	1337	284	pig	hok	h o k
175	Ukhrul	the rain	526687	658	10	sky; rain	kə-tsiŋ	k ə ts i ŋ
176	Ukhrul	the rain	527873	658	10	rain	kʰə-ro	kʰ ə r o
177	Ukhrul	the rain	528202	658	10	rain / hit heavily / too hard	kʰə-mɐr	kʰ ə m ɐ r
178	Ukhrul	the river	525804	666	30	river	koŋ	k o ŋ
179	Ukhrul	the river	526775	666	30	river	koŋ	k o ŋ
180	Ukhrul	the road	525864	667	38	road	ʃoŋ-fu	ʃ o ŋ f u
181	Ukhrul	the road	526831	667	38	road	soŋ-fu	s o ŋ f u
182	Ukhrul	the root	525851	670	375	root	a-ŋə-juŋ	a ŋ ə j u ŋ
183	Ukhrul	the root	526693	670	375	root	ʔa-ŋə-juŋ	ʔ a ŋ ə j u ŋ
184	Ukhrul	the rope	527667	1218	619	tie things together w/rope	kə-kʰə-rɐp	k ə kʰ ə r ɐ p
185	Ukhrul	the salt	526670	1274	61	salt	mə-ci	m ə c i
186	Ukhrul	the sand	526165	671	44	sand	si-tuj	s i t u j
187	Ukhrul	the seed	525820	714	405	egg (hàr 'chicken' + -ru 'water')	ha-ru	h a r u
188	Ukhrul	the seed	526133	714	405	seed	ʔa-tʰa	ʔ a tʰ a
189	Ukhrul	the shit	526876	676	151	defecate	kə-paj	k ə p a j
190	Ukhrul	the skin	528399	763	120	hide; to take shelter	kʰə-ŋə-jin	kʰ ə ŋ ə j i n
191	Ukhrul	the skin	525886	763	120	skin (human); meat	ʔa-sa	ʔ a s a
192	Ukhrul	the skin	525800	763	120	meat; animal; skin	sa	s a
193	Ukhrul	the sky	526687	1732	1	sky; rain	kə-tsiŋ	k ə ts i ŋ
194	Ukhrul	the smoke	525865	778	19	smoke	mej-kʰut	m e j kʰ u t
195	Ukhrul	the snake	525849	730	347	snake	pʰa-|ru	pʰ a |r u
196	Ukhrul	the snake	526765	730	347	snake	pʰə-|ru	pʰ ə |r u
197	Ukhrul	the son	525896	1620	220	man, son	mə-jar-naw	m ə j a r n a w
198	Ukhrul	the star	525871	1430	5	star	si◦ra	s i ◦ r a
199	Ukhrul	the star	526690	1430	5	star	si-ra	s i r a
200	Ukhrul	the stick	526037	1295	586	stick, sticky	kʰə-nap	kʰ ə n a p
201	Ukhrul	the stick	525803	1295	586	stick	tʰiŋ	tʰ i ŋ
202	Ukhrul	the stick	527455	1295	586	stick	kʰə-ŋə-nɐr	kʰ ə ŋ ə n ɐ r
203	Ukhrul	the stick	528331	1295	586	get soaked (as tree, wood, etc.)	kə-pʰə-jip	k ə pʰ ə j i p
204	Ukhrul	the stick	526770	1295	586	tree / wood / stick	tʰiŋ	tʰ i ŋ
205	Ukhrul	the stick	528225	1295	586	extract (as fat, wood, oil, etc.)	kʰə-rɐŋ	kʰ ə r ɐ ŋ
206	Ukhrul	the stone (a piece of)	526161	857	379	stone	ŋə-luŋ-kuj	ŋ ə l u ŋ k u j
207	Ukhrul	the stone (a piece of)	526691	857	379	stone	ŋə-luŋ	ŋ ə l u ŋ
208	Ukhrul	the sun	525872	1343	2	sun	tsimik	ts i m i k
209	Ukhrul	the sun	526692	1343	2	sun / day	tsi-mik	ts i m i k
210	Ukhrul	the tail	526740	1220	267	tail	kʰə-mej	kʰ ə m e j
211	Ukhrul	the thunder	526080	1150	8	thunder	kʰə-ŋə-ʃum	kʰ ə ŋ ə ʃ u m
212	Ukhrul	the tiger	528754	846	304	tiger	ʃaŋ-ku	ʃ a ŋ k u
213	Ukhrul	the tongue	525889	1205	139	tongue	mə-le	m ə l e
214	Ukhrul	the tongue	526899	1205	139	tongue	mə-lej	m ə l e j
215	Ukhrul	the tooth (front)	526733	1380	137	tooth	ʔa-ha	ʔ a h a
216	Ukhrul	the tree	526101	906	372	tree	tʰiŋ◦roŋ	tʰ i ŋ ◦ r o ŋ
217	Ukhrul	the tree	528743	906	372	tree	tʰiŋ-roŋ	tʰ i ŋ r o ŋ
218	Ukhrul	the tree	526770	906	372	tree / wood / stick	tʰiŋ	tʰ i ŋ
219	Ukhrul	the water	525870	948	47	water	ta-ru	t a r u
220	Ukhrul	the water	526695	948	47	water	tɐ-ru	t ɐ r u
221	Ukhrul	the wind	525824	960	9	wind	mə-ʃi	m ə ʃ i
