ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
162	Hayu	the mountain	120561	639	23	hill, mountain (n)	tshaːdzʊ	tsh aː d z ʊ
163	Hayu	the mouse or rat	121509	2139	320	rodent (?shrew) (n df.)	sɩktaŋ	s ɩ k t a ŋ
164	Hayu	the mouse or rat	120525	2139	320	mouse (n)	tsuʔyu	ts u ʔ y u
165	Hayu	the mouth	121223	674	84	mouth, face (n)	muktshu	m u k tsh u
166	Hayu	the nail (fingernail or claw)	120825	2128	113	nail, claw (n)	dɩːmɩn	d ɩː m ɩ n
167	Hayu	the nail (fingernail or claw)	121521	2128	113	claw, pinch (vt, ?vt)	su(t)	s u
168	Hayu	the name	121214	1405	687	name (n)	miŋ	m i ŋ
169	Hayu	the neck	120373	1333	89	neck (n)	kho◦bori	kh o ◦ b o r i
170	Hayu	the neck	120577	1333	89	neck (n)	tshiː◦ri	tsh iː ◦ r i
171	Hayu	the needle (for sewing)	120531	1382	578	needle (n)	tsuxtsum	ts u x ts u m
172	Hayu	the nose	120551	1221	80	nose (n)	tsoʔ◦no	ts o ʔ ◦ n o
173	Hayu	the pig	120982	1337	284	pig (n)	pʊk	p ʊ k
174	Hayu	the rain	120879	658	10	rain (n)	naʔnum	n a ʔ n u m
175	Hayu	the river	120386	666	30	river (n)	gaŋ	g a ŋ
176	Hayu	the road	121433	667	38	road (n)	lom	l o m
177	Hayu	the root	121366	670	375	root (n)	rotshiŋ	r o tsh i ŋ
178	Hayu	the rope	120894	1218	619	thread, string (vt, vtt)	niŋ	n i ŋ
179	Hayu	the salt	120510	1274	61	salt (n)	tsiya	ts i y a
180	Hayu	the sand	120957	671	44	sand (n)	piː̃ku	p iː̃ k u
181	Hayu	the seed	120219	714	405	egg (n)	kuŋ◦luŋ	k u ŋ ◦ l u ŋ
182	Hayu	the seed	120493	714	405	egg, eggshell, testicle (n)	tsaʔluŋ	ts a ʔ l u ŋ
183	Hayu	the shit	120871	676	151	defecate, urinate (unexpectedly); abort (n + vr)	naŋ	n a ŋ
184	Hayu	the shit	120166	676	151	excrement (n)	ex◦pi	e x ◦ p i
185	Hayu	the shoulder	120926	1482	90	back / to the rear (adv)	noŋlim	n o ŋ l i m
186	Hayu	the shoulder	121008	1482	90	back (n)	pexti	p e x t i
187	Hayu	the shoulder	121513	1482	90	back / backbone (n)	sɩ̃ːtɩ	s ɩ̃ː t ɩ
188	Hayu	the shoulder	121061	1482	90	shoulder (n)	phaxka	ph a x k a
189	Hayu	the skin	120202	763	120	hide (vr)	kin	k i n
190	Hayu	the skin	120662	763	120	skin (vt, vtt)	tak	t a k
191	Hayu	the skin	120214	763	120	skin, bark, husk, peel (n)	kuk◦tsho	k u k ◦ tsh o
192	Hayu	the sky	121473	1732	1	make a sound, thunder (vtt)	sak	s a k
193	Hayu	the sky	121059	1732	1	lightning, thunder (n)	phaːra	ph aː r a
194	Hayu	the smoke	120228	778	19	smoke (n)	kulu	k u l u
195	Hayu	the smoke	120962	778	19	suck, nurse, smoke (tobacco) (vt, vr)	pip	p i p
196	Hayu	the snake	121631	730	347	snake (n)	hoːbu	h oː b u
197	Hayu	the son	120674	1620	220	son (n)	taːwo	t aː w o
198	Hayu	the spider	121334	843	361	spider (n)	rimdeŋ	r i m d e ŋ
199	Hayu	the spider	120193	843	361	spider (n)	kaʔmara	k a ʔ m a r a
200	Hayu	the star	121668	1430	5	star (n)	xwaːmen	x w aː m e n
201	Hayu	the stick	121493	1295	586	wood (n)	siŋ	s i ŋ
202	Hayu	the stone (a piece of)	121410	857	379	rock, stone (n)	lʊ̃ːphʊ	l ʊ̃ː ph ʊ
203	Hayu	the sun	121427	1343	2	sun (n)	loːgaŋ	l oː g a ŋ
204	Hayu	the sun	120935	1343	2	sun (n)	no◦mo	n o ◦ m o
205	Hayu	the tail	121227	1220	267	tail (n)	mun	m u n
206	Hayu	the thigh	121083	800	100	thigh (n)	phekteŋ	ph e k t e ŋ
207	Hayu	the thunder	121473	1150	8	make a sound, thunder (vtt)	sak	s a k
208	Hayu	the thunder	121059	1150	8	lightning, thunder (n)	phaːra	ph aː r a
209	Hayu	the tiger	121126	846	304	wild cat, tiger (n)	bilu	b i l u
210	Hayu	the tongue	121384	1205	139	tongue (n)	lĩːga	l ĩː g a
211	Hayu	the tooth (front)	120374	1380	137	tooth (molar, jaw) (n)	khoːbʊm	kh oː b ʊ m
212	Hayu	the tooth (front)	120537	1380	137	tooth (incisor) (n)	tseʊ-tseʊ lu	tseʊ-tseʊ lu
213	Hayu	the tooth (front)	121395	1380	137	tooth (n)	lu	l u
214	Hayu	the tree	121075	906	372	tree, foot of a tree beginning (n)	phum	ph u m
215	Hayu	the tree	121448	906	372	tree (n df.)	lheːsaŋ	lh eː s a ŋ
216	Hayu	the tree	121499	906	372	tree (n)	siŋphum	s i ŋ ph u m
217	Hayu	the tree	121538	906	372	tree (n df.)	sekduk	s e k d u k
218	Hayu	the tree	121669	906	372	tree (n df.)	xwamsɩ	x w a ms ɩ
219	Hayu	the tree	120224	906	372	tree (n df.)	kuder	k u d e r
220	Hayu	the tree	120321	906	372	tree (n df.)	khaʔlaŋ	kh a ʔ l a ŋ
221	Hayu	the tree	120324	906	372	tree (n df.)	khaʔluŋ	kh a ʔ l u ŋ
222	Hayu	the tree	120479	906	372	tree (n df.)	dzyamari	d z y a m a r i
223	Hayu	the tree	120566	906	372	tree (n df.)	tshaniŋ-kʊʔli	tsh a n i ŋ k ʊ ʔ l i
224	Hayu	the tree	120400	906	372	tree, Ligustrum sp. (n df.)	giʔyoŋ	g i ʔ y o ŋ
225	Hayu	the tree	120625	906	372	tree; the flowers are eaten (n df.)	dzibi	d z i b i
226	Hayu	the tree	120832	906	372	tree (Duabanga sonneratioides) (vt df.)	duŋsiŋ	d u ŋs i ŋ
227	Hayu	the tree	120613	906	372	tree, Boehmeria rugulosa (n df.)	dzaŋsiŋ	d z a ŋs i ŋ
228	Hayu	the tree	121241	906	372	a tree, Nep. həlləuɖe (n df.)	mokolo	m o k o l o
229	Hayu	the water	120676	948	47	water (n)	ti	t i
230	Hayu	the water	120678	948	47	water (n)	ti	t i
231	Hayu	the wind	121599	960	9	wind (n)	hʊːdzʊŋ	h ʊː d z ʊ ŋ
232	Hayu	the wind	120226	960	9	wind (n)	kumdzʊŋ	k u m d z ʊ ŋ
233	Hayu	the woman	121222	962	174	woman (n)	mɩxtso	m ɩ x ts o
234	Hayu	the year	120783	1226	777	year (in time ordinals) (suffix)	thoŋ	th o ŋ
235	Hayu	thick	120297	1244	980	thick (of liquid) (adj)	klõːtʊ-klõːta	k l õː t ʊ k l õː t a
236	Hayu	thick	121041	1244	980	thick (of liquid) (adv)	plõːtom	p l õː t o m
237	Hayu	thick	120731	1244	980	thick (be v.)	ton	t o n
238	Hayu	thin (object)	120608	2307	981	thin (of liquid), watery (adv)	tshoːrum	tsh oː r u m
239	Hayu	thin (object)	120875	2307	981	thin, watery, fine (of cloth) (adj)	nadzanadza-mʊ	n a d z a n a d z a m ʊ
240	Hayu	thou [second person singular]	120139	1215	931	your , you (pron po)	uŋ	u ŋ
241	Hayu	thou [second person singular]	120431	1215	931	you (pron (2)	gon	g o n
242	Hayu	thou [second person singular]	120147	1215	931	your , you (PL) (pron po)	uni	u n i
243	Hayu	three	120584	492	799	three (humans) (num (hu)	tshukpu	tsh u k p u
244	Hayu	three	120581	492	799	three (non-humans) (num (no)	tshuʔuŋ	tsh u ʔ u ŋ
245	Hayu	to be alive	120655	1422	1087	live (vi)	dzol	d z o l
246	Hayu	to bite	120496	1403	1753	bite (vt, vr)	tsik	ts i k
247	Hayu	to blow (of wind)	121621	175	1738	blow, cure by blowing (vtt)	hot	h o t
248	Hayu	to burn [intransitive]	121590	1428	1269	burn (e.g. the hand) (? vtt,)	hut	h u t
249	Hayu	to burn [intransitive]	120532	1428	1269	roast, cremate, burn (vt, vtt)	tsʊ	ts ʊ
250	Hayu	to burn [intransitive]	120327	1428	1269	burn (food, in cooking) (vt, vr,)	khik	kh i k
251	Hayu	to burn [intransitive]	121277	1428	1269	burn (e.g. house, forest) (vtt)	yɩm	y ɩ m
252	Hayu	to burn [intransitive]	120865	1428	1269	light, burn (of a flame) (vt, vtt)	na	n a
253	Hayu	to burn [intransitive]	120535	1428	1269	burn (of grain which sticks to pot) (vtt, v)	tsʊm	ts ʊ m
254	Hayu	to burn [intransitive]	120524	1428	1269	burn, light (by contact with fire) (vtt)	tsut	ts u t
255	Hayu	to buy	121262	1869	1516	buy (vt, vtt)	yiŋ	y i ŋ
256	Hayu	to chew	120917	321	1424	chew (vt, vr)	nok	n o k
257	Hayu	to chew	121663	321	1424	bite into, chew (vt, vr)	xwap	x w a p
258	Hayu	to come	120858	1446	1491	arrive (vi)	doŋ	d o ŋ
259	Hayu	to come	120475	1446	1491	undone, come; get untied (v + la)	dzyat	d z y a t
260	Hayu	to come	120849	1446	1491	undone, come / released (be v.)	det	d e t
261	Hayu	to come	121063	1446	1491	come (on the same level) (vi)	phi(t)	ph i
262	Hayu	to count	121578	1420	1640	count, think (vtt)	hi	h i
263	Hayu	to cry (weep)	120169	1839	1485	crow, cry (of animal) (vi)	ok	o k
264	Hayu	to die	121286	1494	1651	chop, kill (vtt)	yʊk	y ʊ k
265	Hayu	to die	121238	1494	1651	die (vi)	met	m e t
266	Hayu	to die	121512	1494	1651	kill (vtt)	sɩt	s ɩ t
267	Hayu	to dig	120843	1418	1698	dig (with a digging-stick), dig up (vt, vtt)	dʊ	d ʊ
268	Hayu	to drink	120699	1401	1370	drink (except water) (vr, vt)	tun	t u n
269	Hayu	to eat	120610	1336	1198	eat (vt, vr)	dza	d z a
270	Hayu	to fight	120948	1423	1234	fight (vi, vr)	pat	p a t
271	Hayu	to fly (move through air)	121180	1441	1318	fly (vi, vr)	bon	b o n
272	Hayu	to fly (move through air)	120615	1441	1318	fly (n df.)	dzama	d z a m a
273	Hayu	to forget	121201	1523	1704	forget (vtt (?))	maŋ	m a ŋ
274	Hayu	to hear	120741	1408	1682	hear, perceive, liste (vt, vtt)	tha(t)	th a
275	Hayu	to hide (conceal)	120202	602	1169	hide (vr)	kin	k i n
276	Hayu	to hold	120593	1448	1709	catch, hold (vt, vtt)	tshʊ(t)	tsh ʊ
277	Hayu	to hunt	120694	1435	1230	strike on the end, drive (vtt)	tuk	t u k
278	Hayu	to hunt	121408	1435	1230	chase, cause to run (vtt)	lʊn	l ʊ n
279	Hayu	to hunt	120729	1435	1230	chase, pursue, drive (vtt)	to(t)	t o
280	Hayu	to kill	121286	1417	1602	chop, kill (vtt)	yʊk	y ʊ k
281	Hayu	to kill	121512	1417	1602	kill (vtt)	sɩt	s ɩ t
282	Hayu	to knead	120458	274	1594	knead (vt, vtt)	ca(t)	c a
283	Hayu	to know (something)	121511	1410	1398	know (vt)	sɩ(t)	s ɩ
284	Hayu	to know (something)	120636	1410	1398	know, know how, understand (vi)	dzʊk	d z ʊ k
285	Hayu	to laugh	121271	1355	1735	laugh (vr)	yɩt	y ɩ t
286	Hayu	to learn	121385	504	1742	teach, learn (refl.) (vtt, vr)	lit	l i t
287	Hayu	to lick	121025	319	1674	lick (vt)	pop	p o p
288	Hayu	to lick	121042	319	1674	lick (adv)	plop	p l o p
289	Hayu	to lie down	121139	215	1661	lie, joke (n)	budena	b u d e n a
290	Hayu	to plant (vegetals, rice)	121406	1486	1774	plant, transplant (vtt)	lʊt	l ʊ t
291	Hayu	to play	120733	1413	1703	hit, strike; play (an instrument) (vt)	top	t o p
292	Hayu	to play	121572	1413	1703	play, amuse, cause to play, swim (vtt)	han	h a n
293	Hayu	to pull	120331	1455	1568	pull, stretch, lead (vtt, vr)	khin	kh i n
294	Hayu	to push	120753	1452	1689	push (vt)	thɩ(t)	th ɩ
295	Hayu	to push	120913	1452	1689	push (vt, vr)	nok	n o k
296	Hayu	to run	121409	1519	1544	run (vr)	lʊn	l ʊ n
297	Hayu	to scratch	121326	1436	1530	scrape, whittle, peel (vt, vtt)	rik	r i k
298	Hayu	to scratch	120206	1436	1530	scratch; scrape (e.g. the inside of a pot) (vt, vtt)	kɩ	k ɩ
299	Hayu	to scratch	121090	1436	1530	scratch (vt, vr)	phok	ph o k
300	Hayu	to see	121296	1409	1471	see (vt)	yeŋ	y e ŋ
301	Hayu	to shoot (an arrow)	120175	1172	1611	shoot, shoot or throw at sth. (vt)	op	o p
302	Hayu	to sleep	120130	1585	1646	sleep (vi, vr)	ɩm	ɩ m
303	Hayu	to sleep	120132	1585	1646	sleep (n)	ɩ̃ː◦pi	ɩ̃ː ◦ p i
304	Hayu	to smell (perceive odor) [transitive]	120882	1586	1707	smell (n df.)	nam◦saŋ	n a m ◦ s a ŋ
305	Hayu	to smell (perceive odor) [transitive]	120881	1586	1707	smell, sniff; stink (vtt (im)	nam	n a m
306	Hayu	to sow (broadcast, scatter seeds)	120592	748	1597	sow (vt, vtt)	tshʊk	tsh ʊ k
307	Hayu	to spit	120720	1440	1688	swallow, spit (vtt, vr)	tok	t o k
308	Hayu	to stand	121276	1442	1784	stand; build, stand sth. up (vr, vt, vtt)	yɩp	y ɩ p
309	Hayu	to think (reflect)	121578	1415	1726	count, think (vtt)	hi	h i
310	Hayu	to throw	120488	1456	1687	throw sth. at sth. (obj.)	tsat	ts a t
311	Hayu	to throw	120632	1456	1687	throw out (vtt)	dzup	d z u p
312	Hayu	to throw	120789	1456	1687	throw so. down; bump against sth. (vt, vtt)	thop	th o p
313	Hayu	to vomit	121055	1278	1535	vomit (n)	phaphari	ph a ph a r i
