ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
143	Bahing	the mosquito	122854	1509	360	biting fly, mosquito (n df.)	sypɛl	s y p ɛ l
144	Bahing	the mother	122589	1216	219	mother (n)	mama	m a m a
145	Bahing	the mother	122607	1216	219	female, mother (n)	mø	m ø
146	Bahing	the mountain	121830	639	23	hill	koŋko	k o ŋ k o
147	Bahing	the mouse or rat	121740	2139	320	mouse (n)	jy	j y
148	Bahing	the mouth	122822	674	84	mouth (n)	sœ	s œ
149	Bahing	the nail (fingernail or claw)	121952	2128	113	nail, claw (n)	gɛŋ	g ɛ ŋ
150	Bahing	the nail (fingernail or claw)	122516	2128	113	claw, scratch (vt)	bramt-	b r a m t
151	Bahing	the name	122308	1405	687	name (n)	niŋ	n i ŋ
152	Bahing	the neck	122710	1333	89	neck (n)	lɛpsy	l ɛ ps y
153	Bahing	the neck	122844	1333	89	neck (n)	sørø, syry	sørø, syry
154	Bahing	the needle (for sewing)	122749	1382	578	needle (n)	lymdze	l y m d z e
155	Bahing	the nose	122343	1221	80	nose (n)	nœ	n œ
156	Bahing	the pig	122393	1337	284	pig (n)	po	p o
157	Bahing	the rain	122649	658	10	rain (n)	rɛwa	r ɛ w a
158	Bahing	the rainbow	122053	1733	11	rainbow (n)	tsitsirwa	ts i ts i r w a
159	Bahing	the river	121984	666	30	river (n)	gulo	g u l o
160	Bahing	the road	122720	667	38	road (n)	lam	l a m
161	Bahing	the root	122776	670	375	root (n)	sɛŋgiri	s ɛ ŋ g i r i
162	Bahing	the rope	121992	1218	619	rope (n)	gra	g r a
163	Bahing	the salt	121737	1274	61	salt (n)	juksi	j u ks i
164	Bahing	the seed	122549	714	405	egg (n)	ʔbadi	ʔ b a d i
165	Bahing	the seed	121755	714	405	seed (n)	waːtser	w aː ts e r
166	Bahing	the sheep	121896	1331	275	sheep (n)	khɔkpa	kh ɔ k p a
167	Bahing	the shit	121773	676	151	defecate (v)	was-	w a s
168	Bahing	the shit	121927	676	151	excrement (n)	khli	kh l i
169	Bahing	the shoulder	122205	1482	90	shoulder (n)	tokto	t o k t o
