NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY
464	candle	0	???	8

465	match	0539	match (noun)	2

466	steelyard	0570	steelyard / scales (noun)	2

467	metal weight on steelyard	0570	steelyard / scales (noun)	5

468	firewood	0534	firewood (noun)	2

469	wood	0511	wood / log (noun)	2

470	fertilizer	0623	fertilizer / manure (noun)	2

471	dung / manure	0273	dung (horse) (noun)	2
471	dung / manure	0623	fertilizer / manure (noun)	2

472	ashes	0	???	8

473	garbage	0542	garbage / rubbish (noun)	2

474	road / way	0038	road (noun)	2
474	road / way	1756	lead the way (verb)	6

475	railroad	0	???	8

476	highway	0	???	8

477	bridge	0070	bridge (noun)	2

478	vehicle	0	???	8

479	train	0	???	8

480	car	0	???	8

481	boat	0602	boat / ship (noun)	2

482	airplane	0	???	8

483	marketplace	0	???	8

484	shop	0	???	8

485	money	0573	money (noun)	2

486	price	0	???	8

487	bank	0	???	8

488	interest	0576	interest (financial) (noun)	2

489	wages	0	???	8

490	paper	0647	paper (noun)	2

491	pen	0648	pen (writing instrument) (noun)	2

492	pencil	0	???	8

493	ink cake	0649	ink (Chinese) (noun)	7

494	ink	0649	ink (Chinese) (noun)	2

495	word / character	0643	character / word (noun)	2

496	book	0646	book (noun)	2

497	letter	0644	letter (noun)	2

498	song	0656	song (noun)	2

499	folksong	0	???	8

500	story / tale	0652	story (noun)	2
500	story / tale	0	???	8

501	ball	0	???	8

502	flag	0	???	8

503	flute-like instrument (Turkic)	0665	instrument (two-stringed, bowed) (noun)	5

504	gong	0660	gong (noun)	2

505	drum	0659	drum (noun)	2

506	flute	0664	flute (bamboo, vertical) (noun)	2

507	mouth organ	0084	mouth (noun)	7

508	bell	0666	bell (noun)	2

509	medicine	0456	medicine (noun)	2

510	poison	0641	poison / toxin (noun)	2

511	language	0	???	8

512	voice	0	???	8

513	strength	0675	strength (physical) (noun)	2

514	courage	0	???	8

515	thing / matter / event	0523	thing (noun)	2
515	thing / matter / event	0677	matter / affair (noun)	2
515	thing / matter / event	0	???	8

516	surname	0686	surname / name (family) (noun)	2

517	name	0687	name (noun)	2

518	thing	0523	thing (noun)	2

519	dream	0699	dream (noun)	2

520	shadow	0698	shadow (noun)	2

521	god / deity	0671	god of rain / Dragon King (noun)	6
521	god / deity	0	???	8

522	mark	0695	mark / trace / track (noun)	2

523	ghost / demon	0669	ghost / spirit (noun)	2
523	ghost / demon	0670	spirit (evil) / demon (noun)	2

524	soul / spirit	0673	soul / spirit (noun)	2
524	soul / spirit	0669	ghost / spirit (noun)	2

525	country / nation	0	???	8

526	means / method	0678	means / solution (noun)	2
526	means / method	0	???	8

527	school	0	???	8

528	look	1744	find / look for (verb)	5

529	see	1471	see (verb)	3

530	close (eye)	1155	close (the mouth)	2

531	open (eye)	1191	open (an umbrella)	2

532	listen	1681	listen (verb)	3

533	eat	1198	eat	1

534	drink	1370	drink (verb)	3

535	bite	1279	bite (mosquito) (verb)	3

536	chew	1424	chew (verb)	3

537	lick	1674	lick / lap (verb)	2

538	hold in mouth	0084	mouth (noun)	5

539	gnaw	1481	gnaw / nibble (verb)	2

540	swallow	0333	swallow (noun)	2

541	swallow	0333	swallow (noun)	2

542	spit	1688	spit (verb)	3

543	vomit	1535	throw up / vomit (verb)	3

544	blow with mouth	0084	mouth (noun)	5

545	say / speak	0	???	8
545	say / speak	1649	speak (verb)	3

546	read	1287	read (verb)	3

547	cry out / yell	1800	point at / to / out (verb)	5
547	cry out / yell	1368	yell / shout (verb)	2

548	smell (verb)	1707	smell (verb)	1

549	take	1528	take / hold / get (verb)	2

550	strike with open palm	1540	strike (the table) (verb)	5

551	grip / hold	0621	grip / handle (noun)	2
551	grip / hold	1195	hold, can	2

552	twist together	1455	get together, all / assemble (verb)	5

553	tear (verb)	1650	tear up / rip (verb)	5

554	wring (e.g. wet cloth)	0	???	8

555	scratch	1170	scratch (an itch against sthg.)	2

556	pick up	1414	pick up (verb)	3

557	catch	1789	catch (fire) / be (on fire) (verb)	2

558	throw	1591	throw / toss (verb)	2

559	scatter / broadcast	1235	break up / scatter (verb)	3
559	scatter / broadcast	0	???	8

560	cast	0	???	8

561	reach out(hand)	1206	go out	7

562	pull	1568	pull / lead (a cow) along (verb)	2

563	push	1689	push / shove (verb)	2

564	hold (baby) in arms	1149	hug / hold in the arms	5

565	kick	1667	kick (verb)	3

566	kneel	1360	kneel (verb)	3

567	tread	1168	step on / tread	2

568	jump	1678	jump (verb)	3

569	stand	1784	stand (verb)	3

570	step / pass over (ditch)	0916	step / stride	2
570	step / pass over (ditch)	1420	turn / hand over / consign (verb)	5

571	ride	1566	ride (a horse) (verb)	3

572	walk	1815	walk (verb)	3

573	run	1544	run (verb)	3

574	sit	1819	sit down (verb)	6

575	carry on back	1659	lift up / carry (verb)	5

576	go through (a hole)	1222	pierce through	5

577	fall (down)	0793	fall / autumn (noun)	2

578	crawl	1536	crawl (of people) (verb)	3

579	lean	1803	use or lean on (a walking stic (verb)	5

580	dwell / live	0	???	8
580	dwell / live	1452	live / reside (verb)	2

581	rest	1740	rest (verb)	3

582	sleep	1646	sleep (verb)	3

583	wake up	1739	wake up (verb)	3

584	do	1820	do / make (verb)	2

585	work / labor	1336	work / labor (verb)	2
585	work / labor	1336	work / labor (verb)	3

586	repair	0	???	8

587	connect	1496	connect / join (verb)	2

588	refine	0	???	8

589	strike (iron)	1540	strike (the table) (verb)	3

590	lay (bricks)	1562	pave / lay (verb)	3

591	move something to a new place	0924	several / few, a	7

592	carry on a pole (two people)	1659	lift up / carry (verb)	5

593	carry on shoulder	1473	shoulder (verb)	5

594	pry	1573	prize / pry (verb)	3

595	plough (verb)	1347	plough / till (verb)	3

596	rake (verb)	0616	rake (noun)	3

597	dig	1150	dig	1

598	plant (verb)	1774	plant (trees) (verb)	2

599	water (verb)	0047	water (noun)	3

600	pour (liquid) into	1550	collide / run into (verb)	5

601	cut	1699	cut / gouge out (verb)	2

602	chop (tree)	1296	chop / cut (meat) (verb)	2

603	skin / flay (verb)	0120	skin (noun)	2
603	skin / flay (verb)	0	???	8

604	cut (firewood)	1699	cut / gouge out (verb)	2

605	sieve (verb)	0629	sieve / sifter (noun)	3

606	pull (out)	1568	pull / lead (a cow) along (verb)	2

607	graze	0	???	8

608	feed	0460	fodder / feed (horse) (noun)	2

609	choke	0	???	8

610	castrate	1746	castrate (cocks) (verb)	3

611	milk (verb)	0095	milk (noun)	3

612	lead (animal)	1251	lead (the way) / guide (verb)	2

613	weave	1799	weave / knit (verb)	2

614	spin (yarn)	1313	spin (into yarn) (verb)	3

615	measure	1497	measure (verb)	3

616	buy	1516	buy (verb)	3

617	sell	1517	sell (verb)	3

618	count	1640	count (numbers) (verb)	3

619	calculate	1652	calculate (verb)	3

620	weigh	1188	weigh (food)	2

621	teach	1425	teach (verb)	3

622	learn	1742	learn (verb)	3

623	write	1736	write (verb)	3

624	wipe	1163	wipe (the table)	2

625	correct / change	1045	right / correct	2
625	correct / change	1158	change	2

626	paste / glue / stick	1680	paste / stick / glue (verb)	2
626	paste / glue / stick	0613	glue / gum (noun)	2
626	paste / glue / stick	0586	rod / stick (noun)	2

627	cook / boil (rice)	1804	cook / boil (verb)	2
627	cook / boil (rice)	0123	sore / boil (noun)	2

628	deep-fry	0	???	8

629	stir-fry	1186	stir-fry	1

630	knead (dough)	1594	knead (dough) (verb)	3

631	dry (clothes) near fire	1374	dry by fire (verb)	5

632	warm (oneself) near fire	1374	dry by fire (verb)	5

633	kill	1602	kill (verb)	3

634	cut (vegetable)	1296	chop / cut (meat) (verb)	2

635	mince (meat) with knife	0549	knife (noun)	5

636	cut open (fish)	1461	open (a door) (verb)	5

637	prick	0	???	8

638	stir / churn	1286	stir / budge (verb)	2
638	stir / churn	0	???	8

639	insert / stick into	1171	poke (a sign into earth) / insert	2
