ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
114	478827	-ʔak	Precedence, Past (with Negative); Prior Action Tertiary affix	fn.	RC-DOC	1977	Chepang	
115	478828	ʔak	frog (sp.) (WD)	n.	RC-DOC	1977	Chepang	
116	478829	ʔak-	strike to split, cleave (rock)	vt.	RC-DOC	1977	Chepang	
117	478830	-ʔak.ti.ko	Setting (Sequential); after that	fn.	RC-DOC	1977	Chepang	
118	478831	ʔak.nəm	three days ago	nt.	RC-DOC	1977	Chepang	
119	478832	-ʔak.bət.ti.ko	Setting (Sequential); after that	fn.	RC-DOC	1977	Chepang	
120	478833	ʔak.səy	five days hence	nt.	RC-DOC	1977	Chepang	
121	478834	ʔaŋ	body, trunk (<N əŋgə)	n.	RC-DOC	1977	Chepang	
122	478835	ʔaŋ-	warm something	vt.	RC-DOC	1977	Chepang	
123	478836	ʔaŋ.gə	appearance, perception, sensation, taste	n.	RC-DOC	1977	Chepang	
124	478837	ʔaŋ.gən	yard, courtyard (<N aɴgən)	n.	RC-DOC	1977	Chepang	
125	478838	ʔaŋ.rəyʔ	menses	n.	RC-DOC	1977	Chepang	
126	478839	ʔaŋ.ro	menses	n.	RC-DOC	1977	Chepang	
127	478840	ʔaŋʔ-	shine, increase in brightness, begin to appear, come out (sun, moon)	vi1.	RC-DOC	1977	Chepang	
128	478841	ʔaŋʔ-	respect, be afraid to argue with	vi2.	RC-DOC	1977	Chepang	
129	478842	ʔaŋʔ.cak	large, broad physically	onom.	RC-DOC	1977	Chepang	
130	478843	ʔaŋh-	radiate heat, scorch	vt.	RC-DOC	1977	Chepang	
131	478844	ʔat	one (WD)	nm.	RC-DOC	1977	Chepang	
132	478845	ʔan.tarʔ	large earthen cooking pot	n.	RC-DOC	1977	Chepang	
133	478846	ʔan.to	Causal Conjunction; therefore (WD)	fn.	RC-DOC	1977	Chepang	
134	478847	ʔap-	throw, shoot at target (arrow, object)	vt.	RC-DOC	1977	Chepang	
135	478848	ʔam.bu.duru	person with large face and cheekbones	adjn.	RC-DOC	1977	Chepang	
136	478849	ʔamh	grain food (cooked)	n.	RC-DOC	1977	Chepang	
137	478850	ʔamh.kliʔ	waste part of digested food	n.	RC-DOC	1977	Chepang	
138	478851	ʔay	old (person, object)	adj.	RC-DOC	1977	Chepang	
139	478852	ʔay	mother-in-law; grandmother (WD)	nk.	RC-DOC	1977	Chepang	
140	478853	ʔayə.coʔ gayə.coʔ	large brood of offspring	adjn.	RC-DOC	1977	Chepang	
141	478854	ʔaya.bam.bəy.ru	python (very large)	n.	RC-DOC	1977	Chepang	
142	478855	ʔaya.bham.ʔa.ru	python, (very large)	n.	RC-DOC	1977	Chepang	
143	478856	ʔaya.lə.ru	python, (very large)	n.	RC-DOC	1977	Chepang	
144	478857	ʔay.ʔamh	grain (sp.), a kind of millet (WD.)	n.	RC-DOC	1977	Chepang	
145	478858	ʔay.kanʔ	female ancestors (gen.)	nk.	RC-DOC	1977	Chepang	
146	478859	ʔay.krəwʔ.waʔ	bird (sp.) a Babbler	n.	RC-DOC	1977	Chepang	
147	478860	ʔay.goyʔ	tuber of previous season	n.	RC-DOC	1977	Chepang	
148	478861	ʔay.ŋat	birdlime (old)	n.	RC-DOC	1977	Chepang	
149	478862	ʔay.cak	large, broad physically	onom.	RC-DOC	1977	Chepang	
150	478863	ʔay.jaʔ.ra.ni	cricket (sp.), yellow-spotted on brown	n.	RC-DOC	1977	Chepang	
151	478864	ʔay.te.bar	Sunday (<N aitəbar)	nt.	RC-DOC	1977	Chepang	
