# Wordlist

# DATA
ID	POS	CONCEPT	LGID	RGEN	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	DOCULECT	SRCID	SRCABBR	ID_IN_SOURCE	IPA	TOKENS	SOURCE	TAXON_NAME_IN_SOURCE	SUBGROUP
83535	num	all	1850	394530	all / everything	ka³⁵ne⁵³ tshaŋ⁵⁵ma⁵³	Cuona_Menba	0962.06	TBL	83535	ka³⁵ne⁵³ tshaŋ⁵⁵ma⁵³	k a ³⁵ ◦ n e ⁵³ _ tsh a ŋ ⁵⁵ ◦ m a ⁵³	STEDT/TBL	Cuona Menba	Bodic
51279	num	all	1832	394559	all / everything	ʑi²¹χɑ⁵⁵	Yi_Xide	0962.35	TBL	51279	ʑi²¹χɑ⁵⁵	ʑ i ²¹ ◦ χ ɑ ⁵⁵	STEDT/TBL	Yi (Xide)	Northern Loloish
67935	num	all	1841	394567	all / everything	qhɑ³³ pɤ-e¹¹	Lahu_Lancang	0962.43	TBL	67935	qhɑ³³ pɤ-e¹¹	qh ɑ ³³ _ p ɤ e ¹¹	STEDT/TBL	Lahu (Lancang)	Central Loloish
3050	num	all	1805	394534	all / everything	*	Pumi_Jiulong	0962.10	TBL	3050	*	*	STEDT/TBL	Pumi (Jiulong)	Qiangic
19606	num	all	1814	394543	all / everything	ŋa³¹mă⁵⁵ŋa⁵¹	Jingpho	0962.19	TBL	19606	ŋa³¹mă⁵⁵ŋa⁵¹	ŋ a ³¹ m ă ⁵⁵ ◦ ŋ a ⁵¹	STEDT/TBL	Jingpho	Jingpho
85379	num	all	1851	394531	all / everything	tham tɕeʔ	Motuo_Menba	0962.07	TBL	85379	tham tɕeʔ	th a m _ tɕ e ʔ	STEDT/TBL	Motuo Menba	Bodic
60726	num	all	1837	394528	all / everything	ha no	Tibetan_Xiahe	0962.04	TBL	60726	ha no	h a _ n o	STEDT/TBL	Tibetan (Xiahe)	Tibetan
69764	num	all	1842	394568	all / everything	ta³¹pu⁵⁵	Jinuo	0962.44	TBL	69764	ta³¹pu⁵⁵	t a ³¹ ◦ p u ⁵⁵	STEDT/TBL	Jinuo	Central Loloish
81978	num	all	1849	394574	all / everything	khɛ̱⁵⁵lø̱³¹	Karen	0962.50	TBL	81978	khɛ̱⁵⁵lø̱³¹	kh ɛ̱ ⁵⁵ ◦ l ø̱ ³¹	STEDT/TBL	Karen	Karenic
4702	num	all	1806	394535	all / everything	kə tʃᴇt	rGyalrong_Maerkang	0962.11	TBL	4702	kə tʃᴇt	k ə _ tʃ ᴇ t	STEDT/TBL	rGyalrong (Maerkang)	rGyalrong
14224	num	all	1811	394540	all / everything	*	Guiqiong	0962.16	TBL	14224	*	*	STEDT/TBL	Guiqiong	Qiangic
71624	num	all	1843	394569	all / everything	dɯ³³xə³³	Naxi	0962.45	TBL	71624	dɯ³³xə³³	d ɯ ³³ ◦ x ə ³³	STEDT/TBL	Naxi	Naxi
6622	num	all	1807	394536	all / everything	thəm tɕɛ	Daofu	0962.12	TBL	6622	thəm tɕɛ	th ə m _ tɕ ɛ	STEDT/TBL	Daofu	rGyalrongic
89002	num	all	1853	394533	all / everything	i¹³xa⁵⁵	Pumi_Lanping	0962.09	TBL	89002	i¹³xa⁵⁵	i ¹³ ◦ x a ⁵⁵	STEDT/TBL	Pumi (Lanping)	Qiangic
23612	num	all	1816	394544	all / everything	sɯ³¹nɑʔ⁵⁵	Dulong	0962.20	TBL	23612	sɯ³¹nɑʔ⁵⁵	s ɯ ³¹ ◦ n ɑ ʔ ⁵⁵	STEDT/TBL	Dulong	Nungic
40376	num	all	1826	394527	all / everything	jø¹³tshɛʔ⁵³	Tibetan_Batang	0962.03	TBL	40376	jø¹³tshɛʔ⁵³	j ø ¹³ ◦ tsh ɛ ʔ ⁵³	STEDT/TBL	Tibetan (Batang)	Tibetan
56974	num	all	1835	394562	all / everything	khu¹¹dʐɒ³³mu³³	Yi_Wuding	0962.38	TBL	56974	khu¹¹dʐɒ³³mu³³	kh u ¹¹ ◦ dʐ ɒ ³³ ◦ m u ³³	STEDT/TBL	Yi (Wuding)	Northern Loloish
73443	num	all	1844	394570	all / everything	a³³ka³³mu⁵⁵	Namuyi	0962.46	TBL	73443	a³³ka³³mu⁵⁵	a ³³ ◦ k a ³³ ◦ m u ⁵⁵	STEDT/TBL	Namuyi	Qiangic
