rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
80840	tɕĩ⁵⁵ tɕĩ⁵⁵ mæ̱⁴⁴ mæ̱⁴⁴	nerve		ZYS-Bai	309	Bai (Jianchuan)	8.10
80698	pa̱⁴² tu⁵⁵ tsɿ³³	nipple		ZYS-Bai	309	Bai (Jianchuan)	5.4.1
80697	pa̱⁴² tɯ̱²¹ po̱²¹	nipple		ZYS-Bai	309	Bai (Jianchuan)	5.4.1
80601	pĩ̱⁴² ɕæ̃⁵⁵ tsɿ³³ jɯ̱̃⁴²	nose bridge		ZYS-Bai	309	Bai (Jianchuan)	3.5.1
80605	ja̱⁴²»	nose hair		ZYS-Bai	309	Bai (Jianchuan)	3.5.4
80935	a³¹ tɕa̱⁴² lõ⁵⁵	nose to fingertip		ZYS-Bai	309	Bai (Jianchuan)	13.4.1
80924	piɯ̱²¹	numb / be paralyzed	be v.	ZYS-Bai	309	Bai (Jianchuan)	12.3
80923	sɯ̱̃²¹	numb / be paralyzed	be v.	ZYS-Bai	309	Bai (Jianchuan)	12.3
80704	ɯ̃³³	nurse / suckle	v.	ZYS-Bai	309	Bai (Jianchuan)	5.4.6
80703	o⁵⁵	nurse / suckle	v.	ZYS-Bai	309	Bai (Jianchuan)	5.4.6
80827	tsɿ⁵⁵	oil / grease (for cooking)		ZYS-Bai	309	Bai (Jianchuan)	8.3.2
80623	tõ³³ ka³¹ ne̱²¹	palate		ZYS-Bai	309	Bai (Jianchuan)	3.7.1
80739	sɯ³³ tɕi³³ ɕĩ⁵⁵	palm		ZYS-Bai	309	Bai (Jianchuan)	6.1.7.1
80864	ji⁵⁵ tsɿ³³	pancreas		ZYS-Bai	309	Bai (Jianchuan)	9.9
80847	tsʰo⁵⁵	pant	v.	ZYS-Bai	309	Bai (Jianchuan)	9.2.2
80767	tsua³¹ tsɿ³³	paw		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.9
80745	tsua³¹ tsɿ³³	paw		ZYS-Bai	309	Bai (Jianchuan)	6.1.10
80716	?	pelvis / pelvic girdle		ZYS-Bai	309	Bai (Jianchuan)	5.8
80877	tu³³	penis		ZYS-Bai	309	Bai (Jianchuan)	10.3.1
80929	a³¹ tse̱⁴⁴	phalanx (knuckle length)		ZYS-Bai	309	Bai (Jianchuan)	13.1
80850	tã̱²¹	phlegm		ZYS-Bai	309	Bai (Jianchuan)	9.2.5
80790	kæ̱⁴²	pincers		ZYS-Bai	309	Bai (Jianchuan)	7.4.5
80900	ji⁵⁵ pao⁵⁵	placenta / afterbirth		ZYS-Bai	309	Bai (Jianchuan)	10.4.11
80899	ɯ̃³³ kʰo³³	placenta / afterbirth		ZYS-Bai	309	Bai (Jianchuan)	10.4.11
80905	tsɯ³³ tsɿ³³ jṽ̩³³	pregnant	be v.	ZYS-Bai	309	Bai (Jianchuan)	10.4.14
80904	to̱⁴² fv̱ˌ⁴⁴	pregnant	be v.	ZYS-Bai	309	Bai (Jianchuan)	10.4.14
80853	mæ̱⁴⁴	pulse		ZYS-Bai	309	Bai (Jianchuan)	9.3.2
80927	nv̱ˌ²¹	pus		ZYS-Bai	309	Bai (Jianchuan)	12.5
80818	sɿ⁵⁵ li³¹ tɕi³¹	rash		ZYS-Bai	309	Bai (Jianchuan)	8.2.3.9
80690	kua̱⁴⁴ pi⁵⁵ tsɿ³³	rib		ZYS-Bai	309	Bai (Jianchuan)	5.1.2
80689	kua̱⁴⁴ pi⁵⁵ tsɿ³³ tɕa̱⁴⁴	rib cage		ZYS-Bai	309	Bai (Jianchuan)	5.1.1
80742	tsæ̱⁴² sɯ³³	right hand		ZYS-Bai	309	Bai (Jianchuan)	6.1.7.4
80722	kʰæ⁵⁵ fv̩³³	rump		ZYS-Bai	309	Bai (Jianchuan)	5.10
80628	xu⁵⁵»	saliva		ZYS-Bai	309	Bai (Jianchuan)	3.7.5
80820	kæ̱⁴⁴	scab		ZYS-Bai	309	Bai (Jianchuan)	8.2.4
80821	kæ̱⁴⁴	scales (of fish)		ZYS-Bai	309	Bai (Jianchuan)	8.2.5
80571	tɯ̱²¹ po̱²¹ no³³ pe̱²¹	scalp		ZYS-Bai	309	Bai (Jianchuan)	2.8
80816	pa³³	scar		ZYS-Bai	309	Bai (Jianchuan)	8.2.3.7
80880	kuã³³ lõ̱²¹	scrotum		ZYS-Bai	309	Bai (Jianchuan)	10.3.4
80780	ti³¹ sɿ³¹ kʰo³³	second toe		ZYS-Bai	309	Bai (Jianchuan)	7.2.2
80597	ʔã³³	see / look	v.	ZYS-Bai	309	Bai (Jianchuan)	3.4.9
80596	xã⁵⁵	see / look	v.	ZYS-Bai	309	Bai (Jianchuan)	3.4.9
80884	sõ̱⁴² tsɿ³³	semen		ZYS-Bai	309	Bai (Jianchuan)	10.3.7
80883	sõ̱⁴²	semen		ZYS-Bai	309	Bai (Jianchuan)	10.3.7
80754	kæ̱²¹ kæ⁵⁵ tsɿ³³	shin bone		ZYS-Bai	309	Bai (Jianchuan)	6.2.3.1
80753	kæ̱²¹ kæ⁵⁵ tsɿ³³	shin / tibia		ZYS-Bai	309	Bai (Jianchuan)	6.2.3
80694	kua̱⁴⁴ sæ³¹ pa³¹	shoulder blade / scapula		ZYS-Bai	309	Bai (Jianchuan)	5.3.1
80693	po³³ tɯ̱²¹	shoulder		ZYS-Bai	309	Bai (Jianchuan)	5.3
80695	tsʰo⁵⁵ po³³ tɯ̱²¹	shrug shoulders	v.	ZYS-Bai	309	Bai (Jianchuan)	5.3.2
80922	tɯ̱⁴⁴ pæ̃³¹	sick / be ill / hurt	be v.	ZYS-Bai	309	Bai (Jianchuan)	12.2
80921	sṽ̩³¹	sick / be ill / hurt	be v.	ZYS-Bai	309	Bai (Jianchuan)	12.2
80535	pi⁵⁵ fv̩³³	side (left)		ZYS-Bai	309	Bai (Jianchuan)	1.3
80534	pi⁵⁵	side (left)		ZYS-Bai	309	Bai (Jianchuan)	1.3
80533	tsæ̱⁴² fv̩³³	side (right)		ZYS-Bai	309	Bai (Jianchuan)	1.2
80532	tsæ̱⁴²	side (right)		ZYS-Bai	309	Bai (Jianchuan)	1.2
80833	pæ̃³¹ tɕĩ⁵⁵	sinew / tendon (muscle to bone)		ZYS-Bai	309	Bai (Jianchuan)	8.5
80569	kʰɯ³¹ ʔuĩ³³	sinus		ZYS-Bai	309	Bai (Jianchuan)	2.6
80829	kua̱⁴⁴ tɯ̱²¹ tɕa̱⁴⁴	skeleton		ZYS-Bai	309	Bai (Jianchuan)	8.4.1
80806	pe̱²¹	skin		ZYS-Bai	309	Bai (Jianchuan)	8.2
80567	tɯ̱²¹ po̱²¹ kua̱⁴⁴ tɯ̱²¹	skull		ZYS-Bai	309	Bai (Jianchuan)	2.4
80558	tsʰæ̃³³ suĩ³³	sleep / be asleep		ZYS-Bai	309	Bai (Jianchuan)	1.16
80557	tsʰæ̃³³	sleep / be asleep		ZYS-Bai	309	Bai (Jianchuan)	1.16
80868	se³¹ tsõ̱²¹	small intestine		ZYS-Bai	309	Bai (Jianchuan)	9.11.2
80709	ji⁵⁵ kua̱⁴⁴ to̱⁴² pe̱⁴²	small of back		ZYS-Bai	309	Bai (Jianchuan)	5.5.3
80610	tsʰu⁵⁵	smell / sniff	v.	ZYS-Bai	309	Bai (Jianchuan)	3.5.9
80656	ka̱⁴⁴ ɕi³¹	smile	v.	ZYS-Bai	309	Bai (Jianchuan)	3.9.4
80911	tæ̱̃⁴⁴ a⁵⁵ |tʰuɯ⁵⁵	sneeze		ZYS-Bai	309	Bai (Jianchuan)	11.3
80912	tæ̱̃⁴⁴ xu³¹ kã³¹	snore		ZYS-Bai	309	Bai (Jianchuan)	11.4
80624	tõ³³ ka³¹ ne̱²¹	soft palate		ZYS-Bai	309	Bai (Jianchuan)	3.7.2
80763	ko̱⁴⁴ tɕi³³ ɕĩ⁵⁵ ne̱²¹	sole		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.5
80608	pi̱²¹ ɕĩ̱²¹ kæ̱⁴⁴	solid mucus		ZYS-Bai	309	Bai (Jianchuan)	3.5.7
80647	tɕã³¹ «ɕi⁵⁵ ɣo̱⁴²»	speak	v.	ZYS-Bai	309	Bai (Jianchuan)	3.8.1
80646	sua̱⁴⁴ «tõ̱²¹»	speak	v.	ZYS-Bai	309	Bai (Jianchuan)	3.8.1
80843	tõ³¹ kua̱⁴⁴ jɯ̱̃⁴²	spinal cord		ZYS-Bai	309	Bai (Jianchuan)	9.1.1
80711	tõ̱⁴² kua̱⁴⁴ jɯ̱̃⁴²	spinal cord		ZYS-Bai	309	Bai (Jianchuan)	5.5.5
80710	tõ³¹ kua̱⁴⁴ ɕui³³ jɯ̱̃⁴²	backbone / spine		ZYS-Bai	309	Bai (Jianchuan)	5.5.4
80635	tsʰɿ⁵⁵	spit	v.	ZYS-Bai	309	Bai (Jianchuan)	3.7.11
80862	piɯ̱²¹ «jɯ̱̃⁴²»	spleen		ZYS-Bai	309	Bai (Jianchuan)	9.8
80865	vu̱⁴²	stomach		ZYS-Bai	309	Bai (Jianchuan)	9.10
80648	kɯ̱⁴² tse̱⁴²	stutter / stammer		ZYS-Bai	309	Bai (Jianchuan)	3.8.2
80702	tɕi̱⁴⁴	suck	v.	ZYS-Bai	309	Bai (Jianchuan)	5.4.5
80685	ʔẽ̱⁴²	swallow	v.	ZYS-Bai	309	Bai (Jianchuan)	4.2.3
80807	ɣã̱²¹	sweat / perspiration		ZYS-Bai	309	Bai (Jianchuan)	8.2.1
80926	tsʰæ̃⁵⁵ kʰɯ³³	swell / be swollen	v.	ZYS-Bai	309	Bai (Jianchuan)	12.4
80925	tsʰæ̃⁵⁵	swell / be swollen	v.	ZYS-Bai	309	Bai (Jianchuan)	12.4
80863	piɯ̱²¹ jɯ̱̃⁴² tsʰæ̃⁵⁵	swollen spleen (illness)		ZYS-Bai	309	Bai (Jianchuan)	9.8.1
80721	lɯ̱⁴⁴ ua̱⁴²	swollen lymph nodes (of groin)		ZYS-Bai	309	Bai (Jianchuan)	5.9.1
80726	ŋv̩³³ tṽ̩⁵⁵	tail		ZYS-Bai	309	Bai (Jianchuan)	5.10.3
80725	xu³¹ ve³¹ ne̱²¹ (?)	tailbone / coccyx		ZYS-Bai	309	Bai (Jianchuan)	5.10.2
80724	ŋv̩³³ tṽ̩⁵⁵ tɕĩ⁵⁵ ne̱²¹	tailbone / coccyx		ZYS-Bai	309	Bai (Jianchuan)	5.10.2
80789	tsua³¹ tsɿ³³	talon		ZYS-Bai	309	Bai (Jianchuan)	7.4.4
80591	mĩ̱⁴² ɕĩ⁴² «tĩ³³»	tears	n.	ZYS-Bai	309	Bai (Jianchuan)	3.4.6
80578	tɕiɯ̃⁵⁵ kv̱ˌ⁴⁴ «ne̱²¹»	temple		ZYS-Bai	309	Bai (Jianchuan)	3.3
80881	kuã³³	testicle		ZYS-Bai	309	Bai (Jianchuan)	10.3.5
80747	kʰuæ³¹ pi⁵⁵	thigh		ZYS-Bai	309	Bai (Jianchuan)	6.2.1
