lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
229888				va⁵³ɣəȵ³³	they		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	978.52	4.1	Pronouns	0
208060				ve³³	strike with open palm		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	550.52	6.8	Striking, hitting verbs	0
228919				via⁵³	fathom=6 feet		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	959.52	9.8	Measure Words	0
212650				viȶ³³	sharpen		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	640.52	6.9.2	Carve, shave	0
213211				viȶ³³	shave (hair of head)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	651.52	6.9.2	Carve, shave	0
214027				vok³³	bury (something)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	667.52	6.11	Digging, excavation	0
198676				vua³³loŋ³³	vegetable garden		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	366.52	3.1.2	Plant parts and types	0
220300				vuɛ³³	bear fruit		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	790.52	2.2.3	Ursine	0
229786				væ³³	he / she		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	976.52	4.1	Pronouns	0
194494	3553			væ⁵³	fart		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	284.52	1.8.5.2	Fart	0
212089				vəȶ³³	stir-fry		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	629.52	5.5	Cooking Implements	0
226624	2409			vəʴi³³	four		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	914.52	9.9	Numbers and numeric expression	0
