ID	DOCULECT	CONCEPT	IPA	TOKENS	SOURCE	GLOSS_IN_SOURCE	NOTE	POS
133	Bunan	the fire	me	m e	Widmer2014	fire	Comment (by Widmer2014): «WT me / PTB *mey»	n
152	Bunan	the fish	ɲa	ɲ a	Widmer2014	fish	Comment (by Widmer2014): «WT nya / PTB *ŋya»	n
143	Bunan	the flea	mutik	m u t i k	Widmer2014	flea		n
135	Bunan	the flower	mentok	m e n t o k	Widmer2014	flower	Comment (by Widmer2014): «WT me tog ~ *me mdog»	n
128	Bunan	the fog	mak	m a k	Widmer2014	fog	Comment (by Widmer2014): «WT ma mun "fog" (nur Leh &»	n
9	Bunan	the foot	baŋ	b a ŋ	Widmer2014	foot	Comment (by Widmer2014): «PTB *kaŋ ~ *keŋ»	n
69	Bunan	the fox	gwanu	g w a n u	Widmer2014	fox	Comment (by Widmer2014): «WT wa ~ wa mo / PTB *gwa»	n
8	Bunan	the frog	balpa	b a l p a	Widmer2014	frog	Comment (by Widmer2014): «WT sbal pa "Frosch"»	n
42	Bunan	the front (front side)	dutɕi	d u tɕ i	Widmer2014	in front of		postp
96	Bunan	the frost	kʰaras	kʰ a r a s	Widmer2014	frost, hard snow on which one can walk		n
12	Bunan	the goat	baʈo	b a ʈ o	Widmer2014	goat (male)		n
108	Bunan	the goat	la	l a	Widmer2014	goat (female)	Comment (by Widmer2014): «WT la»	n
114	Bunan	the goat	lalatsi	l a l a ts i	Widmer2014	goat (young)		n
201	Bunan	the grass	tɕi	tɕ i	Widmer2014	grass		n
88	Bunan	the hair (of the head)	kra	k r a	Widmer2014	hair	Comment (by Widmer2014): «PTB *kra»	n
111	Bunan	the hand	lak	l a k	Widmer2014	hand	Comment (by Widmer2014): «WT lag / PTB *l(y)ak»	n
162	Bunan	the head	puɕa	p u ɕ a	Widmer2014	head	Comment (by Widmer2014): «WT dbu / ZZ pu / PTB *bu»	n
180	Bunan	the heart	sem	s e m	Widmer2014	heart, mind	Comment (by Widmer2014): «WT sems»	n
172	Bunan	the hoof	rawa	r a w a	Widmer2014	hoof	Comment (by Widmer2014): «WT ra sgo»	n
175	Bunan	the horn (keratinized skin)	rotɕo	r o tɕ o	Widmer2014	horn	Comment (by Widmer2014): «WT rwa co / PTB *ruŋ ~ *rwa(ŋ)»	n
188	Bunan	the horse	ʂaŋs	ʂ a ŋ s	Widmer2014	horse	Comment (by Widmer2014): «ZZ hrang / PTB *(m)raŋ»	n
87	Bunan	the house	kjum	k j u m	Widmer2014	house	Comment (by Widmer2014): «WT khyim»	n
37	Bunan	the husband	dakpo	d a k p o	Widmer2014	husband	Comment (by Widmer2014): «WT bdag po»	n
124	Bunan	the ice	lis	l i s	Widmer2014	ice, egg white		n
165	Bunan	the knee	pus	p u s	Widmer2014	knee	Comment (by Widmer2014): «WT pus mo ~ *pugs mo / PTB *put»	n
118	Bunan	the leaf	lap	l a p	Widmer2014	leaf	Comment (by Widmer2014): «WT lob / PTB *lap»	n
49	Bunan	the lip (the lips)	dʑu	dʑ u	Widmer2014	lips	Comment (by Widmer2014): «WT mchu / PTB *ts(y)ul»	n
202	Bunan	the liver	tɕinpa	tɕ i n p a	Widmer2014	liver	Comment (by Widmer2014): «WT mchin pa / PTB *sin»	n
190	Bunan	the louse	ʂik	ʂ i k	Widmer2014	louse	Comment (by Widmer2014): «- / WT shig / PTB *r(y)ik»	n
66	Bunan	the lung	grwa	g r w a	Widmer2014	lungs	Comment (by Widmer2014): «WT glo ba»	n
103	Bunan	the man (male human)	kʰjwa	kʰ j w a	Widmer2014	man	Comment (by Widmer2014): «WT khyo ga»	n
25	Bunan	the meat	ɕa	ɕ a	Widmer2014	meat	Comment (by Widmer2014): «PTB *sya»	n
109	Bunan	the moon	la	l a	Widmer2014	moon	Comment (by Widmer2014): «WT zla / ZZ sla / PTB *la»	n
3	Bunan	the mother	ama	a m a	Widmer2014	mother	Comment (by Widmer2014): «WT a ma / PTB *ma»	n
110	Bunan	the mountain	la	l a	Widmer2014	mountain (pass)	Comment (by Widmer2014): «WT la»	n
160	Bunan	the mouse or rat	pjutsi	p j u ts i	Widmer2014	mouse, rat	Comment (by Widmer2014): «WT byi tsi»	n
1	Bunan	the mouth	ak	a k	Widmer2014	mouth	Comment (by Widmer2014): «WT kha / ZZ ag-sho / PTB *ka»	n
50	Bunan	the mud	ɖampak	ɖ a m p a k	Widmer2014	mud	Comment (by Widmer2014): «WT 'dam pa»	n
35	Bunan	the nail (fingernail or claw)	ɕun	ɕ u n	Widmer2014	nail (finger)	Comment (by Widmer2014): «WT -»	n
46	Bunan	the nail (fingernail or claw)	dzermo	dz e r m o	Widmer2014	claw (of predators)	Comment (by Widmer2014): «WT ser mo  (bedeutet  eigentlich»	n
139	Bunan	the name	min	m i n	Widmer2014	name	Comment (by Widmer2014): «WT ming / PTB *miŋ»	n
95	Bunan	the neck	kʰaŋgul	kʰ a ŋ g u l	Widmer2014	neck	Comment (by Widmer2014): «ZZ khang»	n
59	Bunan	the needle (for sewing)	gjakʰap	g j a kʰ a p	Widmer2014	needle (small)	Comment (by Widmer2014): «WT rgya khab»	n
97	Bunan	the needle (for sewing)	kʰep	kʰ e p	Widmer2014	needle (middle size)	Comment (by Widmer2014): «WT khab»	n
230	Bunan	the needle (for sewing)	tʰakʰap	tʰ a kʰ a p	Widmer2014	needle (big)	Comment (by Widmer2014): «WT khab»	n
191	Bunan	the nit	ʂutsi	ʂ u ts i	Widmer2014	nit	Comment (by Widmer2014): «WT sro ma»	n
61	Bunan	the nose	gjum	g j u m	Widmer2014	nose	Comment (by Widmer2014): «ZZ lgyum-zhi»	n
30	Bunan	the rain	ɕilti	ɕ i l t i	Widmer2014	rain	Comment (by Widmer2014): «ZZ ti "water"»	n
20	Bunan	the rainbow	bromolalatsi	b r o m o l a l a ts i	Widmer2014	rainbow		n
19	Bunan	the rice plant	bras	b r a s	Widmer2014	rice	Comment (by Widmer2014): «WT 'bras»	n
64	Bunan	the river	grokpo	g r o k p o	Widmer2014	river	Comment (by Widmer2014): «WT grog po»	n
5	Bunan	the road	amtsi	a m ts i	Widmer2014	road, way, path	Comment (by Widmer2014): «WT lam»	n
10	Bunan	the root	batak	b a t a k	Widmer2014	root	Comment (by Widmer2014): «WT ba thag (WAT/WIT)»	n
171	Bunan	the rope	raɕi	r a ɕ i	Widmer2014	rope (strong)		n
223	Bunan	the salt	tsʰa	tsʰ a	Widmer2014	salt	Comment (by Widmer2014): «WT tshwa»	n
13	Bunan	the sand	bema	b e m a	Widmer2014	sand	Comment (by Widmer2014): «WT bye ma»	n
225	Bunan	the sea	tsʰo	tsʰ o	Widmer2014	lake, sea	Comment (by Widmer2014): «WT mtsho»	n
178	Bunan	the seed	sagun	s a g u n	Widmer2014	seed	Comment (by Widmer2014): «WT sa bon»	n
115	Bunan	the sheep	lama	l a m a	Widmer2014	sheep (female)		n
2	Bunan	the shit	aka	a k a	Widmer2014	excrements		n
163	Bunan	the shoulder	pumpa	p u m p a	Widmer2014	shoulder	Comment (by Widmer2014): «WT dpung pa»	n
198	Bunan	the sickle	tɕataram	tɕ a t a r a m	Widmer2014	sickle		n
11	Bunan	the skin	batsi	b a ts i	Widmer2014	skin	Comment (by Widmer2014): «ZZ bad»	n
144	Bunan	the sky	nam	n a m	Widmer2014	sky	Comment (by Widmer2014): «WT gnam»	n
105	Bunan	the smoke	kʰu	kʰ u	Widmer2014	smoke	Comment (by Widmer2014): «WT khu ba "smoking" / PTB *kəw»	n
208	Bunan	the snake	tebu	t e b u	Widmer2014	snake	Comment (by Widmer2014): «lit. "big worm"»	n
141	Bunan	the snow	mu	m u	Widmer2014	snow	Comment (by Widmer2014): «- / PTB *məw "heavens"»	n
23	Bunan	the son	butsa	b u ts a	Widmer2014	boy, son (only appropriate when grown	Comment (by Widmer2014): «WT bu tsha»	n
174	Bunan	the spider	rintɕenbu	r i n tɕ e n b u	Widmer2014	spider	Comment (by Widmer2014): «WT rin chen bu»	n
80	Bunan	the star	karma	k a r m a	Widmer2014	star	Comment (by Widmer2014): «WT skar ma / PTB *kar»	n
14	Bunan	the stick	berka	b e r k a	Widmer2014	stick, "Dreschflegel"	Comment (by Widmer2014): «WT ber ka»	n
62	Bunan	the stone (a piece of)	graŋ	g r a ŋ	Widmer2014	stone (generic)	Comment (by Widmer2014): «WT gram pa "Geröll, Kiesel"»	n
150	Bunan	the sun	nitsi	n i ts i	Widmer2014	sun	Comment (by Widmer2014): «WT nyin, nyi ma / ZZ nyi-ri / PTB»	n
155	Bunan	the tail	ŋama	ŋ a m a	Widmer2014	tail	Comment (by Widmer2014): «WT rnga ma»	n
104	Bunan	the thigh	kʰodzup	kʰ o dz u p	Widmer2014	thigh (of animal)	Comment (by Widmer2014): «WT mdzub "finger" (?) / Kinnauri khocöb 'hoof' (Kinnauri)»	n
40	Bunan	the thunder	dirt	d i r t	Widmer2014	thunder	Comment (by Widmer2014): «WT ldir»	v
192	Bunan	the tiger	tak	t a k	Widmer2014	tiger	Comment (by Widmer2014): «WT stag»	n
120	Bunan	the tongue	le	l e	Widmer2014	tongue	Comment (by Widmer2014): «WT lce / PTB *lay ~ *ley»	n
186	Bunan	the tooth (front)	swa	s w a	Widmer2014	tooth	Comment (by Widmer2014): «PTB *swa»	n
24	Bunan	the tree	buʈa	b u ʈ a	Widmer2014	tree	Comment (by Widmer2014): «PTB *bul ~ *pul»	n
183	Bunan	the water	soti	s o t i	Widmer2014	water	Comment (by Widmer2014): «ZZ ting / PTB *t(w)i(y)»	n
207	Bunan	the water	tɕʰu	tɕʰ u	Widmer2014	water	Comment (by Widmer2014): «WT chu»	n
17	Bunan	the wife	bjanmo	b j a n m o	Widmer2014	wife	Comment (by Widmer2014): «WT byan mo (Tabo)»	n
116	Bunan	the wind	lan	l a n	Widmer2014	air, wind	Comment (by Widmer2014): «WT rlung»	n
32	Bunan	the wing	ɕokpa	ɕ o k p a	Widmer2014	wing, feather	Comment (by Widmer2014): «WT shog pa ~ gshog pa»	n
27	Bunan	the wolf	ɕaŋku	ɕ a ŋ k u	Widmer2014	wolf	Comment (by Widmer2014): «WT spyang ku»	n
119	Bunan	the woman	lasmi	l a s m i	Widmer2014	woman		n
240	Bunan	the wood (material)	ɕiŋ	ɕ i ŋ	Widmer2014	wood [added by JML from phrases]		
99	Bunan	the year	kʰikor	kʰ i k o r	Widmer2014	year		n
233	Bunan	there	tʰaraŋ	tʰ a r a ŋ	Widmer2014	there (distal), thither		dem (loc)
18	Bunan	thick	boj	b o j	Widmer2014	thick (of long things), fat		adj
34	Bunan	thin (object)	ɕukna	ɕ u k n a	Widmer2014	thin (of long things)		adj
197	Bunan	thin (object)	tɕapna	tɕ a p n a	Widmer2014	thin (of flat things)		adj
234	Bunan	this	tʰe	tʰ e	Widmer2014	this	Comment (by Widmer2014): «WT de / ZZ te ~ de»	dem
