zìjĭ自己	407
zìxíngchē自行車	176
zŏu走	284
zuànz钻子	162
zuĭ咀	194
zuì最	441
zuòliao作料	104
zuòshìr做事儿	314
zuŏshŏu左手	196
zuótiān昨天	17
