NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
183	thou [second person singular]	1215	931	121972	you (du.); we (di) (pron)
#>>>
184	three	492	799	122799	three (num)
#<<<
185	to be alive	1422	1087	122528	live (v)
185	to be alive	1422	1087	122769	alive (with pronoun prefix) (adj)
185	to be alive	1422	1087	122373	demolish, to (vt)
185	to be alive	1422	1087	122715	to, towards (pp)
#>>>
#<<<
186	to bite	1403	1753	121862	bite (v)
186	to bite	1403	1753	122373	demolish, to (vt)
186	to bite	1403	1753	122715	to, towards (pp)
#>>>
#<<<
187	to blow (of wind)	175	1738	122616	blow (vt)
187	to blow (of wind)	175	1738	121873	blow (of wind) (v)
#>>>
#<<<
188	to burn [intransitive]	1428	1269	121777	burn (of food) (vi)
188	to burn [intransitive]	1428	1269	122289	burn (v)
188	to burn [intransitive]	1428	1269	122901	burn (vi)
#>>>
189	to buy	1869	1516	122147	buy (vt)
190	to chew	321	1424	122339	chew (vt)
#<<<
191	to come	1446	1491	122662	come, ? come back (vi)
191	to come	1446	1491	122355	come (on the same level) (vi)
191	to come	1446	1491	122009	exit, come or go out, cross a river (vi)
191	to come	1446	1491	122171	arrive (vi)
191	to come	1446	1491	122373	demolish, to (vt)
191	to come	1446	1491	122715	to, towards (pp)
#>>>
192	to count	1420	1640	122861	count (vt)
193	to cry (weep)	1420	1485	122861	count (vt)
#<<<
194	to die	1494	1651	122475	die (v)
194	to die	1494	1651	122870	die (v)
194	to die	1494	1651	122789	kill (vt)
194	to die	1494	1651	122373	demolish, to (vt)
194	to die	1494	1651	122715	to, towards (pp)
#>>>
195	to dig	1418	1698	122454	dig (? what) (v)
#<<<
196	to drink	1401	1370	121797	water (baby talk) (n)
196	to drink	1401	1370	122559	water (n)
196	to drink	1401	1370	122373	demolish, to (vt)
196	to drink	1401	1370	122715	to, towards (pp)
#>>>
#<<<
197	to eat	1336	1198	122145	eat (vi)
197	to eat	1336	1198	122546	eat (except for cooked grain or soup) (vt)
197	to eat	1336	1198	121891	eat (curries, not grain) (vt)
197	to eat	1336	1198	122373	demolish, to (vt)
197	to eat	1336	1198	122715	to, towards (pp)
197	to eat	1336	1198	122895	eat (soup, etc.) (vt)
#>>>
198	to fight	1423	1234	122608	fight (v)
199	to float	1574	1553		???
200	to flow	2003	1502		???
#<<<
201	to fly (move through air)	1441	1318	122479	fly (v)
201	to fly (move through air)	1441	1318	122842	fly (n df.)
201	to fly (move through air)	1441	1318	122373	demolish, to (vt)
201	to fly (move through air)	1441	1318	122715	to, towards (pp)
#>>>
202	to forget	1523	1704	122424	forget (vt)
#<<<
203	to give	1447	1345	121776	birth, give (vt)
203	to give	1447	1345	121943	give, permit (vt)
203	to give	1447	1345	122373	demolish, to (vt)
203	to give	1447	1345	122715	to, towards (pp)
#>>>
#<<<
204	to hear	1408	1682	122373	demolish, to (vt)
204	to hear	1408	1682	122715	to, towards (pp)
#>>>
#<<<
205	to hide (conceal)	602	1169	121940	hide (vt)
205	to hide (conceal)	602	1169	122373	demolish, to (vt)
205	to hide (conceal)	602	1169	122715	to, towards (pp)
205	to hide (conceal)	602	1169	121941	hide (oneself) (vr)
#>>>
206	to hold	1448	1709	122169	catch, hold (vt)
#<<<
207	to hunt	1435	1230	121916	drive (cattle) (vt)
207	to hunt	1435	1230	122124	chase (vt)
#>>>
208	to kill	1417	1602	122789	kill (vt)
209	to knead	274	1594	122345	knead, trample mud or (vt)
#<<<
210	to know (something)	1410	1398	122373	demolish, to (vt)
210	to know (something)	1410	1398	122715	to, towards (pp)
210	to know (something)	1410	1398	122154	know (v)
210	to know (something)	1410	1398	122217	know (vt)
210	to know (something)	1410	1398	122777	know, recognize (vt)
#>>>
#<<<
211	to laugh	1355	1735	122373	demolish, to (vt)
211	to laugh	1355	1735	122715	to, towards (pp)
211	to laugh	1355	1735	122645	laugh (vr)
#>>>
212	to learn	504	1742	122067	learn (vr)
#<<<
213	to lick	319	1674	122373	demolish, to (vt)
213	to lick	319	1674	122715	to, towards (pp)
213	to lick	319	1674	122214	lick (v)
#>>>
#<<<
214	to lie down	215	1661	122101	lie, tell lies (v)
214	to lie down	215	1661	122702	lie (falsehood) (n)
214	to lie down	215	1661	122004	lie down, recline (vi)
214	to lie down	215	1661	122883	lie, cheat (v)
#>>>
215	to marry (a man marries a woman)	2164	1578		???
#<<<
216	to plant (vegetals, rice)	1486	1774	121709	plant, Colebrookia oppositifolia (n df.)
216	to plant (vegetals, rice)	1486	1774	122678	plant (Comppositae) (n df.)
216	to plant (vegetals, rice)	1486	1774	122485	grow (vi)
216	to plant (vegetals, rice)	1486	1774	122746	plant, Melastoma normale (n df.)
216	to plant (vegetals, rice)	1486	1774	121836	plant, Macaranga pustulata (n df.)
216	to plant (vegetals, rice)	1486	1774	122587	plant, Viburnum stellulatum (n df.)
216	to plant (vegetals, rice)	1486	1774	122094	plant, Bep. ameli (n df.)
216	to plant (vegetals, rice)	1486	1774	122648	plant, Nep. bilāune (n df.)
216	to plant (vegetals, rice)	1486	1774	121750	plant, Alstonia sp. (n df.)
216	to plant (vegetals, rice)	1486	1774	122233	plant, Saurauja nepalensis (n df.)
216	to plant (vegetals, rice)	1486	1774	121787	plant: burr (n df.)
216	to plant (vegetals, rice)	1486	1774	122039	plant, Hedychium sp. (n df.)
216	to plant (vegetals, rice)	1486	1774	121926	plant or drive a stake (vt)
216	to plant (vegetals, rice)	1486	1774	122138	plant, Leucosceptrum canum (n df.)
216	to plant (vegetals, rice)	1486	1774	122521	plant, Berchemia floribunda (n df.)
216	to plant (vegetals, rice)	1486	1774	122409	plant , stalk (n)
216	to plant (vegetals, rice)	1486	1774	121758	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	121768	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	121774	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	121779	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	121789	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	121881	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	121904	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122037	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122058	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122183	plant (vt)
216	to plant (vegetals, rice)	1486	1774	122257	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122407	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122501	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122517	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122535	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122596	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122661	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122709	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122761	plant (n df.)
216	to plant (vegetals, rice)	1486	1774	122835	plant, Nep. bhimsenpātī, Wendlandia puberula (n df.)
216	to plant (vegetals, rice)	1486	1774	122056	plant, Callicarpa arborea (n df.)
216	to plant (vegetals, rice)	1486	1774	122673	plant, Anaphalis sp. (n df.)
216	to plant (vegetals, rice)	1486	1774	122837	plant; the leaves are used to make black dye, Hypericum uralum (n df.)
216	to plant (vegetals, rice)	1486	1774	121813	plant, Jatropha curcas (n df.)
#>>>
#<<<
217	to play	1413	1703	122088	play (vr)
217	to play	1413	1703	122450	play (cymbals) (vt)
#>>>
218	to pull	1455	1568	122827	pull, drag (esp. by the nape) (v)
#<<<
219	to push	1452	1689	122324	push (v)
219	to push	1452	1689	122373	demolish, to (vt)
219	to push	1452	1689	122715	to, towards (pp)
#>>>
220	to reside (live)	1099	1452		???
221	to run	1519	1544	121707	run (v)
#<<<
222	to scratch	1436	1530	122516	claw, scratch (vt)
222	to scratch	1436	1530	122864	scrape, whittle, peel off strips of bamboo (vt)
222	to scratch	1436	1530	122551	scratch (vt)
222	to scratch	1436	1530	122552	scratch (oneself) (vr)
222	to scratch	1436	1530	121902	scrape, shave, shear, cultivate (vt)
#>>>
#<<<
223	to see	1409	1471	122373	demolish, to (vt)
223	to see	1409	1471	122715	to, towards (pp)
#>>>
#<<<
224	to shoot (an arrow)	1172	1611	122436	shoot (vt)
224	to shoot (an arrow)	1172	1611	122701	sprout (n)
224	to shoot (an arrow)	1172	1611	121698	shoot, throw a projectile (vt)
#>>>
225	to sing	1261	1184		???
#<<<
226	to sleep	1585	1646	121682	sleep (v)
226	to sleep	1585	1646	122373	demolish, to (vt)
226	to sleep	1585	1646	122715	to, towards (pp)
226	to sleep	1585	1646	122004	lie down, recline (vi)
#>>>
#<<<
227	to smell (perceive odor) [transitive]	1586	1707	122373	demolish, to (vt)
227	to smell (perceive odor) [transitive]	1586	1707	122715	to, towards (pp)
#>>>
228	to sow (broadcast, scatter seeds)	748	1597	121755	seed (n)
#<<<
229	to spit	1440	1688	121930	spit, saliva (n)
229	to spit	1440	1688	122206	saliva, spit (n)
229	to spit	1440	1688	122178	spit, empty the mouth of spit (v)
229	to spit	1440	1688	122373	demolish, to (vt)
229	to spit	1440	1688	122715	to, towards (pp)
#>>>
#<<<
230	to stand	1442	1784	122664	stand (vr)
230	to stand	1442	1784	122665	stand (vr)
230	to stand	1442	1784	122373	demolish, to (vt)
230	to stand	1442	1784	122715	to, towards (pp)
#>>>
231	to steal	713	1686	121845	steal (v)
#<<<
232	to think (reflect)	1415	1726	122373	demolish, to (vt)
232	to think (reflect)	1415	1726	122715	to, towards (pp)
#>>>
233	to throw	1456	1687	122466	throw (esp. stones at so.) (vt)
#<<<
234	to vomit	1278	1535	122573	vomit (v)
234	to vomit	1278	1535	122574	vomit (n)
#>>>
#<<<
235	to walk	1443	1815	122373	demolish, to (vt)
235	to walk	1443	1815	122715	to, towards (pp)
235	to walk	1443	1815	121967	walk (vi)
235	to walk	1443	1815	122254	go (vi)
#>>>
236	to wipe	1454	1163	122429	sweep, wipe (vt)
237	today	1283	738	121694	today (adv)
238	tomorrow	1329	742	122260	tomorrow (adv)
239	twenty	1710	816		???
240	two	1498	798	122307	two (num)
#<<<
241	we [first person plural inclusive]	1131	930	121971	we (pi) (pron)
241	we [first person plural inclusive]	1131	930	121979	we (pi)
241	we [first person plural inclusive]	1131	930	121977	we (di) (pron)
241	we [first person plural inclusive]	1131	930	121976	we (de) (pron)
241	we [first person plural inclusive]	1131	930	121972	you (du.); we (di) (pron)
241	we [first person plural inclusive]	1131	930	121978	we (pe) (pron)
#>>>
#<<<
242	wet	1726	1029	122611	get wet, soaked (v)
242	wet	1726	1029	122166	get wet (vr)
#>>>
243	what	1236	954	122590	what? (interr)
#<<<
244	where	1237	955	122164	put, place (v)
244	where	1237	955	121956	where, which side (interr)
244	where	1237	955	121958	where? (interr)
#>>>
245	white	1335	1006	122497	white (adj)
246	who	1235	953	122850	who? (interr)
#<<<
247	yellow	1424	1008	121706	yellow (n)
247	yellow	1424	1008	121708	yellow (of plants) (v)
#>>>
248	yesterday	1174	739	122788	yesterday (adv)
#<<<
249	you [second person plural]	1213	933	121970	you (sg.) (pron)
249	you [second person plural]	1213	933	121973	you (pl.) (pron)
249	you [second person plural]	1213	933	121828	you (pron)
249	you [second person plural]	1213	933	121972	you (du.); we (di) (pron)
#>>>
250	young	1207	1059		???
