# Wordlist

# DATA
ID	DOCULECT	CONCEPT_PINYIN	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE
233	Beijing	bàng 104	蚌	paŋ⁵¹	104	paŋ⁵¹	p a ŋ ⁵¹	
234	Jinan	bàng 104	蚌	paŋ⁵¹	104	paŋ⁵¹	p a ŋ ⁵¹	
235	Shenyang	bàng 104	!	ka²¹³₂₁la⁰	104	ka²¹³₂₁la⁰	k a ²¹³₂₁ l a ⁰	
236	Xian	bàng 104	蚌	pɑŋ⁴⁵	104	pɑŋ⁴⁵	p ɑ ŋ ⁴⁵	
237	Chengdu	bàng 104	蚌殼兒	paŋ¹³kʰər³¹,pan¹³kʰər³¹	104	paŋ¹³kʰər³¹	p a ŋ ¹³ kʰ ə r ³¹	
238	Kunming	bàng 104	!  兒	ue⁴⁴uer⁴⁴	104	ue⁴⁴uer⁴⁴	u e ⁴⁴ u e r ⁴⁴	
239	Hefei	bàng 104	歪 歪 子	**uɛ²¹²uɛ⁰tsə⁰	104	uɛ²¹²uɛ⁰tsə⁰	u ɛ ²¹² u ɛ ⁰ ts ə ⁰	[*]
240	Yangzhou	bàng 104	蚌	pɑŋ⁵⁵	104	pɑŋ⁵⁵	p ɑ ŋ ⁵⁵	
241	Yangzhou	bàng 104	歪 子	[2] *uɛ³¹tsɛ⁰	104	uɛ³¹tsɛ⁰	u ɛ ³¹ ts ɛ ⁰	[2][*]
242	Suzhou	bàng 104	蚌殼	baŋ³¹₂₂kʰoʔ⁴	104	baŋ³¹₂₂kʰoʔ⁴	b a ŋ ³¹₂₂ kʰ o ʔ ⁴	
243	Wenzhou	bàng 104	蚌	biɛ²⁴	104	biɛ²⁴	b i ɛ ²⁴	
244	Changsha	bàng 104	蚌殼	pan²¹kʰo²⁴	104	pan²¹kʰo²⁴	p a n ²¹ kʰ o ²⁴	
245	Nanchang	bàng 104	蚌殼子	pʰɔŋ³¹kʰɔk⁵tsɿ⁰	104	pʰɔŋ³¹kʰɔk⁵tsɿ⁰	pʰ ɔ ŋ ³¹ kʰ ɔ k ⁵ ts ɿ ⁰	
246	Meixian	bàng 104	蚌	pʰɔŋ⁴⁴	104	pʰɔŋ⁴⁴	pʰ ɔ ŋ ⁴⁴	
247	Guangzhou	bàng 104	蚌	pʰɔŋ²³	104	pʰɔŋ²³	pʰ ɔ ŋ ²³	
248	Yangjiang	bàng 104	帛	*pa⁴⁵⁴	104	pa⁴⁵⁴	p a ⁴⁵⁴	[*]
249	Xiamen	bàng 104	蚌	paŋ³³	104	paŋ³³	p a ŋ ³³	
250	Chaozhou	bàng 104	塗白	*tʰou⁵⁵₂₁₃peʔ⁴	104	tʰou⁵⁵₂₁₃peʔ⁴	tʰ o u ⁵⁵₂₁₃ p e ʔ ⁴	[*]
251	Fuzhou	bàng 104	蚌	pauŋ²⁴²	104	pauŋ²⁴²	p a u ŋ ²⁴²	
#
19393	Beijing	bào 542	抱	pau⁵¹	542	pau⁵¹	p a u ⁵¹	
19394	Jinan	bào 542	抱	pɔ²¹	542	pɔ²¹	p ɔ ²¹	
19395	Shenyang	bào 542	抱	pau⁴¹	542	pau⁴¹	p a u ⁴¹	
19396	Xian	bào 542	抱	pɑu⁴⁵	542	pɑu⁴⁵	p ɑ u ⁴⁵	
19397	Chengdu	bào 542	抱	pau¹³,pau⁴⁴	542	pau¹³	p a u ¹³	
19398	Kunming	bào 542	抱	pau¹³	542	pau¹³	p a u ¹³	
19399	Hefei	bào 542	抱	pɔ⁵³	542	pɔ⁵³	p ɔ ⁵³	
19400	Yangzhou	bào 542	抱	pɔ⁵⁵	542	pɔ⁵⁵	p ɔ ⁵⁵	
19401	Suzhou	bào 542	抱	bæ³¹	542	bæ³¹	b æ ³¹	
19402	Wenzhou	bào 542	抱	bɜ²⁴	542	bɜ²⁴	b ɜ ²⁴	
19403	Wenzhou	bào 542		[2] du³¹	542	du³¹	d u ³¹	[2]
19404	Changsha	bào 542	抱	pau²¹	542	pau²¹	p a u ²¹	
19405	Nanchang	bào 542	抱	pʰau³¹	542	pʰau³¹	pʰ a u ³¹	
19406	Meixian	bào 542	!	lɛt⁴	542	lɛt⁴	l ɛ t ⁴	
19407	Guangzhou	bào 542	抱	pʰou²³	542	pʰou²³	pʰ o u ²³	
19408	Yangjiang	bào 542	共	kʊŋ⁴⁵⁴(	542	kʊŋ⁴⁵⁴	k ʊ ŋ ⁴⁵⁴	
19409	Yangjiang	bào 542	!	[2] lap²¹	542	lap²¹	l a p ²¹	[2]
19410	Xiamen	bào 542	抱	pʰo³³	542	pʰo³³	pʰ o ³³	
19411	Chaozhou	bào 542	抱	pʰo³⁵	542	pʰo³⁵	pʰ o ³⁵	
19412	Fuzhou	bào 542	抱	pɔ²⁴²	542	pɔ²⁴²	p ɔ ²⁴²	
#
9737	Beijing	bào-zǐ 326	鉋子	pau⁵¹tsɿ⁰	326	pau⁵¹tsɿ⁰	p a u ⁵¹ ts ɿ ⁰	
9738	Jinan	bào-zǐ 326	鉋子	pɔ²¹tsɿ⁰	326	pɔ²¹tsɿ⁰	p ɔ ²¹ ts ɿ ⁰	
9739	Shenyang	bào-zǐ 326	鉋子	pau⁴¹tsɿ⁰	326	pau⁴¹tsɿ⁰	p a u ⁴¹ ts ɿ ⁰	
9740	Xian	bào-zǐ 326	推鉋	tʰuei⁴⁵pʰɑu⁰	326	tʰuei⁴⁵pʰɑu⁰	tʰ u e i ⁴⁵ pʰ ɑ u ⁰	
9741	Chengdu	bào-zǐ 326	鉋子	pau¹³tsɿ⁵³	326	pau¹³tsɿ⁵³	p a u ¹³ ts ɿ ⁵³	
9742	Kunming	bào-zǐ 326	推鉋	tʰue⁴⁴pau¹³	326	tʰue⁴⁴pau¹³	tʰ u e ⁴⁴ p a u ¹³	
9743	Hefei	bào-zǐ 326	鉋子	pɔ⁵³tsə⁰	326	pɔ⁵³tsə⁰	p ɔ ⁵³ ts ə ⁰	
9744	Yangzhou	bào-zǐ 326	鉋子	pɔ⁵⁵tsɛ⁰	326	pɔ⁵⁵tsɛ⁰	p ɔ ⁵⁵ ts ɛ ⁰	
