ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	ALT_IPA	ALT_GLOSS	ALT_SOURCE	ALT_CHARS	ALT_CHINESE_GLOSS	IPA	HANZI	SOURCE	TOKENS	COGIDS	ALIGNMENT	NOTE	RANK
1375	Nanchang	below, under	1485	732	*under, below	下頭	hɑ²¹+tʰɛu⁰² / tiʔ⁵+kɑ²¹	under / under	Hou2004 / Hou2004	下头 / 底下	下面 / 下面	ha³¹tʰɛu²⁴	下頭	BeijingDaxue1964	h a ³¹ tʰ ɛ u ²⁴	16 17	h - a ³¹ ◦ tʰ ɛ u ²⁴		206
1376	Nanchang	below, under	1485	732	*under, below	! 下□						ha³¹tit⁵	! 下□	BeijingDaxue1964	h a ³¹ t i t ⁵	879 16 0	h a ³¹ ◦ t i t ⁵		206
1569	Suzhou	below, under	1485	732	*under, below	下頭	ɦo³¹/¹³+dʏ⁰	under	Hou2004	下头	下面	ɦo³¹₂₂dʏ²⁴₃₃	下頭	BeijingDaxue1964	ɦ o ³¹₂₂ d ʏ ²⁴₃₃	16 17	ɦ - o ³¹₂₂ ◦ d ʏ ²⁴₃₃		206
1780	Wenzhou	below, under	1485	732	*under, below	下面	ɦo³⁵/⁴²+mai²² / ɦo³⁵/⁴²+mai²²/²¹+dɤu³¹/²¹ / ɦo³⁵/⁴²+tɕy³⁵	under / under / under	Hou2004 / Hou2004 / Hou2004	下面 / 下面头 / 下转	下面 / 下面 / 下面	ho²⁴mai¹¹	下面	BeijingDaxue1964	h o ²⁴ m a i ¹¹	16 990	h - o ²⁴ ◦ m a i ¹¹		206
1968	Xiamen	below, under	1485	732	*under, below	下骹	e²²/²¹+tue⁰ / e²²/²¹+bin²²	under / under	Hou2004 / Hou2004	下底 / 下面	下面 / 下面	e³³₁₁kʰa⁴⁴	下骹	BeijingDaxue1964	e ³³₁₁ kʰ a ⁴⁴	16 1063	- - e ³³₁₁ ◦ kʰ a ⁴⁴		206
1969	Xiamen	below, under	1485	732	*under, below	下面						e³³₁₁bin³³	下面	BeijingDaxue1964	e ³³₁₁ b i n ³³	16 990	- - e ³³₁₁ ◦ b i n ³³		206
1970	Xiamen	below, under	1485	732	*under, below	下底						e³³₁₁tue⁵¹	下底	BeijingDaxue1964	e ³³₁₁ t u e ⁵¹	16 15	- - e ³³₁₁ ◦ t u e ⁵¹		206
3152	Chaozhou	below, under														0			206
12	Beijing	big	1202	964	big	大	tɑ⁵¹	big	Liu2007	大	大	ta⁵¹	大	BeijingDaxue1964	t a ⁵¹	18	t - a - ⁵¹		59
210	Changsha	big	1202	964	big	大	tai¹¹	big	Liu2007	大	大	tai²¹	大	BeijingDaxue1964	t a i ²¹	18	t - a i ²¹		59
399	Chengdu	big	1202	964	big	大	ta²¹³	big	Liu2007	大	大	ta¹³	大	BeijingDaxue1964	t a ¹³	18	t - a - ¹³		59
588	Fuzhou	big	1202	964	big	大	tuai²⁴²	big	Liu2007	大	大	tuai²⁴²	大	BeijingDaxue1964	t u a i ²⁴²	18	t u a i ²⁴²		59
792	Guangzhou	big	1202	964	big	大	tai²²	big	Liu2007	大	大	tai²²	大	BeijingDaxue1964	t a i ²²	18	t - a i ²²		59
994	Jinan	big	1202	964	big	大	ta³¹	big	Liu2007	大	大	ta²¹	大	BeijingDaxue1964	t a ²¹	18	t - a - ²¹		59
1186	Meixian	big	1202	964	big	大	tʰai⁵³	big	Liu2007	大	大	tʰai⁴²	大	BeijingDaxue1964	tʰ a i ⁴²	18	tʰ - a i ⁴²		59
1377	Nanchang	big	1202	964	big	大	tʰai²¹	big	Liu2007	大	大	tʰai³¹	大	BeijingDaxue1964	tʰ a i ³¹	18	tʰ - a i ³¹		59
1570	Suzhou	big	1202	964	big	大	dəu²³¹	big	Liu2007	大	大	dəu³¹	大	BeijingDaxue1964	d ə u ³¹	18	d - ə u ³¹		59
1781	Wenzhou	big	1202	964	big	大	dɤu²²	big	Liu2007	大	大	du¹¹	大	BeijingDaxue1964	d u ¹¹	18	d - u - ¹¹		59
1971	Xiamen	big	1202	964	big	大	tua²²	big	Liu2007	大	大	tua³³	大	BeijingDaxue1964	t u a ³³	18	t u a - ³³		59
3129	Chaozhou	big														0			59
14	Beijing	black	163	1005	black	黑	xei⁵⁵	black	Liu2007	黑	黑	xei⁵⁵	黑	BeijingDaxue1964	x e i ⁵⁵	20	x e i - ⁵⁵		37
212	Changsha	black	163	1005	black	黑	xə²⁴	black	Liu2007	黑	黑	xə²⁴	黑	BeijingDaxue1964	x ə ²⁴	20	x ə - - ²⁴		37
401	Chengdu	black	163	1005	black	黑	xe²¹	black	Liu2007	黑	黑	xe³¹	黑	BeijingDaxue1964	x e ³¹	20	x e - - ³¹		37
590	Fuzhou	black	163	1005	black	烏	u⁵⁵	black	Liu2007	烏	黑	u⁴⁴	烏	BeijingDaxue1964	u ⁴⁴	504			37
794	Guangzhou	black	163	1005	black	黑	hɐk³	black	Liu2007	黑	黑	hɐk⁵	黑	BeijingDaxue1964	h ɐ k ⁵	20	h ɐ - k ⁵		37
996	Jinan	black	163	1005	black	黑	xei²¹⁴	black	Liu2007	黑	黑	xei²¹³	黑	BeijingDaxue1964	x e i ²¹³	20	x e i - ²¹³		37
1188	Meixian	black	163	1005	black	烏	het¹	black	Liu2007	黑	黑	vu⁴⁴	烏	BeijingDaxue1964	v u ⁴⁴	504			37
1379	Nanchang	black	163	1005	black	黑	hɛt⁵	black	Liu2007	黑	黑	hɛt⁵	黑	BeijingDaxue1964	h ɛ t ⁵	20	h ɛ - t ⁵		37
1380	Nanchang	black	163	1005	black	烏						u⁴²	烏	BeijingDaxue1964	u ⁴²	504			37
1572	Suzhou	black	163	1005	black	黑	həʔ⁴	black	Liu2007	黑	黑	hɤʔ⁴	黑	BeijingDaxue1964	h ɤ ʔ ⁴	20	h ɤ - ʔ ⁴		37
1783	Wenzhou	black	163	1005	black	黑	he⁴¹	black	Liu2007	黑	黑	hɛ²³	黑	BeijingDaxue1964	h ɛ ²³	20	h ɛ - - ²³		37
1973	Xiamen	black	163	1005	black	烏	ɔ⁵⁵	black	Liu2007	烏	黑	ɔ⁵⁵	烏	BeijingDaxue1964	ɔ ⁵⁵	504			37
3060	Chaozhou	black														0			37
19	Beijing	cold (of temperature)	1287	1063	cold	冷	ləŋ²¹⁴ / ləŋ²¹⁴	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	ləŋ²¹⁴	冷	BeijingDaxue1964	l ə ŋ ²¹⁴	29	l - ə ŋ ²¹⁴		64
217	Changsha	cold (of temperature)	1287	1063	cold	冷	lən⁴¹ / lən⁴¹	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	lən⁴¹	冷	BeijingDaxue1964	l ə n ⁴¹	29	l - ə n ⁴¹		64
406	Chengdu	cold (of temperature)	1287	1063	cold	冷	nən⁵³ / nən⁵³	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	nən⁵³	冷	BeijingDaxue1964	n ə n ⁵³	29	n - ə n ⁵³		64
595	Fuzhou	cold (of temperature)	1287	1063	cold	寒	tsʰɛiŋ²¹² / kaŋ⁵³ / tɔyŋ²¹² / tsʰiŋ²¹²	cold / cold / cold / cold	Hou2004 / Liu2007 / Liu2007 / Liu2007	清 / 寒 / 凍 / 凊	冷 / 冷 / 冷 / 冷	kaŋ⁵²	寒	BeijingDaxue1964	k a ŋ ⁵²	514			64
