ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	IPA	HANZI	SOURCE	TOKENS
1169	Jinan	below, under	1485	732	*under, below // under // under // under	下面 // 下面 // 下面 // 下面	ɕia²¹pɛr⁰ // ɕia²¹/⁵⁴⁴+tʰou⁰ // ɕia²¹+piɛr⁰ // ti⁵⁵/²¹³+ɕia⁰	下邊兒 // 下头 // 下边 // 底下	BeijingDaxue1964, Hou2004, Hou2004, Hou2004	ɕ i a ²¹ p ɛ r ⁰
1401	Meixian	below, under	1485	732	*under, below // under	下面 // 下面	ha²⁴pɔi⁴² // ha⁴⁴/³⁵+poi⁵³	下背 // 下背	BeijingDaxue1964, Hou2004	h a ²⁴ p ɔ i ⁴²
1633	Nanchang	below, under	1485	732	*under, below // *under, below // under // under	下面 // 下面 // 下面 // 下面	ha³¹tʰɛu²⁴ // ha³¹tit⁵ // hɑ²¹+tʰɛu⁰² // tiʔ⁵+kɑ²¹	下頭 // ! 下□ // 下头 // 底下	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004	h a ³¹ tʰ ɛ u ²⁴
1865	Suzhou	below, under	1485	732	*under, below // under	下面 // 下面	ɦo³¹₂₂dʏ²⁴₃₃ // ɦo³¹/¹³+dʏ⁰	下頭 // 下头	BeijingDaxue1964, Hou2004	ɦ o ³¹₂₂ d ʏ ²⁴₃₃
2097	Wenzhou	below, under	1485	732	*under, below // under // under // under	下面 // 下面 // 下面 // 下面	ho²⁴mai¹¹ // ɦo³⁵/⁴²+mai²² // ɦo³⁵/⁴²+mai²²/²¹+dɤu³¹/²¹ // ɦo³⁵/⁴²+tɕy³⁵	下面 // 下面 // 下面头 // 下转	BeijingDaxue1964, Hou2004, Hou2004, Hou2004	h o ²⁴ m a i ¹¹
2329	Xiamen	below, under	1485	732	*under, below // *under, below // *under, below // under // under	下面 // 下面 // 下面 // 下面 // 下面	e³³₁₁kʰa⁴⁴ // e³³₁₁bin³³ // e³³₁₁tue⁵¹ // e²²/²¹+tue⁰ // e²²/²¹+bin²²	下骹 // 下面 // 下底 // 下底 // 下面	BeijingDaxue1964, BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004	e ³³₁₁ kʰ a ⁴⁴
10	Beijing	big	1202	964	big // big	大 // 大	ta⁵¹ // tɑ⁵¹	大 // 大	BeijingDaxue1964, Liu2007	t a ⁵¹
242	Changsha	big	1202	964	big // big	大 // 大	tai²¹ // tai¹¹	大 // 大	BeijingDaxue1964, Liu2007	t a i ²¹
474	Chengdu	big	1202	964	big // big	大 // 大	ta¹³ // ta²¹³	大 // 大	BeijingDaxue1964, Liu2007	t a ¹³
706	Fuzhou	big	1202	964	big // big	大 // 大	tuai²⁴² // tuai²⁴²	大 // 大	BeijingDaxue1964, Liu2007	t u a i ²⁴²
938	Guangzhou	big	1202	964	big // big	大 // 大	tai²² // tai²²	大 // 大	BeijingDaxue1964, Liu2007	t a i ²²
1170	Jinan	big	1202	964	big // big	大 // 大	ta²¹ // ta³¹	大 // 大	BeijingDaxue1964, Liu2007	t a ²¹
1402	Meixian	big	1202	964	big // big	大 // 大	tʰai⁴² // tʰai⁵³	大 // 大	BeijingDaxue1964, Liu2007	tʰ a i ⁴²
1634	Nanchang	big	1202	964	big // big	大 // 大	tʰai³¹ // tʰai²¹	大 // 大	BeijingDaxue1964, Liu2007	tʰ a i ³¹
1866	Suzhou	big	1202	964	big // big	大 // 大	dəu³¹ // dəu²³¹	大 // 大	BeijingDaxue1964, Liu2007	d ə u ³¹
2098	Wenzhou	big	1202	964	big // big	大 // 大	du¹¹ // dɤu²²	大 // 大	BeijingDaxue1964, Liu2007	d u ¹¹
2330	Xiamen	big	1202	964	big // big	大 // 大	tua³³ // tua²²	大 // 大	BeijingDaxue1964, Liu2007	t u a ³³
13	Beijing	black	163	1005	black // black	黑 // 黑	xei⁵⁵ // xei⁵⁵	黑 // 黑	BeijingDaxue1964, Liu2007	x e i ⁵⁵
245	Changsha	black	163	1005	black // black	黑 // 黑	xə²⁴ // xə²⁴	黑 // 黑	BeijingDaxue1964, Liu2007	x ə ²⁴
477	Chengdu	black	163	1005	black // black	黑 // 黑	xe³¹ // xe²¹	黑 // 黑	BeijingDaxue1964, Liu2007	x e ³¹
709	Fuzhou	black	163	1005	black // black	黑 // 黑	u⁴⁴ // u⁵⁵	烏 // 烏	BeijingDaxue1964, Liu2007	u ⁴⁴
941	Guangzhou	black	163	1005	black // black	黑 // 黑	hɐk⁵ // hɐk³	黑 // 黑	BeijingDaxue1964, Liu2007	h ɐ k ⁵
1173	Jinan	black	163	1005	black // black	黑 // 黑	xei²¹³ // xei²¹⁴	黑 // 黑	BeijingDaxue1964, Liu2007	x e i ²¹³
1405	Meixian	black	163	1005	black // black	黑 // 黑	vu⁴⁴ // het¹	烏 // 黑	BeijingDaxue1964, Liu2007	v u ⁴⁴
1637	Nanchang	black	163	1005	black // black // black	黑 // 黑 // 黑	hɛt⁵ // u⁴² // hɛt⁵	黑 // 烏 // 黑	BeijingDaxue1964, BeijingDaxue1964, Liu2007	h ɛ t ⁵
1869	Suzhou	black	163	1005	black // black	黑 // 黑	hɤʔ⁴ // həʔ⁴	黑 // 黑	BeijingDaxue1964, Liu2007	h ɤ ʔ ⁴
2101	Wenzhou	black	163	1005	black // black	黑 // 黑	hɛ²³ // he⁴¹	黑 // 黑	BeijingDaxue1964, Liu2007	h ɛ ²³
2333	Xiamen	black	163	1005	black // black	黑 // 黑	ɔ⁵⁵ // ɔ⁵⁵	烏 // 烏	BeijingDaxue1964, Liu2007	ɔ ⁵⁵
23	Beijing	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	ləŋ²¹⁴ // ləŋ²¹⁴ // ləŋ²¹⁴	冷 // 冷 // 冷	BeijingDaxue1964, Hou2004, Liu2007	l ə ŋ ²¹⁴
255	Changsha	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	lən⁴¹ // lən⁴¹ // lən⁴¹	冷 // 冷 // 冷	BeijingDaxue1964, Hou2004, Liu2007	l ə n ⁴¹
487	Chengdu	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	nən⁵³ // nən⁵³ // nən⁵³	冷 // 冷 // 冷	BeijingDaxue1964, Hou2004, Liu2007	n ə n ⁵³
719	Fuzhou	cold (of temperature)	1287	1063	cold // cold // cold // cold // cold // cold	冷 // 冷 // 冷 // 冷 // 冷 // 冷	kaŋ⁵² // tøyŋ²¹³ // tsʰɛiŋ²¹² // kaŋ⁵³ // tɔyŋ²¹² // tsʰiŋ²¹²	寒 // 凍 // 清 // 寒 // 凍 // 凊	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Liu2007, Liu2007, Liu2007	k a ŋ ⁵²
951	Guangzhou	cold (of temperature)	1287	1063	cold // cold // cold // cold	冷 // 冷 // 冷 // 冷	laŋ²³ // tʊŋ³³ // toŋ³³ // laŋ²³	冷 // 凍 // 冻 // 冷	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Liu2007	l a ŋ ²³
1183	Jinan	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	ləŋ⁵⁵ // ləŋ⁵⁵ // ləŋ⁴⁵	冷 // 冷 // 冷	BeijingDaxue1964, Hou2004, Liu2007	l ə ŋ ⁵⁵
1415	Meixian	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	laŋ⁴⁴ // hon¹¹ // laŋ³³	冷 // 寒 // 冷	BeijingDaxue1964, Hou2004, Liu2007	l a ŋ ⁴⁴
1647	Nanchang	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	laŋ²¹³ // lɑŋ²¹³ // laŋ²¹³	冷 // 冷 // 冷	BeijingDaxue1964, Hou2004, Liu2007	l a ŋ ²¹³
1879	Suzhou	cold (of temperature)	1287	1063	cold // cold // cold // cold	冷 // 冷 // 冷 // 冷	laŋ³¹ // lã∼³¹ // in⁵¹³ // la²³¹	冷 // 冷 // 瀴 // 冷	BeijingDaxue1964, Hou2004, Hou2004, Liu2007	l a ŋ ³¹
2111	Wenzhou	cold (of temperature)	1287	1063	cold // cold // cold	冷 // 冷 // 冷	liɛ²⁴ // liɛ³⁵ // liɛ²⁴²	冷 // 冷 // 冷	BeijingDaxue1964, Hou2004, Liu2007	l i ɛ ²⁴
