# Wordlist

# META
@tree:(((((Beijing,Shenyang),Jinan),Xian),((((Changsha,Nanchang),((((((Chaozhou,Xiamen),Fuzhou),Meixian),(Guangzhou,Yangjiang)),Wenzhou),Suzhou)),(Hefei,Yangzhou)),Kunming)),Chengdu);

# DATA
ID	DOCULECT	CONCEPT	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE	GLOSS_IN_SOURCE	COGID	ALIGNMENT
28609	Suzhou	bad	! □	[2] tɕʰiʏ⁴⁴	751	tɕʰiʏ⁴⁴	tɕʰ i ʏ ⁴⁴	[2]	bad	26	tɕʰ i ʏ - ⁴⁴ - - - -
28610	Wenzhou	bad	毛	*mɜ³¹	751	mɜ³¹	m ɜ ³¹	[*]	bad	601	m ɜ ³¹
28611	Changsha	bad	壞	fai²¹	751	fai²¹	f a i ²¹		bad	306	f a - i ²¹
28612	Nanchang	bad	壞	fai³¹	751	fai³¹	f a i ³¹		bad	306	f a - i ³¹
28613	Meixian	bad	壞	fai⁴²	751	fai⁴²	f a i ⁴²		bad	306	f a - i ⁴²
28614	Guangzhou	bad	壞	wai²²	751	wai²²	w a i ²²		bad	306	w a - i ²²
28615	Yangjiang	bad	壞	wai⁴⁵⁴	751	wai⁴⁵⁴	w a i ⁴⁵⁴		bad	306	w a - i ⁴⁵⁴
28616	Xiamen	bad	! □	pʰãĩ⁵¹	751	pʰãĩ⁵¹	pʰ ã ĩ ∼ ⁵¹		bad	26	pʰ ã ĩ ∼ ⁵¹ - - - -
28618	Chaozhou	bad	害	hai¹¹	751	hai¹¹	h a i ¹¹		bad	379	h a i ¹¹
28617	Xiamen	bad		[2] mãĩ⁵¹	751	mãĩ⁵¹	m ã ĩ ∼ ⁵¹	[2]	bad	1	- - - - - - m ã ĩ ∼ ⁵¹
28619	Fuzhou	bad	! □	pʰai³¹	751	pʰai³¹	pʰ a i ³¹		bad	26	pʰ a i - ³¹ - - - -
28620	Fuzhou	bad	!	[2] ŋai⁵²	751	ŋai⁵²	ŋ a i ⁵²	[2]	bad	2	- - - - - - ŋ a - i - ⁵²
#
16319	Hefei	below, under	底下	[2] tsๅ²⁴ɕia⁰	472	tsๅ²⁴ɕia⁰	ts ๅ ²⁴ ɕ i a ⁰	[2]	under, below	423	ts ๅ ²⁴ ɕ i a ⁰
16315	Chengdu	below, under	底下	ti⁵³ɕia¹³₃₁	472	ti⁵³ɕia¹³₃₁	t i ⁵³ ɕ i a ¹³₃₁		under, below	423	t i ⁵³ ɕ i a ¹³₃₁
16316	Chengdu	below, under	下頭	[2] ɕia¹³tʰəu³¹	472	ɕia¹³tʰəu³¹	ɕ i a ¹³ tʰ ə u ³¹	[2]	under, below	118	ɕ i a ¹³ tʰ ə u ³¹
16326	Nanchang	below, under	! 下□	[2] ha³¹tit⁵	472	ha³¹tit⁵	h a ³¹ t i t ⁵	[2]	under, below	39	h a ³¹ t i t ⁵
16309	Beijing	below, under	底下	ti²¹⁴₂₁ɕia⁰	472	ti²¹⁴₂₁ɕia⁰	t i ²¹⁴₂₁ ɕ i a ⁰		under, below	423	t i ²¹⁴₂₁ ɕ i a ⁰
16310	Beijing	below, under	下頭	[2] ɕia⁵¹tʰou⁰	472	ɕia⁵¹tʰou⁰	ɕ i a ⁵¹ tʰ o u ⁰	[2]	under, below	118	ɕ i a ⁵¹ tʰ o u ⁰
16311	Jinan	below, under	下邊兒	ɕia²¹pɛr⁰	472	ɕia²¹pɛr⁰	ɕ i a ²¹ p ɛ r ⁰		under, below	115	ɕ i a ²¹ p ɛ r ⁰
16312	Shenyang	below, under	下面	ɕia⁴¹mian⁰	472	ɕia⁴¹mian⁰	ɕ i a ⁴¹ m i a n ⁰		under, below	117	ɕ i a ⁴¹ m i a n ⁰
16313	Xian	below, under	底下	ti⁵³xɑ⁰	472	ti⁵³xɑ⁰	t i ⁵³ x ɑ ⁰		under, below	423	t i ⁵³ x - ɑ ⁰
16314	Xian	below, under	下頭	[2] xɑ⁴⁵tʰou⁰	472	xɑ⁴⁵tʰou⁰	x ɑ ⁴⁵ tʰ o u ⁰	[2]	under, below	118	x ɑ - ⁴⁵ tʰ o u ⁰
16317	Kunming	below, under	下首	ɕia¹³ʂəu⁵³	472	ɕia¹³ʂəu⁵³	ɕ i a ¹³ ʂ ə u ⁵³		under, below	119	ɕ i a ¹³ ʂ ə u ⁵³
