# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST
139	bee	Wang2006a	xõ55	?	?	Ega	xõ₅₅	bee	367	CVT
140	bee	Wang2006a	xõ55	?	?	Jinman	xõ₅₅	bee	367	CVT
141	bee	Wang2006a	fṽ55	?	?	Jinxing	fɤ̃₅₅	bee	367	CVT
142	bee	Wang2006a	fṽ55	?	?	Dashi	fɤ̃₅₅	bee	367	CVT
143	bee	Wang2006a	fv55	?	?	Zhoucheng	fɤ₅₅	bee	367	CVT
144	bee	Wang2006a	pʰen55	?	?	Mazhelong	pʰen₅₅	bee	367	CVcT
145	bee	Allen2007	fɤ̃55	?	蜜蜂	Jianchuan	fɤ̃₅₅	bee	71	CVT
146	bee	Allen2007	tsɿ55fɤ55	?	蜜蜂	Eryuan	t͡sɿ₅₅fɤ₅₅	bee	71	CVTCVT
147	bee	Allen2007	fɤ̃55	?	蜜蜂	Heqi	fɤ̃₅₅	bee	71	CVT
148	bee	Allen2007	fɯ̃55	?	蜜蜂	Lanping	fɯ̃₅₅	bee	71	CVT
149	bee	Allen2007	fɤ55	?	蜜蜂	Qiliqiao	fɤ₅₅	bee	71	CVT
150	bee	Allen2007	tsɿ55fɤ55	?	蜜蜂	Yunlong	t͡sɿ₅₅fɤ₅₅	bee	71	CVTCVT
151	bee	Allen2007	fɯ̃55	?	蜜蜂	Xiangyun	fɯ̃₅₅	bee	71	CVT
152	bee	Allen2007	tɕɛ̃55ɴ̥ɴ̣55	?	蜜蜂	Luobenzhuo	t͡ɕɛ̃₅₅ɴ̥ɴ̣₅₅	bee	71	CVTccT
#
153	back, behind	Wang2006a	ɣɯ33	?	?	Tuoluo	ɣɯ₃₃	behind	713	CVT
154	back, behind	Wang2006a	ɣe22	?	?	Gongxing	ɣe₂₂	behind	713	CVT
155	back, behind	Wang2006a	ɯ22	?	?	Enqi	ɯ₂₂	behind	713	VT
156	back, behind	Wang2006a	xɯ̃22	?	?	Ega	xɯ̃₂₂	behind	713	CVT
157	back, behind	Wang2006a	xẽ55	?	?	Jinman	xẽ₅₅	behind	713	CVT
158	back, behind	Wang2006a	ɣeǝ33	?	?	Jinxing	ɣeǝ₃₃	behind	713	CVT
159	back, behind	Wang2006a	ɣɯ33	?	?	Dashi	ɣɯ₃₃	behind	713	CVT
160	back, behind	Wang2006a	ɣɯ33	?	?	Zhoucheng	ɣɯ₃₃	behind	713	CVT
161	back, behind	Wang2006a	ɣǝ33	?	?	Mazhelong	ɣǝ₃₃	behind	713	CVT
162	behind	Allen2007	ɣɯ33mi42	?	后面	Jianchuan	ɣɯ₃₃mi₄₂	behind	26	CVTCVT
163	behind	Allen2007	ɣɯ33pɔ31	?	后面	Eryuan	ɣɯ₃₃pɔ₃₁	behind	26	CVTCVT
164	behind	Allen2007	ɣɯ33mi42	?	后面	Heqi	ɣɯ₃₃mi₄₂	behind	26	CVTCVT
165	behind	Allen2007	ɣɯ44mi33nɔ44	?	后面	Lanping	ɣɯ₄₄mi₃₃nɔ₄₄	behind	26	CVTCVTCVT
166	behind	Allen2007	ɔ21tɔ35mi44	?	后面	Qiliqiao	ɔ₂₁tɔ₃₅mi₄₄	behind	26	VTCVTCVT
167	behind	Allen2007	dɔ31xɯ55	?	后面	Yunlong	dɔ₃₁xɯ₅₅	behind	26	CVTCVT
168	behind	Allen2007	ɣɯ33sɛ̃21	?	后面	Xiangyun	ɣɯ₃₃sɛ̃₂₁	behind	26	CVTCVT
169	behind	Allen2007	dɯ̃31xɯ̃33	?	后面	Luobenzhuo	dɯ̃₃₁xɯ̃₃₃	behind	26	CVTCVT
#
170	belly	Wang2006a	fɚ42	?	?	Tuoluo	fɚ₄₂	belly;stomach	96	CVT
171	belly	Wang2006a	[ʐi21]	?	?	Gongxing	ʐi₂₁	belly;stomach	96	CVT
172	belly	Wang2006a	fo24	?	?	Enqi	fo₂₄	belly;stomach	96	CVT
173	belly	Wang2006a	xu44	?	?	Ega	xu₄₄	belly;stomach	96	CVT
174	belly	Wang2006a	[ʐɚ42]	?	?	Jinman	ʐɚ₄₂	belly;stomach	96	CVT
175	belly	Wang2006a	fv44	?	?	Jinxing	fɤ₄₄	belly;stomach	96	CVT
176	belly	Wang2006a	fo44	?	?	Dashi	fo₄₄	belly;stomach	96	CVT
177	belly	Wang2006a	fv44	?	?	Zhoucheng	fɤ₄₄	belly;stomach	96	CVT
178	belly	Wang2006a	pɯ44	?	?	Mazhelong	pɯ₄₄	belly;stomach	96	CVT
179	belly,stomach	Allen2007	fɤ44	?	肚子	Jianchuan	fɤ₄₄	belly;stomach	139	CVT
180	belly,stomach	Allen2007	fɤ44	?	肚子	Eryuan	fɤ₄₄	belly;stomach	139	CVT
181	belly,stomach	Allen2007	fɤ44	?	肚子	Heqi	fɤ₄₄	belly;stomach	139	CVT
182	belly,stomach	Allen2007	ʐɛ31kʰu33	?	肚子	Lanping	ʐɛ₃₁kʰu₃₃	belly;stomach	139	CVTCVT
183	belly,stomach	Allen2007	fɤ44	?	肚子	Qiliqiao	fɤ₄₄	belly;stomach	139	CVT
184	belly,stomach	Allen2007	fɤ44	?	肚子	Yunlong	fɤ₄₄	belly;stomach	139	CVT
185	belly,stomach	Allen2007	fɤ44	?	肚子	Xiangyun	fɤ₄₄	belly;stomach	139	CVT
186	belly,stomach	Allen2007	ʐa44	?	肚子	Luobenzhuo	ʐa₄₄	belly;stomach	139	CVT
#
187	big	Wang2006a	dɔ21	?	?	Tuoluo	dɔ₂₁	big	964	CVT
188	big	Wang2006a	da42	?	?	Gongxing	da₄₂	big	964	CVT
189	big	Wang2006a	da43	?	?	Enqi	da₄₃	big	964	CVT
190	big	Wang2006a	do42	?	?	Ega	do₄₂	big	964	CVT
191	big	Wang2006a	do42	?	?	Jinman	do₄₂	big	964	CVT
192	big	Wang2006a	tou42	?	?	Jinxing	tou₄₂	big	964	CVT
193	big	Wang2006a	tou42	?	?	Dashi	tou₄₂	big	964	CVT
194	big	Wang2006a	to42	?	?	Zhoucheng	to₄₂	big	964	CVT
195	big	Wang2006a	do42	?	?	Mazhelong	do₄₂	big	964	CVT
196	big	Allen2007	tou42	?	大	Jianchuan	tou₄₂	big	386	CVT
197	big	Allen2007	tɔ31	?	大	Eryuan	tɔ₃₁	big	386	CVT
198	big	Allen2007	tɔu42	?	大	Heqi	tɔu₄₂	big	386	CVT
199	big	Allen2007	to31	?	大	Lanping	to₃₁	big	386	CVT
200	big	Allen2007	tɔ31	?	大	Qiliqiao	tɔ₃₁	big	386	CVT
201	big	Allen2007	dao31	?	大	Yunlong	dao₃₁	big	386	CVT
202	big	Allen2007	tɔu21	?	大	Xiangyun	tɔu₂₁	big	386	CVT
203	big	Allen2007	ʈao44	?	大	Luobenzhuo	ʈao₄₄	big	386	CVT
#
204	bird	Wang2006a	tsu42	?	?	Tuoluo	t͡su₄₂	bird	326	CVT
