CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELex	SWADESH_1952	SWADESH_1955	TowerOfBabel
thick	5503	厚	Adjective	12.63	thick (157)	thick (171)	thick(164)	-	-
thin	5990	薄	Adjective	12.65	thin (156)	thin (172)	thin(165)	-	thin(56)
to think (reflect)	6021	想	Verb	17.13	to think (21)	think (173)	to think(166)	-	-
this	5458	这	Function word	24.07	this (177)	this (174)	this(167)	this(86)	this(28)
thou [second person singular]	5459	你	Function word	2.92	thou (183)	thou (175)	thou(168)	thou(87)	thou(5)
three	156096	三	Function word	13.03	Three (199)	three (176)	three(169)	-	-
to throw	6072	扔	Verb	10.25	to throw (94)	throw (177)	to throw(170)	-	-
the thunder	509787	-	Noun	1.56	thunder (134)	-	-	-	-
to tie (together)	844574	捆	Verb	9.16	to tie up, fasten (66)	tie (178)	to tie(171)	-	-
the tongue	5440	舌头	Noun	4.26	tongue (32)	tongue (179)	tongue(172)	tongue(88)	tongue(8)
the tooth (front)	5946	牙齿	Noun	4.27	tooth (31)	tooth (180)	tooth (front rather than molar)(173)	tooth(89)	tooth(22)
the tree	3854	树	Noun	8.6	-	tree (181)	tree(174)	tree(90)	tree(42)
to turn (around)	6055	转	Verb	10.12	to turn (8)	turn (182)	to turn (change one's direction)(175)	-	-
twenty	7013	-	Function word	13104	Twenty (207)	-	-	-	-
two	6248	二	Function word	13.02	Two (198)	two (183)	two(176)	two(91)	two(2)
to vomit	5617	呕吐	Verb	4.57	to vomit (35)	vomit (184)	to vomit(177)	-	-
to walk	6054	走	Verb	10.45	to walk (5)	walk (185)	to walk(178)	walk(92)	walk(go)(89)
warm (hot)	5485	-	Adjective	15851	warm (138)	warm (186)	warm (of weather)(179)	warm (hot)(93)	warm(90)
to wash	6069	洗	Verb	9.36	-	wash (187)	to wash(180)	-	-
the water	4118	水	Noun	1.31	water (122)	water (188)	water(181)	water(94)	water(30)
we [first person plural]	5455	我们	Function word	2.94	we (185)	we (189)	we(182)	we(95)	we(1)
wet	7027	湿	Adjective	15.83	wet (141)	wet (190)	wet(183)	-	-
what	5491	设么	Function word	17.64	what? (188)	what (191)	what?(184)	what(96)	what(12)
when	5493	-	Function word	17.65	when? (170)	when (192)	when?(185)	-	-
where	5492	哪里	Function word	17.66	where? (181)	where (193)	where?(186)	-	-
white	5825	白	Adjective	15.64	white (148)	white (194)	white(187)	white(97)	white(79)
who	5490	谁	Function word	17.68	who? (189)	who (195)	who?(188)	who(98)	who(6)
wide	5502	宽	Adjective	12.61	wide (159)	wide (196)	wide(189)	-	-
the wife	5429	妻子	Noun	2.32	wife (58)	wife (197)	wife(190)	-	-
the wind	4160	风	Noun	1.72	wind (136)	wind (198)	wind(191)	-	wind(108)
the wing	5528	翅膀	Noun	4392	wing (100)	wing (199)	wing(192)	-	-
the woman	4165	女人	Noun	2.22	woman/female (55)	woman (202)	woman(195)	woman(99)	woman(93)
the wood (material)	741520	-	Noun	1.43	stick/wood (79)	-	-	-	-
to work	471303	-	Verb	-	to work (83)	-	-	-	-
the worm	5466	虫	Noun	3.84	worm (earthworm) (107)	worm (204)	worm(197)	-	worm(62)
to yawn	441371	-	Verb	4.52	to yawn (47)	-	-	-	-
the year	5478	年	Noun	14.73	year (169)	year (205)	year(199)	-	year(76)
yellow	6031	黄	Adjective	15.69	yellow (150)	yellow (206)	yellow(200)	yellow(100)	yellow(96)
you [second person plural]	5456	-	Function word	2.95	you (186)	you (207)	ye(198)	-	-
