# Wordlist

# DATA
ID	GFN	CONCEPT	LGID	RGEN	STEDT_GLOSS	REFLEX	DOCULECT	SRCID	SRCABBR	STEDT_RN	IPA	TOKENS
23577	pron	I [first person singular]	1816	392735	I	ŋɑ⁵³	Dulong	0928.20	TBL	23577	ŋɑ⁵³	ŋ ɑ ⁵³
76950	pron	I [first person singular]	1846	392763	I	ŋo²¹	Bai (Jianchuan)	0928.48	TBL	76950	ŋo²¹	ŋ o ²¹
45887	pron	I [first person singular]	1829	392747	I	ŋa⁵⁵	Bola (Luxi)	0928.32	TBL	45887	ŋa⁵⁵	ŋ a ⁵⁵
44104	pron	I [first person singular]	1828	392746	I	ŋɔ³¹	Langsu (Luxi)	0928.31	TBL	44104	ŋɔ³¹	ŋ ɔ ³¹
14189	pron	I [first person singular]	1811	392731	I	ŋə³⁵	Guiqiong	0928.16	TBL	14189	ŋə³⁵	ŋ ə ³⁵
78871	pron	I [first person singular]	1847	392764	I	ŋa³⁵	Tujia	0928.49	TBL	78871	ŋa³⁵	ŋ a ³⁵
80380	pron	I [first person singular]	1848	392720	I	ŋæ	Tibetan (Alike)	0928.05	TBL	80380	ŋæ	ŋ æ
47708	pron	I [first person singular]	1830	392748	I	ŋo³¹	Leqi (Luxi)	0928.33	TBL	47708	ŋo³¹	ŋ o ³¹
15851	pron	I [first person singular]	1812	392732	I	ŋɛ³⁵	Xumi	0928.17	TBL	15851	ŋɛ³⁵	ŋ ɛ ³⁵
15852	pron	I [first person singular]	1812	392768	I	ŋa⁵⁵	Xumi	0928.17	TBL	15852	ŋa⁵⁵	ŋ a ⁵⁵
81944	pron	I [first person singular]	1849	392765	I	je³¹	Karen	0928.50	TBL	81944	je³¹	j e ³¹
49410	pron	I [first person singular]	1831	392749	I	ŋa³³	Nusu (Central)	0928.34	TBL	49410	ŋa³³	ŋ a ³³
17732	pron	I [first person singular]	1813	392733	I	æ⁵³	Lyuzu	0928.18	TBL	17732	æ⁵³	æ ⁵³
17733	pron	I [first person singular]	1813	392769	I	a³³duo⁵³	Lyuzu	0928.18	TBL	17733	a³³duo⁵³	a ³³ ◦ d u o ⁵³
83501	pron	I [first person singular]	1850	392721	I	ŋe³⁵	Cuona Menba	0928.06	TBL	83501	ŋe³⁵	ŋ e ³⁵
51243	pron	I [first person singular]	1832	392750	I	ŋɑ³³	Yi (Xide)	0928.35	TBL	51243	ŋɑ³³	ŋ ɑ ³³
19572	pron	I [first person singular]	1814	392734	I	ŋai³³	Jingpho	0928.19	TBL	19572	ŋai³³	ŋ a i ³³
