ID	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
313566	dei?³ huai³	cute		PB-CLDB	1778	Tiddim	225
313567	dei?³ kin¹	urgent		PB-CLDB	1778	Tiddim	226
313568	dek³ tak³	almost		PB-CLDB	1778	Tiddim	227
313569	del?³	run after; pursue	v	PB-CLDB	1778	Tiddim	228
313570	dem¹	compete	v	PB-CLDB	1778	Tiddim	229
313571	den² te?¹	later		PB-CLDB	1778	Tiddim	230
313572	den³	always		PB-CLDB	1778	Tiddim	231
313573	dep³ > de?³	dented	vi	PB-CLDB	1778	Tiddim	232
313574	det³	light and show a torch	v	PB-CLDB	1778	Tiddim	233
313575	deː² > det³	light a torch; appear (as moon)	v	PB-CLDB	1778	Tiddim	234
313576	deːk²	back of head		PB-CLDB	1778	Tiddim	235
313578	deːk²	bargain	v	PB-CLDB	1778	Tiddim	236
313579	deːl¹	stand with curved body with the belly protruding o	v	PB-CLDB	1778	Tiddim	237
313580	deːl³ > del?³	move back and forth while standing with the body c	v	PB-CLDB	1778	Tiddim	238
313581	deːng² > den³	stone	v	PB-CLDB	1778	Tiddim	239
313582	deːp¹	outgrow	v	PB-CLDB	1778	Tiddim	240
313583	dia?³	soak	v	PB-CLDB	1778	Tiddim	241
313584	dial²	flag		PB-CLDB	1778	Tiddim	242
313585	diang¹ > dian¹	jump	v	PB-CLDB	1778	Tiddim	243
313587	dik³	right; accurate; innocent		PB-CLDB	1778	Tiddim	244
313588	dim¹	full	vi	PB-CLDB	1778	Tiddim	245
313589	dim¹ leːt¹	overflowing		PB-CLDB	1778	Tiddim	246
313590	dim³ > dip³	fill	v	PB-CLDB	1778	Tiddim	247
313591	ding² > din³	stand	v	PB-CLDB	1778	Tiddim	248
313592	diːk²	inhale	v	PB-CLDB	1778	Tiddim	249
313593	diːp¹	epigastrium		PB-CLDB	1778	Tiddim	250
313594	diːt¹	take out the top portion of a liquid	v	PB-CLDB	1778	Tiddim	251
313595	do?³	keep both palms (of hands) or a container to recei	v	PB-CLDB	1778	Tiddim	252
313596	dok³ > do?³	pull while holding; subtract	v	PB-CLDB	1778	Tiddim	253
313597	dok³ doːn³	snail		PB-CLDB	1778	Tiddim	254
313598	dol³ > dol?³	damp	vi	PB-CLDB	1778	Tiddim	255
313599	dom¹	lift and hold	v	PB-CLDB	1778	Tiddim	256
313600	don¹	care for; look after	v	PB-CLDB	1778	Tiddim	257
313601	dong¹ > don¹	reach up to	v	PB-CLDB	1778	Tiddim	258
313602	dong² > don³	collect offerings	v	PB-CLDB	1778	Tiddim	259
313603	dong³ > dot³	ask; consult; enquire	v	PB-CLDB	1778	Tiddim	260
313604	dou²	fight back in defence	v	PB-CLDB	1778	Tiddim	261
313605	dou²	provide hospitality	v	PB-CLDB	1778	Tiddim	262
313606	dou³ > dou?³	have a sensation of something poking	v	PB-CLDB	1778	Tiddim	263
313608	doːi³	devil		PB-CLDB	1778	Tiddim	264
313609	doːi³ sa³	shaman		PB-CLDB	1778	Tiddim	265
313610	doːk¹	visible as an object protruding from a hidden plac	vi	PB-CLDB	1778	Tiddim	266
313611	doːk²	protrude out from an arrangement [eg. a book from	v	PB-CLDB	1778	Tiddim	267
313612	doːl²	teak		PB-CLDB	1778	Tiddim	268
313613	doːm³ > dop³	handle carefully	v	PB-CLDB	1778	Tiddim	269
313614	doːn¹	welcome; greet	v	PB-CLDB	1778	Tiddim	271
313615	doːn²	drink	v	PB-CLDB	1778	Tiddim	272
313616	doːn³	tip; topmost		PB-CLDB	1778	Tiddim	273
313618	doːn³ poːl¹	melon		PB-CLDB	1778	Tiddim	274
313619	doːng¹ > doːn¹	tender and thick [of newly emerging branches or sh	vi	PB-CLDB	1778	Tiddim	275
313620	doːng² > doːn³	answer; reply	v	PB-CLDB	1778	Tiddim	276
313621	doːng² > doːn³	fat; well-nourished; be chubby [esp. of children]	v	PB-CLDB	1778	Tiddim	277
313622	doːp¹	make an initial inquiry	v	PB-CLDB	1778	Tiddim	278
313623	doːt¹	poke; stab; pierce	v	PB-CLDB	1778	Tiddim	279
313624	du?³	desire food	v	PB-CLDB	1778	Tiddim	280
313625	du?³ go?³	covet edible things	v	PB-CLDB	1778	Tiddim	281
313626	duai²	soft but tough [e.g. cane; nylon rope]	vi	PB-CLDB	1778	Tiddim	282
313627	dul?³	become reddish due to friction [of body parts]	v	PB-CLDB	1778	Tiddim	283
313628	dum²	become completely green [of landscape]	v	PB-CLDB	1778	Tiddim	284
313630	dum² de²	firefly		PB-CLDB	1778	Tiddim	285
313631	ei¹	we		PB-CLDB	1778	Tiddim	286
313632	ek³ > e?³	split into two	v	PB-CLDB	1778	Tiddim	287
313633	em²	roast	v	PB-CLDB	1778	Tiddim	288
313634	en¹ > et³	look at	v	PB-CLDB	1778	Tiddim	289
313635	eng² > en³	green or yellow	vi	PB-CLDB	1778	Tiddim	290
313636	eu¹	high pitch		PB-CLDB	1778	Tiddim	291
313639	eːk¹	excrement		PB-CLDB	1778	Tiddim	292
313640	eːk¹ buːk¹	latrine (separate from the house)		PB-CLDB	1778	Tiddim	293
313641	eːk¹ koːng¹	latrine (attached to the house)		PB-CLDB	1778	Tiddim	294
313642	eːk¹ neːl¹	cud		PB-CLDB	1778	Tiddim	295
