rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
244433	thupele	lift	v	GEM-CNL	252	Angami (Khonoma)	
244476	tiso	light (bright)	n	GEM-CNL	252	Angami (Khonoma)	
244512	medza	light (of weight)	adj	GEM-CNL	252	Angami (Khonoma)	
244545	mi◦chi	light (ignite)	v	GEM-CNL	252	Angami (Khonoma)	
244574	kemha	like (as)		GEM-CNL	252	Angami (Khonoma)	
244612	keducho	little		GEM-CNL	252	Angami (Khonoma)	
244661	cha	long	adj	GEM-CNL	252	Angami (Khonoma)	
244703	mohoshi	look at		GEM-CNL	252	Angami (Khonoma)	
244816	peje	lose		GEM-CNL	252	Angami (Khonoma)	
244855	khre	love	v	GEM-CNL	252	Angami (Khonoma)	
244899	chake	low	adj	GEM-CNL	252	Angami (Khonoma)	
244931	kenua	mad (insane)		GEM-CNL	252	Angami (Khonoma)	
244962	jarosi	maize		GEM-CNL	252	Angami (Khonoma)	
244991	chi	make		GEM-CNL	252	Angami (Khonoma)	
245029	thepfüma	man (male)		GEM-CNL	252	Angami (Khonoma)	
245068	thema	man (mankind)		GEM-CNL	252	Angami (Khonoma)	
245113	murosi	mango		GEM-CNL	252	Angami (Khonoma)	
245134	chapere	many		GEM-CNL	252	Angami (Khonoma)	
245135	krapeze	many		GEM-CNL	252	Angami (Khonoma)	
245178	telhiba	market		GEM-CNL	252	Angami (Khonoma)	
245208	nhü	married		GEM-CNL	252	Angami (Khonoma)	
245236	zopra	mat		GEM-CNL	252	Angami (Khonoma)	
245267	zekese	meet		GEM-CNL	252	Angami (Khonoma)	
245301	chipevile	mend		GEM-CNL	252	Angami (Khonoma)	
245331	matso	middle		GEM-CNL	252	Angami (Khonoma)	
245381	lemo	mistake	n	GEM-CNL	252	Angami (Khonoma)	
245401	raka	money		GEM-CNL	252	Angami (Khonoma)	
245458	ku	move	v	GEM-CNL	252	Angami (Khonoma)	
245459	redi	move	v	GEM-CNL	252	Angami (Khonoma)	
245487	cha	much		GEM-CNL	252	Angami (Khonoma)	
245488	kra	much		GEM-CNL	252	Angami (Khonoma)	
245556	gakri	mustard		GEM-CNL	252	Angami (Khonoma)	
245584	metho	naked		GEM-CNL	252	Angami (Khonoma)	
245616	za	name	n	GEM-CNL	252	Angami (Khonoma)	
245652	kemere	narrow	adj	GEM-CNL	252	Angami (Khonoma)	
245690	kepeno	near		GEM-CNL	252	Angami (Khonoma)	
245763	chübi	necklace		GEM-CNL	252	Angami (Khonoma)	
245785	the◦pre	needle	n	GEM-CNL	252	Angami (Khonoma)	
245815	zu	net	n	GEM-CNL	252	Angami (Khonoma)	
245850	zoporimo	never		GEM-CNL	252	Angami (Khonoma)	
245875	kesa	new		GEM-CNL	252	Angami (Khonoma)	
245916	dele	news		GEM-CNL	252	Angami (Khonoma)	
245945	mo	no		GEM-CNL	252	Angami (Khonoma)	
245993	jele	not		GEM-CNL	252	Angami (Khonoma)	
245994	mo	not		GEM-CNL	252	Angami (Khonoma)	
246051	tse	now		GEM-CNL	252	Angami (Khonoma)	
246091	rese	oath		GEM-CNL	252	Angami (Khonoma)	
246117	dele	obey		GEM-CNL	252	Angami (Khonoma)	
246144	kegwe	old (of things)		GEM-CNL	252	Angami (Khonoma)	
246183	ketsa	old (of persons)		GEM-CNL	252	Angami (Khonoma)	
246217	gi	on		GEM-CNL	252	Angami (Khonoma)	
246265	tamra	onion		GEM-CNL	252	Angami (Khonoma)	
246291	rebi	only		GEM-CNL	252	Angami (Khonoma)	
246326	prüshi	open	v	GEM-CNL	252	Angami (Khonoma)	
246327	prile	open	v	GEM-CNL	252	Angami (Khonoma)	
246362	shohosi-kemupfü	orange	n	GEM-CNL	252	Angami (Khonoma)	
246388	dakoshi	order	v	GEM-CNL	252	Angami (Khonoma)	
246421	kekri	other		GEM-CNL	252	Angami (Khonoma)	
246457	kita	outside		GEM-CNL	252	Angami (Khonoma)	
246521	chi	pain	n	GEM-CNL	252	Angami (Khonoma)	
246579	cha-awe	peace		GEM-CNL	252	Angami (Khonoma)	
246607	leshekerusi	pen	n	GEM-CNL	252	Angami (Khonoma)	
246628	themako	people		GEM-CNL	252	Angami (Khonoma)	
246655	thema	person		GEM-CNL	252	Angami (Khonoma)	
