NUMBER	GLOSS				SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	DEFINITION
76	good	佳	*[k]ˤre		characterisation, character	1052	1035	Emotions and values	好	Having desired or positive qualities.
76	good	良	*[r]aŋ		characterisation, character	1052	1035	Emotions and values	好	Having desired or positive qualities.
76	good	善	*[g]e[n]ʔ		characterisation, character	1052	1035	Emotions and values	好	Having desired or positive qualities.
76	good	臧	*[ts]ˤaŋ		characterisation, character	1052	1035	Emotions and values	好	Having desired or positive qualities.
76	good	好	*qʰˤuʔ		characterisation, character	1052	1035	Emotions and values	好	Having desired or positive qualities.
77	the grass	草	*[tsʰ]ˤuʔ		nature	436	606	Agriculture and vegetation	草	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.
77	the grass	荐	*N-tsˤə[n]-s 		nature	436	606	Agriculture and vegetation	草	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.
78	green	綠	*pə.rok	or light blue	characterization, color	1009	1425	Sense perception	绿	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.
78	green	蒼	*[tsʰ]ˤaŋ	or deep blue	characterization, color	1009	1425	Sense perception	绿	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.
79	the hail	雹	*C.[b]ˤruk		nature	13	609	The physical world	冰雹	Precipitation in the form of balls or irregular lumps of ice.
80	the hair (of the head)	髮	*pot		body	75	1040	The body	头发	The collection or mass of hair on a person's head except the face.
81	the hand	手	*n̥uʔ		body	107	1277	The body	手	That part of the fore limb below the forearm or wrist in primates (including humans).
82	hard	剛	*kˤaŋ		characterisation, form	1034	1884	Sense perception	硬	Resistant to pressure.
83	he or she [third person singular]	伊	*ʔij		pronoun	934	262	Kinship	他	Third person singular pronoun, regardless of gender/sex.
84	the head	首	*l̥uʔ		body	74	1256	The body	头	The part of the body of an animal or human which contains the brain, mouth and main sense organs.
85	to hear	聞 	*mu[n]		action	1682	1408	Sense perception	听见	To perceive sound with the ear, without necessarily paying attention to it.
86	the heart	心	*səm		body	144	1223	The body	心脏	A muscular organ that pumps blood through the body.
87	heavy	重	*N-t<r>oŋʔ		characterisation, quantity	1014	1210	Sense perception	重	Of a physical object, having great weight.
88	here				location, pronoun	944	136	Miscellaneous function words	这里	at this place
89	to hide (conceal)	匿	*nr[ə]k		action	1169	602	Spatial relations	躲藏	To put something in a place where it will be harder to discover or out of sight.
89	to hide (conceal)	隱	*[ʔ](r)ə[n]ʔ 		action	1169	602	Spatial relations	躲藏	To put something in a place where it will be harder to discover or out of sight.
90	high / tall	高	*Cə.[k]ˤaw		characterisation, quantity	968	1265	Spatial relations	高	Having relatively great height.
90	high / tall	卓	*tˤrawk		characterisation, quantity	968	1265	Spatial relations	高	Having relatively great height.
91	to hold	持	*[d]rə		action	1709	1448	Possession	拿	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.
92	the hoof	蹢	*tˤek	WT rje	body	264	152	The body	蹄	Natural horn covering of an animal's foot.
93	horizontal	橫	*C.gʷˤraŋ		location	1001	2376	Spatial relations	橫	Plane is said to be horizontal at a given point if it is perpendicular to the gradient of the gravity field at that point— in other words, if apparent gravity makes a plumb bob hang perpendicular to the plane at that point. [W: Horizontal plane]
94	the horn (keratinized skin)	角	*C.[k]ˤrok		body, animal	263	1393	The body	角	A hard growth of keratin that protrudes from the top of the head of certain animals.
95	the horse	馬	*mˤraʔ	Loan < Qiangic	animal	268	615	Animals	马	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.
96	hot	熱	*C.nat		characterisation, temperature	1062	1286	Sense perception	热	Having a very high temperature.
97	the house	屋	*qˤok		residence	494	1252	The house	房子	The abode of a human being, their place of residence.
98	hundred	百	*pˤrak		number	824	1634	Quantity	百	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.
99	to hunt	獵	*r[a]p		action	1230	1435	Warfare and hunting	狩猎	To chase down prey and (usually) kill it.
99	to hunt	狩	*s.tuʔ-s		action	1230	1435	Warfare and hunting	狩猎	To chase down prey and (usually) kill it.
