rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
544319	rəjɛ	wheat		SK-TBLUP	2110	Darma	683
544318	rupya	rupee		SK-TBLUP	2110	Darma	682
544317	ruŋ-ɕi-mo	accept	v.	SK-TBLUP	2110	Darma	681
544316	ru	horn		SK-TBLUP	2110	Darma	680
544315	ru	corner (outside)		SK-TBLUP	2110	Darma	679
544314	royoŋ	hare		SK-TBLUP	2110	Darma	678
544313	rota	bread		SK-TBLUP	2110	Darma	677
544312	rɔŋ-ɕi-mo	listen	v.	SK-TBLUP	2110	Darma	676
544311	roŋ-mo	amuse	v.	SK-TBLUP	2110	Darma	675
544310	rɔŋ-mo	cover	vt.	SK-TBLUP	2110	Darma	674
544309	rɔŋ	shoulder		SK-TBLUP	2110	Darma	673
544308	rɔk-sɔŋ, rɔk-tsɔŋ	guts		SK-TBLUP	2110	Darma	672
544307	rɔk-ɕi-mo	comb	v.	SK-TBLUP	2110	Darma	671
544306	rɔk-mo	chuckle	v.	SK-TBLUP	2110	Darma	670
544305	rɔk-ga-mo	help	v.	SK-TBLUP	2110	Darma	669
544304	ro-mo	roast (in fire)	v.	SK-TBLUP	2110	Darma	668
544303	rɔ-mo	bellow	v.	SK-TBLUP	2110	Darma	667
544302	ro	bone		SK-TBLUP	2110	Darma	666
544301	ritu	season		SK-TBLUP	2110	Darma	665
544299	rɛ-mo	cold (to get)	v.	SK-TBLUP	2110	Darma	663
544300	re-nani	west		SK-TBLUP	2110	Darma	664
544298	rap	flame		SK-TBLUP	2110	Darma	662
544297	rani-ɕyani	widow		SK-TBLUP	2110	Darma	661
544296	rado	widower		SK-TBLUP	2110	Darma	660
544295	ra-mo	arrive	v.	SK-TBLUP	2110	Darma	659
544294	ra-ləŋna	as soon as		SK-TBLUP	2110	Darma	658
544293	phətita-ga-mo	insult	v.	SK-TBLUP	2110	Darma	657
544292	phər-mo	untie	v.	SK-TBLUP	2110	Darma	656
544291	phər-mo	open (chain)	v.	SK-TBLUP	2110	Darma	655
544290	phəm-mo	stitch	v.	SK-TBLUP	2110	Darma	654
544289	phyəŋ-mo	rinse	v.	SK-TBLUP	2110	Darma	653
544288	phyam-mo	pour out	v.	SK-TBLUP	2110	Darma	652
544287	phyala	palm		SK-TBLUP	2110	Darma	651
544286	phya-mo	rebuke	v.	SK-TBLUP	2110	Darma	650
544285	phuŋ-mo	run (stealthily)	v.	SK-TBLUP	2110	Darma	649
544284	phu-ɕiŋ, dyu-ri	beam		SK-TBLUP	2110	Darma	648
544282	phu	cave		SK-TBLUP	2110	Darma	646
544283	phu	copper		SK-TBLUP	2110	Darma	647
544281	phoŋ-lo	water-pot		SK-TBLUP	2110	Darma	645
544280	phɔk-ɕi-mo	cover (self)	v.	SK-TBLUP	2110	Darma	644
544279	pho-mo	uncover	v.	SK-TBLUP	2110	Darma	643
544278	pho-mo	open	v.	SK-TBLUP	2110	Darma	642
544277	phɔ-hrəŋ	horse (male)		SK-TBLUP	2110	Darma	641
544276	pho, jərya	deer		SK-TBLUP	2110	Darma	640
544275	pho	animal (wild)		SK-TBLUP	2110	Darma	639
544274	phɔ	male		SK-TBLUP	2110	Darma	638
544273	phɛr-mo	blow (wind)	v.	SK-TBLUP	2110	Darma	637
544272	phɛl-mo	wash (clothes)	v.	SK-TBLUP	2110	Darma	636
544271	phɛ-nu	thick (liquid)		SK-TBLUP	2110	Darma	635
544270	phe	thread		SK-TBLUP	2110	Darma	634
544269	phak-ɕya	rabbit		SK-TBLUP	2110	Darma	633
544268	phak-ɕinu	down, low		SK-TBLUP	2110	Darma	632
544267	pha-nu	gray (ash)		SK-TBLUP	2110	Darma	631
544266	pha-mo	speak	v.	SK-TBLUP	2110	Darma	630
544265	pha	ash		SK-TBLUP	2110	Darma	629
544264	pɯtshɯm	rice		SK-TBLUP	2110	Darma	628
544263	pɯɚ	navel		SK-TBLUP	2110	Darma	627
544262	pɯjya	three days after tomorrow		SK-TBLUP	2110	Darma	626
544261	pəsɯ, pəchura	blanket		SK-TBLUP	2110	Darma	625
544260	pənyɛ̃	ladle (for rice)		SK-TBLUP	2110	Darma	624
544259	pəŋ-ɕi-mo	hum	v.	SK-TBLUP	2110	Darma	623
544258	pəŋ-phəl	wall		SK-TBLUP	2110	Darma	622
544257	pəŋ-mo	spread (bed)	v.	SK-TBLUP	2110	Darma	621
