ID	CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELEX	SWADESH_1952	SWADESH_1955	TOWEROFBABEL	SUBGROUP	DOCULECT	ENTRY_IN_SOURCE	IPA	TOKENS	ALIGNMENT	NOTE	GLOSS_IN_SOURCE	HANZI	COGID	SOURCE	SCAID
173	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Xiangyun	-	-	-	-	-	-	-	0	-	0
174	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Yunlong	-	-	-	-	-	-	-	0	-	0
175	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Zhoucheng	-	-	-	-	-	-	-	0	-	0
176	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bodic	Cone_Tibetan	-	-	-	-	-	-	-	0	-	0
177	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bodic	Lhasa_Tibetan	-	-	-	-	-	-	-	0	-	0
178	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bodic	Old_Tibetan	-	-	-	-	-	-	-	0	-	0
179	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Achang_Lianghe	-	-	-	-	-	-	-	0	-	0
180	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Achang_Longchuan	-	-	-	-	-	-	-	0	-	0
181	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Achang_Luxi	-	-	-	-	-	-	-	0	-	0
182	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Atsi	-	-	-	-	-	-	-	0	-	0
183	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Bola	-	-	-	-	-	-	-	0	-	0
184	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Burmese	-	-	-	-	-	-	-	0	-	0
185	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Burmish	Hpun	-	-	-	-	-	-	-	0	-	0
