# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
26	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Hpun		-	-	above (175)	7064	-	0	-
27	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Lashi		-	-	above (175)	7064	-	0	-
28	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Maru		-	-	above (175)	7064	-	0	-
29	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Old_Burmese		-	-	above (175)	7064	-	0	-
30	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Xiandau		-	-	above (175)	7064	-	0	-
31	-	-	-	Kiranti	12081	above	-	-	-	Function word	-	0	-	-	Dumi		-	-	above (175)	7064	-	0	-
32	-	-	-	Kiranti	12081	above	-	-	-	Function word	-	0	-	-	Khaling		-	-	above (175)	7064	-	0	-
33	-	-	-	Kiranti	12081	above	-	-	-	Function word	-	0	-	-	Limbu		-	-	above (175)	7064	-	0	-
34	-	-	-	Kiranti	12081	above	-	-	-	Function word	-	0	-	-	Wambule		-	-	above (175)	7064	-	0	-
35	-	-	-	Kiranti	12081	above	-	-	-	Function word	-	0	-	-	Yakkha		-	-	above (175)	7064	-	0	-
36	-	-	-	Kiranti	12081	above	-	-	-	Function word	-	0	-	-	Yamphu		-	-	above (175)	7064	-	0	-
37	-	-	-	Nungish	12081	above	-	-	-	Function word	-	0	-	-	Dulong		-	-	above (175)	7064	-	0	-
38	-	-	-	SAL	12081	above	-	-	-	Function word	-	0	-	-	Jingpo		-	-	above (175)	7064	-	0	-
39	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Beijing		-	-	above (175)	7064	-	0	-
40	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Caijia		-	-	above (175)	7064	-	0	-
41	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Changsha		-	-	above (175)	7064	-	0	-
42	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Ganzhou		-	-	above (175)	7064	-	0	-
43	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Guangzhou		-	-	above (175)	7064	-	0	-
44	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Meixian		-	-	above (175)	7064	-	0	-
45	*[d]aŋʔ-s	-	-	Sinitic	12081	above	*[d]aŋʔ-s	-	-	Function word	-	0	-	上	Old_Chinese		-	-	above (175)	7064	above	5	d a ŋ ʔ ◦ s
46	-	-	-	Sinitic	12081	above	-	-	-	Function word	-	0	-	-	Xiamen		-	-	above (175)	7064	-	0	-
47	-	-	-	rGyalrongic	12081	above	-	-	-	Function word	-	0	-	-	Guiqiong		-	-	above (175)	7064	-	0	-
48	ɯ-taʁ	-	-	rGyalrongic	12081	above	ɯ-taʁ	-	-	Function word	-	0	-	-	Japhug		-	-	above (175)	7064	-	4	ɯ ◦ t a ʁ
49	-	-	-	rGyalrongic	12081	above	-	-	-	Function word	-	0	-	-	Khroskyabs_Wobzi		-	-	above (175)	7064	-	0	-
50	-	-	-	rGyalrongic	12081	above	-	-	-	Function word	-	0	-	-	Muya		-	-	above (175)	7064	-	0	-
51	-	-	-	rGyalrongic	12081	above	-	-	-	Function word	-	0	-	-	Stau		-	-	above (175)	7064	-	0	-
52	-	-	-	rGyalrongic	12081	above	-	-	-	Function word	-	0	-	-	Tangut		-	-	above (175)	7064	-	0	-
53	-	-	-	rGyalrongic	12081	above	-	-	-	Function word	-	0	-	-	Zbu		-	-	above (175)	7064	-	0	-
#
54	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Dashi		-	all (2)	all (191)	1173416	-	0	-
55	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Zhaozhuang		-	all (2)	all (191)	1173416	-	0	-
56	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Ega		-	all (2)	all (191)	1173416	-	0	-
57	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Enqi		-	all (2)	all (191)	1173416	-	0	-
58	t͡ɕʰɔ₅₅ku₅₅	Allen2007, 499	all(84)	Bai	13.14	all	tɕʰɔ55ku55	全部	all (of a number)(1)	Function word	-	3	all(1)	-	Eryuan		t͡ɕʰ ɔ ₅₅ k u ₅₅	all (2)	all (191)	1173416	all / 都	6	t͡ɕʰ ɔ ₅₅ k u ₅₅
59	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Gongxing		-	all (2)	all (191)	1173416	-	0	-
60	t͡sa₃₅ɕɯ₅₅	Allen2007, 499	all(84)	Bai	13.14	all	tsa35ɕɯ55	全部	all (of a number)(1)	Function word	-	4	all(1)	-	Heqi		t͡s a ₃₅ ɕ ɯ ₅₅	all (2)	all (191)	1173416	all / 都	6	t͡s a ₃₅ ɕ ɯ ₅₅
61	t͡sa₃₅	Allen2007, 499	all(84)	Bai	13.14	all	tsa35	全部	all (of a number)(1)	Function word	-	5	all(1)	-	Jianchuan		t͡s a ₃₅	all (2)	all (191)	1173416	all / 都	6	t͡s a ₃₅
62	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Jinman		-	all (2)	all (191)	1173416	-	0	-
63	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Jinxing		-	all (2)	all (191)	1173416	-	0	-
64	da₅₅t͡ɕã₃₁	Allen2007, 499	all(84)	Bai	13.14	all	da55tɕã31	全部	all (of a number)(1)	Function word	-	3	all(1)	-	Luobenzhuo		d a ₅₅ t͡ɕ ã ₃₁	all (2)	all (191)	1173416	all / 都	6	d a ₅₅ t͡ɕ ã ₃₁
65	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Mazhelong		-	all (2)	all (191)	1173416	-	0	-
66	ji₃₅so₃₁	Allen2007, 499	all(84)	Bai	13.14	all	ji35so31	全部	all (of a number)(1)	Function word	-	8	all(1)	-	Qiliqiao		j i ₃₅ s o ₃₁	all (2)	all (191)	1173416	all / 都	6	j i ₃₅ s o ₃₁
67	t͡ɕʰuɛ₅₅	Allen2007, 499	all(84)	Bai	13.14	all	tɕʰuɛ55	全部	all (of a number)(1)	Function word	-	9	all(1)	-	Xiangyun		t͡ɕʰ u ɛ ₅₅	all (2)	all (191)	1173416	all / 都	6	t͡ɕʰ u ɛ ₅₅
68	t͡sa₅₅t͡ɕʰi₃₁	Allen2007, 499	all(84)	Bai	13.14	all	tsa55tɕʰi31	全部	all (of a number)(1)	Function word	-	4	all(1)	-	Yunlong		t͡s a ₅₅ t͡ɕʰ i ₃₁	all (2)	all (191)	1173416	all / 都	6	t͡s a ₅₅ t͡ɕʰ i ₃₁
69	-	-	all(84)	Bai	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Zhoucheng		-	all (2)	all (191)	1173416	-	0	-
70	-	-	all(84)	Bodic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Cone_Tibetan		-	all (2)	all (191)	1173416	-	0	-
71	-	-	all(84)	Bodic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Lhasa_Tibetan		-	all (2)	all (191)	1173416	-	0	-
72	tʰams.tɕad	-	all(84)	Bodic	13.14	all	tʰams.tɕad	全部	all (of a number)(1)	Function word	-	0	all(1)	凡	Old_Tibetan		-	all (2)	all (191)	1173416	all	10	tʰ a ms tɕ a d
73	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Achang_Lianghe		-	all (2)	all (191)	1173416	-	0	-
74	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Achang_Longchuan		-	all (2)	all (191)	1173416	-	0	-
