# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	CONCEPTID	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	ID_IN_SOURCE	IELEX	IPA	LGID	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	RGEN	SCAID	SOURCE	SRCABBR	SRCID	SUBGROUP	SWADESH_1952	SWADESH_1955	TAXON_NAME_IN_SOURCE	TOKENS	TOWEROFBABEL	WOLD
14260						0	above	2	Qimen			上头	上头			ʂũːə³³ le⁰			with d > l lenition	7064							0							Qimen	ʂ ũː ə ³³ l e ⁰		
14520						0	above	2	Dancun				上高			çiɛŋ³² kɔ⁵⁵				7064							0							Dancun			
14812						0	above	2	Qimen			上头	高头			kɔ¹¹ le⁰			with d > l lenition								0							Qimen			
15098						0	above	2	Hani_Mojiang		a³¹tha³³fɔ³³	over / above		65899		a³¹tha³³fɔ³³	1840								prep	382688	0	STEDT/TBL	TBL	0731.42	Southern Loloish			Hani (Mojiang)	a ³¹ ◦ th a ³³ ◦ f ɔ ³³		
15424						0	above	2	Tibetan_Written		jan tɕhad	over / above		848		jan tɕhad	1804								prep	382647	0	STEDT/TBL	TBL	0731.01	Tibetan			Tibetan (Written)	j a n _ tɕh a d		
15609						0	above	2	Lyuzu		de³³le⁵⁵ɣɯʴ³³tɕi³¹	over / above		17530		de³³le⁵⁵ɣɯʴ³³tɕi³¹	1813								prep	382664	0	STEDT/TBL	TBL	0731.18	Qiangic			Lyuzu	d e ³³ ◦ l e ⁵⁵ ◦ ɣ ɯʴ ³³ ◦ tɕ i ³¹		
15961						0	above	2	Bai_Jianchuan		mə⁵⁵tõ³³	over / above		76737		mə⁵⁵tõ³³	1846								prep	382694	0	STEDT/TBL	TBL	0731.48	Bai			Bai (Jianchuan)	m ə ⁵⁵ ◦ t õ ∼ ³³		
16087						0	above	2	Yi_Xide		tshɿ³³hɑ³³	over / above		51037		tshɿ³³hɑ³³	1832								prep	382681	0	STEDT/TBL	TBL	0731.35	Northern Loloish			Yi (Xide)	tsh ɿ ³³ ◦ h ɑ ³³		
16088						0	above	2	Yi_Xide		khɯ²¹hɑ³³	over / above		51038		khɯ²¹hɑ³³	1832								prep	382699	0	STEDT/TBL	TBL	0731.35	Northern Loloish			Yi (Xide)	kh ɯ ²¹ ◦ h ɑ ³³		
16272						0	above	2	Lahu_Lancang		ɔ³¹nɑ³³phɔ⁵³lo³³	over / above		67704		ɔ³¹nɑ³³phɔ⁵³lo³³	1841								prep	382689	0	STEDT/TBL	TBL	0731.43	Central Loloish			Lahu (Lancang)	ɔ ³¹ ◦ n ɑ ³³ ◦ ph ɔ ⁵³ ◦ l o ³³		
16971						0	above	2	Motuo_Menba		ga ten	over / above		85133		ga ten	1851								prep	382653	0	STEDT/TBL	TBL	0731.07	Bodic			Motuo Menba	g a _ t e n		
17415						0	above	2	Yi_Weishan		m̩²¹ɕi⁵⁵	over / above		52999		m̩²¹ɕi⁵⁵	1833								prep	382682	0	STEDT/TBL	TBL	0731.36	Northern Loloish			Yi (Weishan)	m̩ ²¹ ◦ ɕ i ⁵⁵		
17523						0	above	2	Jinuo		tha³³la³³	over / above		69533		tha³³la³³	1842								prep	382690	0	STEDT/TBL	TBL	0731.44	Central Loloish			Jinuo	th a ³³ ◦ l a ³³		
18122						0	above	2	Qiang_Mawo		məχ	over / above		86837		məχ	1852								prep	382654	0	STEDT/TBL	TBL	0731.08	Qiangic			Qiang (Mawo)	m ə χ		
